@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
8,CPU_CORES
9,EXTERNAL_MEMORY
9,CAMERA_FRONT
10,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
4,OS
1,PRICE
8,NETWORK_4G
5,BATTERY_CAPACITY
3,CPU
3,CAMERA_FRONT
6,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
7,TITLE
42,NETWORK_4G
7,EXTERNAL_MEMORY
9,TITLE
1,PRICE
10,NETWORK_4G
5,TITLE
1,PRICE
11,NETWORK_4G
6,TITLE
1,PRICE
5,BATTERY_CAPACITY
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
1,PRICE
4,BATTERY_CAPACITY
2,CPU
5,EXTERNAL_MEMORY
2,CAMERA_FRONT
2,WEIGHT
6,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
7,TITLE
1,SIM_CARD_TYPE
1,PRICE
14,NETWORK_4G
7,TITLE
8,TITLE
4,OS
1,PRICE
7,NETWORK_4G
4,NETWORK_3G
2,GPU
3,CPU
4,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
7,TITLE
1,PRICE
7,TITLE
9,TITLE
8,TITLE
9,NETWORK_4G
2,CAMERA_FRONT
12,PRODUCT_SIZE
5,SCREEN_SIZE
10,TITLE
1,GPU
2,CPU
4,CAMERA_FRONT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
7,TITLE
8,TITLE
1,PRICE
3,CPU_CORES
9,EXTERNAL_MEMORY
5,TITLE
1,PRICE
8,TITLE
9,TITLE
8,TITLE
1,PRICE
8,TITLE
4,BLUETOOTH_VERSION
4,OS
1,PRICE
5,BATTERY_CAPACITY
1,GPU
4,CPU
7,CPU_CORES
9,CAMERA_FRONT
11,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
7,TITLE
1,PRICE
12,NETWORK_4G
7,WIFI
1,GPU
4,CPU
4,CPU_CORES
8,CAMERA_FRONT
7,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
9,TITLE
1,PRICE
21,NETWORK_4G
13,NETWORK_2G
5,BATTERY_CAPACITY
4,CPU
8,CPU_CORES
5,CAMERA_FRONT
9,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
8,TITLE
1,PRICE
8,TITLE
1,PRICE
19,NETWORK_4G
5,BATTERY_CAPACITY
4,CPU
8,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
9,TITLE
1,PRICE
6,TITLE
10,OS
1,PRICE
8,WIFI
4,CPU
5,CPU_CORES
4,CAMERA_FRONT
9,CAMERA_BACK
2,WEIGHT
6,PRODUCT_SIZE
10,SCREEN_SIZE
5,SCREEN_TYPE
8,TITLE
8,TITLE
3,CAMERA_FRONT
9,TITLE
8,TITLE
8,TITLE
7,TITLE
9,TITLE
8,TITLE
9,TITLE
4,BLUETOOTH_VERSION
1,PRICE
7,NETWORK_4G
2,GPU
3,CPU
7,CPU_CORES
4,CAMERA_FRONT
6,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
6,TITLE
1,PRICE
22,NETWORK_4G
8,WIFI
5,BATTERY_CAPACITY
2,GPU
3,CPU
7,CPU_CORES
18,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,SCREEN_TYPE
8,SCREEN_RESOLUTION
8,TITLE
2,BLUETOOTH_VERSION
3,OS
1,PRICE
8,NETWORK_4G
5,BATTERY_CAPACITY
3,CAMERA_FRONT
12,PRODUCT_SIZE
5,SCREEN_SIZE
5,SCREEN_TYPE
5,TITLE
3,BLUETOOTH_VERSION
4,OS
1,PRICE
7,NETWORK_4G
5,WIFI
4,CPU
2,WEIGHT
6,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
9,TITLE
1,PRICE
7,TITLE
1,PRICE
11,TITLE
1,PRICE
8,TITLE
9,NETWORK_4G
9,TITLE
1,PRICE
7,TITLE
1,PRICE
7,TITLE
1,PRICE
10,NETWORK_4G
5,BATTERY_CAPACITY
3,CPU
3,CPU_CORES
9,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
7,TITLE
11,TITLE
8,TITLE
8,TITLE
9,TITLE
7,TITLE
5,BATTERY_CAPACITY
2,CPU
4,CPU_CORES
7,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
5,TITLE
8,TITLE
1,PRICE
7,TITLE
6,TITLE
7,TITLE
4,OS
1,PRICE
4,BATTERY_CAPACITY
1,CPU
4,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
8,TITLE
1,PRICE
7,WIFI
4,BATTERY_CAPACITY
3,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
7,TITLE
2,WEIGHT
6,PRODUCT_SIZE
10,SCREEN_SIZE
10,TITLE
7,TITLE
7,TITLE
9,TITLE
10,TITLE
8,TITLE
9,TITLE
7,TITLE
1,PRICE
9,TITLE
6,TITLE
2,OS
1,PRICE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
7,TITLE
1,PRICE
5,BATTERY_CAPACITY
4,CPU
4,CPU_CORES
6,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
8,SCREEN_RESOLUTION
6,TITLE
1,PRICE
5,BATTERY_CAPACITY
2,CPU
3,CAMERA_FRONT
6,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
9,TITLE
2,BLUETOOTH_VERSION
1,PRICE
7,WIFI
2,CPU
3,CAMERA_FRONT
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
5,TITLE
4,BATTERY_CAPACITY
3,CPU_CORES
8,CAMERA_BACK
1,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
7,TITLE
8,TITLE
10,TITLE
8,TITLE
7,TITLE
4,OS
1,PRICE
9,NETWORK_4G
8,WIFI
2,GPU
4,CPU
5,EXTERNAL_MEMORY
5,CAMERA_FRONT
10,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
8,TITLE
8,TITLE
9,TITLE
8,TITLE
1,PRICE
7,TITLE
3,BLUETOOTH_VERSION
9,OS
1,PRICE
12,NETWORK_4G
5,BATTERY_CAPACITY
2,GPU
4,CPU
8,CPU_CORES
4,CAMERA_FRONT
11,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
7,TITLE
3,BLUETOOTH_VERSION
1,PRICE
8,NETWORK_3G
5,BATTERY_CAPACITY
18,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
4,BLUETOOTH_VERSION
1,PRICE
7,NETWORK_4G
5,NETWORK_3G
5,BATTERY_CAPACITY
2,GPU
8,CPU_CORES
6,CAMERA_FRONT
10,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
5,SCREEN_TYPE
8,SCREEN_RESOLUTION
8,TITLE
1,PRICE
8,NETWORK_4G
5,BATTERY_CAPACITY
4,CPU
3,CAMERA_FRONT
11,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
1,PRICE
8,TITLE
8,TITLE
1,PRICE
8,TITLE
1,PRICE
9,TITLE
11,NETWORK_4G
3,CPU
8,CPU_CORES
4,CAMERA_FRONT
15,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
9,TITLE
4,BLUETOOTH_VERSION
1,PRICE
4,CAMERA_FRONT
20,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
1,PRICE
19,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
8,TITLE
8,TITLE
1,PRICE
4,NETWORK_3G
8,TITLE
7,TITLE
8,TITLE
7,TITLE
8,OS
1,PRICE
10,NETWORK_4G
7,WIFI
5,BATTERY_CAPACITY
7,CPU_CORES
4,CAMERA_FRONT
9,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,SCREEN_TYPE
7,TITLE
5,BLUETOOTH_VERSION
1,PRICE
24,NETWORK_4G
5,BATTERY_CAPACITY
3,RAM_CAPACITY
7,CAMERA_FRONT
19,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
5,TITLE
3,BLUETOOTH_VERSION
1,PRICE
12,NETWORK_4G
7,CAMERA_FRONT
11,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,SCREEN_TYPE
8,SCREEN_RESOLUTION
6,TITLE
4,OS
1,PRICE
19,NETWORK_4G
5,BATTERY_CAPACITY
4,CAMERA_FRONT
13,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,TITLE
6,TITLE
1,PRICE
26,NETWORK_4G
7,TITLE
1,PRICE
5,BATTERY_CAPACITY
2,RAM_CAPACITY
7,CPU_CORES
5,CAMERA_FRONT
12,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,TITLE
1,PRICE
6,TITLE
1,PRICE
6,TITLE
1,PRICE
6,TITLE
1,PRICE
7,TITLE
1,PRICE
6,TITLE
1,PRICE
7,TITLE
1,PRICE
6,TITLE
9,TITLE
4,BLUETOOTH_VERSION
3,OS
1,PRICE
12,NETWORK_4G
5,BATTERY_CAPACITY
2,GPU
3,CPU
5,CPU_CORES
10,CAMERA_FRONT
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
4,BLUETOOTH_VERSION
1,PRICE
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
42,NETWORK_4G
5,BATTERY_CAPACITY
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
1,PRICE
22,NETWORK_4G
8,TITLE
1,PRICE
9,TITLE
1,PRICE
9,TITLE
1,PRICE
9,TITLE
8,TITLE
1,PRICE
8,TITLE
1,PRICE
8,TITLE
1,PRICE
8,TITLE
10,TITLE
1,PRICE
10,TITLE
1,PRICE
9,TITLE
9,TITLE
1,PRICE
9,TITLE
4,BLUETOOTH_VERSION
3,OS
22,NETWORK_4G
5,BATTERY_CAPACITY
8,CAMERA_FRONT
14,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
9,OS
1,PRICE
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
9,TITLE
4,BLUETOOTH_VERSION
1,PRICE
5,EXTERNAL_MEMORY
12,CAMERA_FRONT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
9,TITLE
1,PRICE
3,CAMERA_FRONT
7,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
9,TITLE
1,PRICE
8,TITLE
7,TITLE
1,PRICE
16,NETWORK_4G
9,TITLE
7,TITLE
1,PRICE
9,TITLE
8,TITLE
1,PRICE
5,BATTERY_CAPACITY
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
6,TITLE
1,PRICE
15,NETWORK_4G
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
8,TITLE
8,TITLE
1,PRICE
7,TITLE
1,PRICE
4,TITLE
8,TITLE
9,TITLE
7,TITLE
7,TITLE
1,PRICE
6,TITLE
11,TITLE
5,TITLE
2,BLUETOOTH_VERSION
1,PRICE
11,NETWORK_4G
5,BATTERY_CAPACITY
4,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,TITLE
1,PRICE
7,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,TITLE
5,BATTERY_CAPACITY
2,GPU
4,CPU
7,CPU_CORES
11,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,SCREEN_TYPE
6,TITLE
1,BLUETOOTH_VERSION
1,PRICE
4,BATTERY_CAPACITY
2,CPU_CORES
7,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
4,TITLE
1,PRICE
4,BATTERY_CAPACITY
2,CPU
5,EXTERNAL_MEMORY
8,SCREEN_RESOLUTION
6,TITLE
1,PRICE
7,CAMERA_BACK
2,WEIGHT
6,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
3,TITLE
4,OS
7,NETWORK_4G
5,BATTERY_CAPACITY
5,CAMERA_BACK
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
8,SCREEN_RESOLUTION
4,TITLE
4,BLUETOOTH_VERSION
3,OS
1,PRICE
16,NETWORK_4G
5,WIFI
5,BATTERY_CAPACITY
2,GPU
3,CPU
4,CPU_CORES
9,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
3,TITLE
3,OS
1,PRICE
12,NETWORK_4G
4,CPU
5,CPU_CORES
3,CAMERA_FRONT
12,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,SCREEN_RESOLUTION
4,TITLE
3,TITLE
1,PRICE
3,TITLE
3,OS
1,PRICE
5,BATTERY_CAPACITY
5,CPU
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
8,TITLE
1,BLUETOOTH_VERSION
3,OS
9,NETWORK_4G
1,CPU
3,CPU_CORES
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
6,SCREEN_TYPE
4,SCREEN_RESOLUTION
6,TITLE
4,BATTERY_CAPACITY
8,CAMERA_BACK
12,PRODUCT_SIZE
5,SCREEN_SIZE
6,TITLE
3,TITLE
2,BLUETOOTH_VERSION
1,PRICE
5,BATTERY_CAPACITY
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
3,SCREEN_TYPE
3,TITLE
1,PRICE
6,TITLE
1,BLUETOOTH_VERSION
1,PRICE
5,BATTERY_CAPACITY
3,RAM_CAPACITY
2,CAMERA_BACK
4,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
3,SCREEN_TYPE
8,TITLE
1,PRICE
5,BATTERY_CAPACITY
3,CPU_CORES
4,WEIGHT
12,PRODUCT_SIZE
8,TITLE
11,TITLE
3,OS
5,BATTERY_CAPACITY
2,WEIGHT
12,PRODUCT_SIZE
5,SCREEN_SIZE
11,TITLE
5,TITLE
5,TITLE
1,PRICE
5,TITLE
6,TITLE
2,BLUETOOTH_VERSION
3,USB_VERSION
6,OS
1,PRICE
3,WIFI
5,BATTERY_CAPACITY
4,GPU
3,CPU
12,CPU_CORES
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
4,SCREEN_TYPE
4,SCREEN_RESOLUTION
2,COLOR
6,TITLE
1,PRICE
8,TITLE
6,USB_VERSION
4,OS
1,PRICE
3,WIFI
5,BATTERY_CAPACITY
4,GPU
3,CPU
14,CPU_CORES
3,EXTERNAL_MEMORY
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
2,SCREEN_TYPE
4,SCREEN_RESOLUTION
8,TITLE
2,BLUETOOTH_VERSION
8,USB_VERSION
1,PRICE
4,GPU
13,CPU_CORES
5,SCREEN_TYPE
1,COLOR
7,TITLE
1,PRICE
3,CPU
12,CPU_CORES
2,STORAGE_SSD
6,TITLE
1,PRICE
6,TITLE
5,OS
1,PRICE
5,BATTERY_CAPACITY
4,GPU
3,CPU
6,PRODUCT_SIZE
2,SCREEN_TYPE
7,TITLE
5,OS
1,PRICE
5,BATTERY_CAPACITY
4,GPU
6,CPU
16,CPU_CORES
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_TYPE
4,SCREEN_RESOLUTION
6,TITLE
1,PRICE
8,TITLE
1,PRICE
6,TITLE
1,PRICE
2,CPU
10,CPU_CORES
7,TITLE
1,PRICE
5,BATTERY_CAPACITY
3,RAM_CAPACITY
17,GPU
3,CPU
13,CPU_CORES
2,WEIGHT
6,PRODUCT_SIZE
2,SCREEN_SIZE
5,SCREEN_TYPE
4,SCREEN_RESOLUTION
10,TITLE
8,USB_VERSION
1,PRICE
7,GPU
6,CPU
13,CPU_CORES
2,WEIGHT
6,PRODUCT_SIZE
13,TITLE
1,PRICE
2,RAM_TYPE
3,CPU
1,CPU_FREQ
17,TITLE
3,DEVICE_TYPE
5,OS
1,PRICE
2,RAM_TYPE
3,GPU
1,CPU_FREQ
15,TITLE
1,DEVICE_TYPE
1,PRICE
3,GPU
4,CPU
1,CPU_FREQ
1,STORAGE_HDD
16,TITLE
3,OS
1,PRICE
4,CPU
1,CPU_FREQ
15,TITLE
1,DEVICE_TYPE
1,PRICE
4,CPU
15,TITLE
1,PRICE
2,GPU
4,CPU
1,CPU_FREQ
15,TITLE
1,PRICE
3,GPU
1,CPU_FREQ
13,TITLE
3,OS
1,PRICE
4,CPU
1,CPU_FREQ
14,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
17,TITLE
1,PRICE
4,CPU
11,TITLE
3,OS
1,PRICE
1,CPU
20,TITLE
1,PRICE
2,RAM_TYPE
1,CPU_FREQ
14,TITLE
2,DEVICE_TYPE
1,PRICE
4,CPU
1,CPU_FREQ
17,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
10,TITLE
1,PRICE
17,TITLE
1,PRICE
13,TITLE
4,CPU
1,CPU_FREQ
15,TITLE
4,DEVICE_TYPE
1,PRICE
3,GPU
14,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
3,CPU
1,CPU_FREQ
17,TITLE
1,PRICE
4,CPU
17,TITLE
1,PRICE
3,GPU
14,TITLE
5,DEVICE_TYPE
2,OS
1,PRICE
2,CPU
1,CPU_FREQ
12,TITLE
2,DEVICE_TYPE
1,PRICE
2,CPU
15,TITLE
1,PRICE
1,GPU
4,CPU
1,CPU_FREQ
14,TITLE
1,PRICE
3,GPU
4,CPU
1,CPU_FREQ
18,TITLE
1,PRICE
17,TITLE
1,PRICE
4,CPU
12,TITLE
2,DEVICE_TYPE
17,TITLE
1,PRICE
3,GPU
16,TITLE
4,OS
1,PRICE
1,STORAGE_SSD
17,TITLE
1,PRICE
16,TITLE
5,OS
17,TITLE
1,PRICE
16,TITLE
1,PRICE
17,TITLE
1,PRICE
3,GPU
1,CPU_FREQ
10,TITLE
1,DEVICE_TYPE
1,PRICE
4,CPU
17,TITLE
1,PRICE
3,GPU
13,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
3,GPU
4,CPU
14,TITLE
1,PRICE
11,TITLE
3,OS
1,PRICE
3,CPU
15,TITLE
1,PRICE
12,TITLE
1,PRICE
4,CPU
17,TITLE
1,PRICE
1,STORAGE_SSD
18,TITLE
1,PRICE
16,TITLE
1,PRICE
15,TITLE
1,PRICE
2,CPU
13,TITLE
2,OS
1,PRICE
2,RAM_TYPE
2,CPU
1,STORAGE_HDD
15,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
14,TITLE
1,PRICE
3,CPU
1,CPU_FREQ
36,TITLE
6,OS
1,PRICE
3,CPU
18,TITLE
1,PRICE
1,RAM_CAPACITY
4,CPU
11,TITLE
1,PRICE
20,TITLE
1,PRICE
16,TITLE
1,PRICE
2,GPU
4,CPU
17,TITLE
1,PRICE
4,CPU
15,TITLE
3,OS
1,PRICE
1,STORAGE_SSD
16,TITLE
1,PRICE
16,TITLE
1,PRICE
4,CPU
13,TITLE
1,DEVICE_TYPE
1,PRICE
3,CPU
16,TITLE
1,PRICE
4,CPU
18,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
18,TITLE
1,PRICE
3,GPU
4,CPU
1,CPU_FREQ
9,TITLE
4,OS
1,PRICE
12,TITLE
1,PRICE
18,TITLE
1,PRICE
18,TITLE
1,PRICE
1,CPU_FREQ
11,TITLE
1,PRICE
3,CPU
1,CPU_FREQ
11,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
13,TITLE
1,PRICE
4,CPU
15,TITLE
1,PRICE
11,TITLE
1,PRICE
17,TITLE
1,PRICE
10,TITLE
1,PRICE
17,TITLE
1,PRICE
3,CPU
18,TITLE
1,PRICE
16,TITLE
1,PRICE
1,STORAGE_SSD
16,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
10,TITLE
1,PRICE
14,TITLE
4,CPU
11,TITLE
1,PRICE
4,CPU
13,TITLE
2,OS
1,PRICE
2,CPU
1,CPU_FREQ
12,TITLE
1,DEVICE_TYPE
1,PRICE
3,GPU
4,CPU
11,TITLE
1,PRICE
13,TITLE
1,PRICE
3,GPU
16,TITLE
1,PRICE
11,TITLE
1,PRICE
15,TITLE
1,PRICE
1,CPU
17,TITLE
1,PRICE
3,GPU
16,TITLE
1,PRICE
10,TITLE
1,PRICE
16,TITLE
1,PRICE
17,TITLE
1,PRICE
3,GPU
16,TITLE
1,PRICE
1,STORAGE_SSD
11,TITLE
12,TITLE
1,PRICE
16,TITLE
1,PRICE
3,CPU
15,TITLE
1,PRICE
13,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
8,TITLE
1,PRICE
1,CPU
10,TITLE
1,PRICE
14,TITLE
1,PRICE
4,CPU
12,TITLE
4,CPU
1,CPU_FREQ
17,TITLE
1,PRICE
3,GPU
4,CPU
14,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
4,CPU
16,TITLE
1,PRICE
3,CPU
16,TITLE
2,GPU
15,TITLE
4,CPU
1,CPU_FREQ
19,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
1,STORAGE_SSD
14,TITLE
1,PRICE
2,CPU
14,TITLE
1,PRICE
15,TITLE
1,PRICE
3,CPU
17,TITLE
1,PRICE
15,TITLE
1,PRICE
4,CPU
1,CPU_FREQ
11,TITLE
2,OS
1,PRICE
3,CPU
19,TITLE
1,PRICE
15,TITLE
1,PRICE
4,CPU
15,TITLE
1,PRICE
4,CPU
16,TITLE
16,TITLE
1,PRICE
13,TITLE
1,PRICE
15,TITLE
1,PRICE
13,TITLE
4,OS
1,PRICE
14,TITLE
14,TITLE
1,PRICE
12,TITLE
3,CPU
13,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
4,CPU
14,TITLE
1,PRICE
18,TITLE
1,PRICE
4,CPU
15,TITLE
1,PRICE
4,CPU
13,TITLE
1,PRICE
4,CPU
18,TITLE
1,PRICE
4,CPU
19,TITLE
1,PRICE
3,GPU
4,CPU
1,STORAGE_SSD
16,TITLE
1,PRICE
4,CPU
12,TITLE
1,PRICE
4,CPU
13,TITLE
3,CPU
15,TITLE
1,PRICE
13,TITLE
3,CPU
15,TITLE
16,TITLE
1,PRICE
12,TITLE
14,TITLE
1,PRICE
2,CPU
13,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
13,TITLE
4,CPU
15,TITLE
1,PRICE
12,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
17,TITLE
1,PRICE
12,TITLE
1,PRICE
3,CPU
13,TITLE
14,TITLE
17,TITLE
1,PRICE
3,GPU
4,CPU
13,TITLE
1,PRICE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
18,TITLE
1,PRICE
3,GPU
4,CPU
15,TITLE
21,TITLE
1,PRICE
4,CPU
14,TITLE
1,SCREEN_SIZE
15,TITLE
1,PRICE
1,SCREEN_SIZE
17,TITLE
1,PRICE
14,TITLE
1,PRICE
4,CPU
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
14,TITLE
1,PRICE
4,CPU
16,TITLE
1,SCREEN_SIZE
13,TITLE
14,TITLE
1,PRICE
17,TITLE
15,TITLE
1,PRICE
16,TITLE
13,TITLE
1,PRICE
14,TITLE
1,PRICE
18,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
15,TITLE
1,PRICE
13,TITLE
1,PRICE
4,CPU
3,SCREEN_RESOLUTION
17,TITLE
14,TITLE
1,PRICE
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
15,TITLE
1,PRICE
16,TITLE
13,TITLE
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
17,TITLE
1,PRICE
3,SCREEN_RESOLUTION
14,TITLE
1,PRICE
21,TITLE
4,CPU
14,TITLE
1,PRICE
17,TITLE
1,PRICE
16,TITLE
1,PRICE
1,SCREEN_SIZE
17,TITLE
1,PRICE
1,SCREEN_SIZE
13,TITLE
1,PRICE
16,TITLE
1,PRICE
14,TITLE
1,SCREEN_SIZE
15,TITLE
1,PRICE
4,CPU
3,SCREEN_RESOLUTION
15,TITLE
1,PRICE
13,TITLE
15,TITLE
1,PRICE
3,CPU
14,TITLE
1,PRICE
12,TITLE
1,PRICE
16,TITLE
1,PRICE
3,GPU
1,CPU_FREQ
14,TITLE
1,PRICE
18,TITLE
1,PRICE
12,TITLE
1,PRICE
3,CPU
13,TITLE
5,TITLE
1,PRICE
14,TITLE
20,TITLE
1,PRICE
1,SCREEN_SIZE
3,SCREEN_RESOLUTION
15,TITLE
14,TITLE
14,TITLE
1,PRICE
3,CPU
13,TITLE
16,TITLE
1,PRICE
3,CPU
1,SCREEN_SIZE
18,TITLE
3,GPU
1,CPU_FREQ
13,TITLE
1,PRICE
12,TITLE
1,PRICE
18,TITLE
14,TITLE
14,TITLE
1,PRICE
15,TITLE
1,PRICE
13,TITLE
1,PRICE
14,TITLE
18,TITLE
3,SCREEN_RESOLUTION
19,TITLE
1,PRICE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
17,TITLE
1,PRICE
16,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
13,TITLE
1,PRICE
2,GPU
17,TITLE
1,PRICE
15,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
14,TITLE
1,PRICE
3,SCREEN_RESOLUTION
13,TITLE
1,SCREEN_SIZE
18,TITLE
14,TITLE
17,TITLE
1,PRICE
18,TITLE
1,OS
1,RAM_CAPACITY
17,TITLE
1,PRICE
16,TITLE
14,TITLE
1,PRICE
1,SCREEN_SIZE
12,TITLE
4,CPU
13,TITLE
3,CPU
13,TITLE
1,PRICE
2,GPU
15,TITLE
1,PRICE
14,TITLE
1,PRICE
19,TITLE
1,PRICE
1,CPU_FREQ
14,TITLE
