@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
1,5,PRICE
11,88,NETWORK_4G
5,29,NETWORK_3G
7,51,WIFI
5,37,BATTERY_CAPACITY
3,8,RAM_CAPACITY
1,12,GPU
2,15,CPU
4,28,CPU_CORES
7,38,EXTERNAL_MEMORY
2,5,STORAGE_SSD
5,28,CAMERA_FRONT
6,33,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,42,SCREEN_RESOLUTION
5,24,TITLE
5,25,TITLE
4,19,BLUETOOTH_VERSION
6,37,OS
1,8,SIM_CARD_TYPE
4,28,NETWORK_3G
4,21,NETWORK_2G
6,39,WIFI
4,23,BATTERY_CAPACITY
3,10,RAM_CAPACITY
2,10,GPU
3,28,CPU
3,15,CPU_CORES
3,12,STORAGE_SSD
2,5,WEIGHT
6,21,PRODUCT_SIZE
10,53,SCREEN_SIZE
4,34,SCREEN_TYPE
5,23,TITLE
1,5,PRICE
8,39,TITLE
2,10,BLUETOOTH_VERSION
4,30,OS
1,5,PRICE
7,51,NETWORK_4G
4,27,WIFI
5,33,BATTERY_CAPACITY
2,10,GPU
3,23,CPU
4,27,CPU_CORES
3,11,CAMERA_FRONT
6,34,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,44,SCREEN_TYPE
5,25,TITLE
3,14,BLUETOOTH_VERSION
2,10,OS
1,8,SIM_CARD_TYPE
1,5,PRICE
25,223,NETWORK_4G
6,41,NETWORK_3G
5,27,NETWORK_2G
5,43,WIFI
7,47,BATTERY_CAPACITY
2,19,GPU
3,16,CPU
1,9,CPU_CORES
2,6,STORAGE_SSD
10,74,CAMERA_FRONT
12,78,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,55,SCREEN_TYPE
8,42,SCREEN_RESOLUTION
6,31,TITLE
2,7,OS
1,5,PRICE
17,146,NETWORK_4G
7,47,NETWORK_3G
4,32,WIFI
5,36,BATTERY_CAPACITY
4,34,GPU
2,8,CPU
4,26,CPU_CORES
13,85,CAMERA_FRONT
11,73,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,42,SCREEN_RESOLUTION
6,30,TITLE
1,5,PRICE
2,6,STORAGE_SSD
6,30,TITLE
1,5,PRICE
2,5,STORAGE_SSD
5,26,TITLE
5,27,TITLE
6,30,OS
1,5,PRICE
24,214,NETWORK_4G
7,45,BATTERY_CAPACITY
3,17,CPU_CORES
8,61,CAMERA_FRONT
13,80,CAMERA_BACK
4,15,WEIGHT
6,30,TITLE
5,26,TITLE
5,25,TITLE
1,5,PRICE
5,24,TITLE
1,5,PRICE
5,26,TITLE
5,25,TITLE
5,25,TITLE
5,26,TITLE
6,30,OS
1,5,PRICE
9,68,NETWORK_4G
6,46,WIFI
7,46,BATTERY_CAPACITY
4,13,RAM_CAPACITY
4,34,GPU
2,8,CPU
6,40,CPU_CORES
3,13,STORAGE_SSD
11,72,CAMERA_FRONT
11,63,CAMERA_BACK
4,15,WEIGHT
10,54,SCREEN_SIZE
5,25,TITLE
1,5,PRICE
7,38,NETWORK_2G
5,26,TITLE
5,27,TITLE
1,5,PRICE
5,27,TITLE
7,44,TITLE
1,4,PRICE
3,28,BATTERY_CAPACITY
3,12,STORAGE_SSD
2,4,WEIGHT
6,18,PRODUCT_SIZE
7,41,TITLE
5,24,BLUETOOTH_VERSION
6,28,OS
1,5,PRICE
4,34,WIFI
5,37,BATTERY_CAPACITY
3,8,RAM_CAPACITY
2,8,CPU
3,17,CPU_CORES
3,13,STORAGE_SSD
9,60,CAMERA_FRONT
24,149,CAMERA_BACK
2,4,WEIGHT
6,19,PRODUCT_SIZE
10,54,SCREEN_SIZE
5,28,TITLE
7,43,TITLE
8,38,TITLE
1,4,PRICE
5,32,BATTERY_CAPACITY
7,36,EXTERNAL_MEMORY
2,4,WEIGHT
6,22,PRODUCT_SIZE
5,41,SCREEN_SIZE
3,15,SCREEN_TYPE
8,41,SCREEN_RESOLUTION
11,49,TITLE
2,9,BLUETOOTH_VERSION
6,32,SIM_CARD_TYPE
1,5,PRICE
6,36,NETWORK_3G
5,36,BATTERY_CAPACITY
2,15,CPU
4,27,CPU_CORES
5,20,EXTERNAL_MEMORY
2,4,STORAGE_SSD
4,15,CAMERA_FRONT
5,26,CAMERA_BACK
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,31,TITLE
1,5,PRICE
11,90,NETWORK_4G
8,63,WIFI
4,30,BATTERY_CAPACITY
3,8,RAM_CAPACITY
4,31,CPU
7,44,CPU_CORES
2,5,STORAGE_SSD
4,16,CAMERA_FRONT
10,67,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,41,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
6,26,TITLE
2,10,BLUETOOTH_VERSION
4,27,OS
1,5,PRICE
5,37,BATTERY_CAPACITY
2,10,GPU
4,33,CPU
5,27,CPU_CORES
3,17,CAMERA_FRONT
9,47,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
7,34,TITLE
3,14,BLUETOOTH_VERSION
4,32,OS
1,5,PRICE
9,74,NETWORK_4G
6,43,WIFI
5,37,BATTERY_CAPACITY
4,31,CPU
4,28,CPU_CORES
9,39,EXTERNAL_MEMORY
4,18,CAMERA_FRONT
8,50,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,42,SCREEN_RESOLUTION
7,34,TITLE
6,45,SIM_CARD_TYPE
1,5,PRICE
10,85,NETWORK_4G
6,41,WIFI
5,37,BATTERY_CAPACITY
4,31,CPU
3,11,CAMERA_FRONT
6,34,CAMERA_BACK
4,17,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,34,TITLE
1,5,PRICE
3,8,RAM_CAPACITY
8,37,TITLE
1,5,PRICE
7,34,TITLE
8,47,SIM_CARD_TYPE
1,5,PRICE
8,35,NETWORK_2G
8,50,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,34,TITLE
1,5,PRICE
5,36,BATTERY_CAPACITY
4,31,CPU
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,35,TITLE
7,36,TITLE
7,34,TITLE
7,32,TITLE
3,13,BLUETOOTH_VERSION
3,22,OS
1,5,PRICE
5,36,BATTERY_CAPACITY
3,8,RAM_CAPACITY
2,10,GPU
4,31,CPU
7,44,CPU_CORES
3,11,CAMERA_FRONT
16,105,CAMERA_BACK
2,5,WEIGHT
12,45,PRODUCT_SIZE
7,34,TITLE
1,5,PRICE
7,31,TITLE
3,13,BLUETOOTH_VERSION
7,53,OS
1,5,PRICE
10,84,NETWORK_4G
7,57,WIFI
5,37,BATTERY_CAPACITY
1,12,GPU
3,15,CPU
7,55,CPU_CORES
5,24,CAMERA_FRONT
9,56,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,41,SCREEN_SIZE
7,34,TITLE
1,5,PRICE
7,34,TITLE
1,5,PRICE
7,32,TITLE
7,33,TITLE
1,5,PRICE
7,35,TITLE
1,5,PRICE
8,36,TITLE
1,5,PRICE
7,32,TITLE
7,31,TITLE
1,5,PRICE
7,34,TITLE
1,5,PRICE
7,31,TITLE
7,32,TITLE
1,5,PRICE
6,32,TITLE
1,5,PRICE
21,180,NETWORK_4G
6,36,NETWORK_3G
7,47,BATTERY_CAPACITY
3,18,CPU_CORES
16,109,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
6,30,TITLE
6,36,OS
1,5,PRICE
7,47,BATTERY_CAPACITY
3,18,CPU_CORES
18,116,CAMERA_BACK
4,15,WEIGHT
6,31,TITLE
1,5,PRICE
6,31,TITLE
6,30,TITLE
6,30,TITLE
1,5,PRICE
7,43,TITLE
1,5,PRICE
13,92,NETWORK_4G
5,37,BATTERY_CAPACITY
1,9,GPU
3,16,CPU
4,28,CPU_CORES
3,11,CAMERA_FRONT
6,34,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,47,SCREEN_TYPE
8,42,SCREEN_RESOLUTION
6,38,TITLE
4,21,BLUETOOTH_VERSION
4,29,OS
28,153,NETWORK_4G
5,37,BATTERY_CAPACITY
1,12,GPU
2,11,CPU
8,59,CPU_CORES
8,44,CAMERA_FRONT
12,76,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
9,58,TITLE
1,4,PRICE
3,16,NETWORK_3G
5,33,BATTERY_CAPACITY
1,11,GPU
2,17,CPU
4,27,CPU_CORES
1,3,CAMERA_FRONT
5,22,CAMERA_BACK
4,15,WEIGHT
12,46,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,39,SCREEN_TYPE
8,41,SCREEN_RESOLUTION
8,52,TITLE
1,5,PRICE
8,60,NETWORK_4G
5,33,BATTERY_CAPACITY
3,10,RAM_CAPACITY
2,17,CPU
4,27,CPU_CORES
7,38,EXTERNAL_MEMORY
6,33,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,44,TITLE
7,42,TITLE
4,21,BLUETOOTH_VERSION
1,5,PRICE
44,272,NETWORK_4G
7,35,NETWORK_3G
5,37,BATTERY_CAPACITY
2,14,GPU
3,16,CPU
8,57,CPU_CORES
9,39,EXTERNAL_MEMORY
9,44,CAMERA_FRONT
10,61,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,51,TITLE
4,29,OS
1,5,PRICE
8,59,NETWORK_4G
5,33,BATTERY_CAPACITY
3,16,CPU
3,11,CAMERA_FRONT
6,33,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
7,41,TITLE
42,266,NETWORK_4G
7,38,EXTERNAL_MEMORY
9,53,TITLE
1,5,PRICE
10,78,NETWORK_4G
5,32,TITLE
1,5,PRICE
11,91,NETWORK_4G
6,37,TITLE
1,5,PRICE
5,37,BATTERY_CAPACITY
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,44,TITLE
1,5,PRICE
4,23,BATTERY_CAPACITY
2,11,CPU
5,21,EXTERNAL_MEMORY
2,4,CAMERA_FRONT
2,5,WEIGHT
6,19,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
7,44,TITLE
1,9,SIM_CARD_TYPE
1,5,PRICE
14,71,NETWORK_4G
7,43,TITLE
8,55,TITLE
4,27,OS
1,5,PRICE
7,50,NETWORK_4G
4,22,NETWORK_3G
2,16,GPU
3,22,CPU
4,28,CPU_CORES
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
7,46,TITLE
1,5,PRICE
7,43,TITLE
9,57,TITLE
8,51,TITLE
9,64,NETWORK_4G
2,4,CAMERA_FRONT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
10,61,TITLE
1,12,GPU
2,16,CPU
4,15,CAMERA_FRONT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
7,43,TITLE
8,51,TITLE
1,4,PRICE
3,17,CPU_CORES
9,39,EXTERNAL_MEMORY
5,32,TITLE
1,5,PRICE
8,43,TITLE
9,58,TITLE
8,51,TITLE
1,5,PRICE
8,41,TITLE
4,20,BLUETOOTH_VERSION
4,25,OS
1,5,PRICE
5,37,BATTERY_CAPACITY
1,12,GPU
4,25,CPU
7,55,CPU_CORES
9,56,CAMERA_FRONT
11,66,CAMERA_BACK
12,39,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,35,TITLE
1,5,PRICE
12,99,NETWORK_4G
7,49,WIFI
1,12,GPU
4,25,CPU
4,28,CPU_CORES
8,48,CAMERA_FRONT
7,43,CAMERA_BACK
4,17,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
9,51,TITLE
1,5,PRICE
21,185,NETWORK_4G
13,63,NETWORK_2G
5,37,BATTERY_CAPACITY
4,31,CPU
8,48,CPU_CORES
5,23,CAMERA_FRONT
9,56,CAMERA_BACK
4,17,WEIGHT
12,45,PRODUCT_SIZE
8,41,TITLE
1,5,PRICE
8,39,TITLE
1,5,PRICE
19,167,NETWORK_4G
5,37,BATTERY_CAPACITY
4,31,CPU
8,59,CPU_CORES
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
9,50,TITLE
1,5,PRICE
6,29,TITLE
10,66,OS
1,5,PRICE
8,58,WIFI
4,31,CPU
5,27,CPU_CORES
4,22,CAMERA_FRONT
9,49,CAMERA_BACK
2,5,WEIGHT
6,17,PRODUCT_SIZE
10,55,SCREEN_SIZE
5,38,SCREEN_TYPE
8,38,TITLE
8,39,TITLE
3,9,CAMERA_FRONT
9,51,TITLE
8,41,TITLE
8,46,TITLE
7,35,TITLE
9,50,TITLE
8,41,TITLE
9,48,TITLE
4,19,BLUETOOTH_VERSION
1,5,PRICE
7,41,NETWORK_4G
2,13,GPU
3,19,CPU
7,55,CPU_CORES
4,18,CAMERA_FRONT
6,34,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
6,34,TITLE
1,5,PRICE
22,194,NETWORK_4G
8,62,WIFI
5,37,BATTERY_CAPACITY
2,12,GPU
3,19,CPU
7,55,CPU_CORES
18,109,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,46,SCREEN_TYPE
8,43,SCREEN_RESOLUTION
8,46,TITLE
2,9,BLUETOOTH_VERSION
3,25,OS
1,5,PRICE
8,65,NETWORK_4G
5,36,BATTERY_CAPACITY
3,11,CAMERA_FRONT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,41,SCREEN_TYPE
5,30,TITLE
3,14,BLUETOOTH_VERSION
4,27,OS
1,4,PRICE
7,51,NETWORK_4G
5,33,WIFI
4,31,CPU
2,5,WEIGHT
6,20,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
9,47,TITLE
1,5,PRICE
7,37,TITLE
1,5,PRICE
11,56,TITLE
1,5,PRICE
8,44,TITLE
9,69,NETWORK_4G
9,43,TITLE
1,5,PRICE
7,39,TITLE
1,5,PRICE
7,35,TITLE
1,5,PRICE
10,88,NETWORK_4G
5,37,BATTERY_CAPACITY
3,19,CPU
3,17,CPU_CORES
9,52,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,37,TITLE
11,57,TITLE
8,44,TITLE
8,44,TITLE
9,48,TITLE
7,36,TITLE
5,36,BATTERY_CAPACITY
2,16,CPU
4,28,CPU_CORES
7,40,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,31,TITLE
8,51,TITLE
1,5,PRICE
7,43,TITLE
6,37,TITLE
7,41,TITLE
4,27,OS
1,5,PRICE
4,23,BATTERY_CAPACITY
1,10,CPU
4,27,CPU_CORES
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
8,44,TITLE
8,47,TITLE
1,5,PRICE
7,54,WIFI
4,23,BATTERY_CAPACITY
3,17,CPU_CORES
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,44,TITLE
2,5,WEIGHT
6,19,PRODUCT_SIZE
10,53,SCREEN_SIZE
10,63,TITLE
7,47,TITLE
7,42,TITLE
9,54,TITLE
10,62,TITLE
8,50,TITLE
9,55,TITLE
7,47,TITLE
1,5,PRICE
9,54,TITLE
6,37,TITLE
2,10,OS
1,5,PRICE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
7,31,TITLE
1,5,PRICE
5,33,BATTERY_CAPACITY
4,31,CPU
4,27,CPU_CORES
6,34,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
8,41,SCREEN_RESOLUTION
6,29,TITLE
1,4,PRICE
5,33,BATTERY_CAPACITY
2,15,CPU
3,11,CAMERA_FRONT
6,33,CAMERA_BACK
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
9,41,TITLE
2,10,BLUETOOTH_VERSION
1,5,PRICE
7,47,WIFI
2,15,CPU
3,10,CAMERA_FRONT
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,21,TITLE
4,23,BATTERY_CAPACITY
3,17,CPU_CORES
8,35,CAMERA_BACK
1,3,WEIGHT
12,44,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,36,TITLE
7,34,TITLE
8,40,TITLE
10,55,TITLE
8,46,TITLE
7,35,TITLE
4,27,OS
1,5,PRICE
9,69,NETWORK_4G
8,60,WIFI
2,13,GPU
4,25,CPU
5,21,EXTERNAL_MEMORY
5,35,CAMERA_FRONT
10,58,CAMERA_BACK
4,17,WEIGHT
12,41,PRODUCT_SIZE
8,39,TITLE
8,40,TITLE
9,43,TITLE
8,41,TITLE
1,5,PRICE
7,35,TITLE
3,17,BLUETOOTH_VERSION
9,68,OS
1,5,PRICE
12,100,NETWORK_4G
5,37,BATTERY_CAPACITY
2,10,GPU
4,31,CPU
8,57,CPU_CORES
4,18,CAMERA_FRONT
11,63,CAMERA_BACK
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
7,40,TITLE
3,13,BLUETOOTH_VERSION
1,5,PRICE
8,54,NETWORK_3G
5,37,BATTERY_CAPACITY
18,109,CAMERA_BACK
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,43,TITLE
4,19,BLUETOOTH_VERSION
1,5,PRICE
7,56,NETWORK_4G
5,35,NETWORK_3G
5,36,BATTERY_CAPACITY
2,13,GPU
8,55,CPU_CORES
6,27,CAMERA_FRONT
10,62,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,39,SCREEN_TYPE
8,43,SCREEN_RESOLUTION
8,43,TITLE
1,5,PRICE
8,61,NETWORK_4G
5,36,BATTERY_CAPACITY
4,31,CPU
3,11,CAMERA_FRONT
11,72,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,TITLE
1,5,PRICE
8,42,TITLE
8,44,TITLE
1,5,PRICE
8,45,TITLE
1,5,PRICE
9,45,TITLE
11,92,NETWORK_4G
3,19,CPU
8,59,CPU_CORES
4,18,CAMERA_FRONT
15,93,CAMERA_BACK
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
9,51,TITLE
4,18,BLUETOOTH_VERSION
1,6,PRICE
4,18,CAMERA_FRONT
20,121,CAMERA_BACK
4,15,WEIGHT
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,40,TITLE
1,5,PRICE
19,115,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,43,TITLE
8,42,TITLE
8,42,TITLE
1,5,PRICE
4,23,NETWORK_3G
8,42,TITLE
7,39,TITLE
8,42,TITLE
7,35,TITLE
8,61,OS
1,5,PRICE
10,79,NETWORK_4G
7,52,WIFI
5,37,BATTERY_CAPACITY
7,44,CPU_CORES
4,17,CAMERA_FRONT
9,55,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,47,SCREEN_TYPE
7,36,TITLE
5,22,BLUETOOTH_VERSION
1,5,PRICE
24,220,NETWORK_4G
5,36,BATTERY_CAPACITY
3,8,RAM_CAPACITY
7,35,CAMERA_FRONT
19,118,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
5,20,TITLE
3,17,BLUETOOTH_VERSION
1,5,PRICE
12,98,NETWORK_4G
7,39,CAMERA_FRONT
11,68,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,45,SCREEN_TYPE
8,43,SCREEN_RESOLUTION
6,29,TITLE
4,25,OS
1,5,PRICE
19,166,NETWORK_4G
5,37,BATTERY_CAPACITY
4,18,CAMERA_FRONT
13,89,CAMERA_BACK
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,31,TITLE
6,27,TITLE
1,5,PRICE
26,159,NETWORK_4G
7,30,TITLE
1,5,PRICE
5,37,BATTERY_CAPACITY
2,5,RAM_CAPACITY
7,55,CPU_CORES
5,21,CAMERA_FRONT
12,78,CAMERA_BACK
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,30,TITLE
1,5,PRICE
6,31,TITLE
1,5,PRICE
6,25,TITLE
1,5,PRICE
6,32,TITLE
1,5,PRICE
7,35,TITLE
1,5,PRICE
6,32,TITLE
1,5,PRICE
7,35,TITLE
1,5,PRICE
6,31,TITLE
9,54,TITLE
4,20,BLUETOOTH_VERSION
3,16,OS
1,5,PRICE
12,100,NETWORK_4G
5,37,BATTERY_CAPACITY
2,13,GPU
3,16,CPU
5,33,CPU_CORES
10,62,CAMERA_FRONT
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,50,TITLE
4,19,BLUETOOTH_VERSION
1,5,PRICE
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,46,TITLE
42,254,NETWORK_4G
5,37,BATTERY_CAPACITY
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,47,TITLE
1,5,PRICE
22,195,NETWORK_4G
8,46,TITLE
1,5,PRICE
9,56,TITLE
1,5,PRICE
9,55,TITLE
1,5,PRICE
9,53,TITLE
8,47,TITLE
1,5,PRICE
8,47,TITLE
1,5,PRICE
8,49,TITLE
1,5,PRICE
8,49,TITLE
10,58,TITLE
1,5,PRICE
10,61,TITLE
1,5,PRICE
9,52,TITLE
9,55,TITLE
1,5,PRICE
9,48,TITLE
4,19,BLUETOOTH_VERSION
3,20,OS
22,195,NETWORK_4G
5,37,BATTERY_CAPACITY
8,45,CAMERA_FRONT
14,89,CAMERA_BACK
4,15,WEIGHT
12,41,PRODUCT_SIZE
5,41,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,41,TITLE
9,66,OS
1,5,PRICE
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,40,TITLE
9,47,TITLE
4,19,BLUETOOTH_VERSION
1,5,PRICE
5,21,EXTERNAL_MEMORY
12,75,CAMERA_FRONT
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
9,45,TITLE
1,5,PRICE
3,12,CAMERA_FRONT
7,45,CAMERA_BACK
4,15,WEIGHT
12,41,PRODUCT_SIZE
5,40,SCREEN_SIZE
9,49,TITLE
1,5,PRICE
8,39,TITLE
7,35,TITLE
1,5,PRICE
16,140,NETWORK_4G
9,46,TITLE
7,35,TITLE
1,5,PRICE
9,46,TITLE
8,42,TITLE
1,5,PRICE
5,37,BATTERY_CAPACITY
4,15,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
6,33,TITLE
1,5,PRICE
15,129,NETWORK_4G
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
8,43,TITLE
8,39,TITLE
1,5,PRICE
7,34,TITLE
1,5,PRICE
4,24,TITLE
8,43,TITLE
9,47,TITLE
7,36,TITLE
7,36,TITLE
1,5,PRICE
6,34,TITLE
11,56,TITLE
5,29,TITLE
2,8,BLUETOOTH_VERSION
1,5,PRICE
11,89,NETWORK_4G
5,33,BATTERY_CAPACITY
4,28,CPU_CORES
4,17,WEIGHT
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,34,TITLE
1,5,PRICE
7,35,CAMERA_BACK
4,15,WEIGHT
12,46,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,34,TITLE
5,37,BATTERY_CAPACITY
2,10,GPU
4,31,CPU
7,55,CPU_CORES
11,81,CAMERA_BACK
12,45,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,44,SCREEN_TYPE
6,34,TITLE
1,4,BLUETOOTH_VERSION
1,5,PRICE
4,23,BATTERY_CAPACITY
2,7,CPU_CORES
7,35,CAMERA_BACK
2,5,WEIGHT
12,40,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
4,25,TITLE
1,4,PRICE
4,23,BATTERY_CAPACITY
2,15,CPU
5,19,EXTERNAL_MEMORY
8,41,SCREEN_RESOLUTION
6,34,TITLE
1,5,PRICE
7,35,CAMERA_BACK
2,5,WEIGHT
6,22,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
3,16,TITLE
4,25,OS
7,55,NETWORK_4G
5,37,BATTERY_CAPACITY
5,27,CAMERA_BACK
2,5,WEIGHT
6,19,PRODUCT_SIZE
2,10,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
4,28,TITLE
4,19,BLUETOOTH_VERSION
3,20,OS
1,5,PRICE
16,76,NETWORK_4G
5,40,WIFI
5,37,BATTERY_CAPACITY
2,10,GPU
3,27,CPU
4,23,CPU_CORES
9,46,CAMERA_BACK
4,15,WEIGHT
12,44,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,41,SCREEN_RESOLUTION
3,25,TITLE
3,18,OS
1,5,PRICE
12,56,NETWORK_4G
4,33,CPU
5,28,CPU_CORES
3,10,CAMERA_FRONT
12,76,CAMERA_BACK
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,43,SCREEN_RESOLUTION
4,28,TITLE
3,25,TITLE
1,5,PRICE
3,20,TITLE
3,20,OS
1,5,PRICE
5,37,BATTERY_CAPACITY
5,35,CPU
4,15,WEIGHT
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
8,37,TITLE
1,3,BLUETOOTH_VERSION
3,22,OS
9,69,NETWORK_4G
1,8,CPU
3,17,CPU_CORES
2,5,WEIGHT
6,17,PRODUCT_SIZE
2,10,SCREEN_SIZE
6,41,SCREEN_TYPE
4,17,SCREEN_RESOLUTION
6,28,TITLE
4,30,BATTERY_CAPACITY
8,50,CAMERA_BACK
12,43,PRODUCT_SIZE
5,40,SCREEN_SIZE
6,29,TITLE
3,22,TITLE
2,9,BLUETOOTH_VERSION
1,4,PRICE
5,33,BATTERY_CAPACITY
2,4,WEIGHT
6,20,PRODUCT_SIZE
