@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
12,49,PRODUCT_SIZE
5,23,TITLE
1,3,BRAND
1,7,PRICE
9,60,NETWORK_4G
1,7,BATTERY_CAPACITY
1,7,CPU
2,16,CPU_CORES
1,5,CAMERA_FRONT
2,9,WEIGHT
12,50,PRODUCT_SIZE
4,27,SCREEN_TYPE
5,25,TITLE
1,7,BRAND
1,7,PRICE
1,7,BATTERY_CAPACITY
1,3,RAM_CAPACITY
2,14,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,7,PRICE
1,7,PRICE
5,30,TITLE
1,7,PRICE
17,121,NETWORK_4G
7,49,NETWORK_3G
1,7,BATTERY_CAPACITY
1,9,GPU
1,8,CPU
2,16,CPU_CORES
2,14,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,26,TITLE
1,8,BRAND
1,7,PRICE
3,18,NETWORK_4G
2,9,CPU
2,16,CPU_CORES
5,30,CAMERA_BACK
2,8,WEIGHT
12,50,PRODUCT_SIZE
4,22,TITLE
1,6,BRAND
1,7,BATTERY_CAPACITY
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,28,TITLE
2,10,DEVICE_TYPE
1,6,PRICE
1,9,NETWORK_TYPE
2,9,WEIGHT
12,50,PRODUCT_SIZE
4,15,SCREEN_RESOLUTION
1,7,PRICE
4,23,TITLE
1,6,BRAND
1,6,PRICE
2,9,WEIGHT
12,49,PRODUCT_SIZE
2,8,SCREEN_SIZE
1,7,PRICE
5,29,TITLE
1,5,BRAND
1,6,PRICE
2,22,NETWORK_3G
2,16,BATTERY_CAPACITY
3,17,CAMERA_FRONT
4,27,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,3,SCREEN_TYPE
5,29,TITLE
1,6,PRICE
3,11,BATTERY_CAPACITY
4,20,CAMERA_BACK
12,49,PRODUCT_SIZE
6,37,TITLE
2,11,OS
1,4,BRAND
1,7,PRICE
2,20,NETWORK_4G
1,17,NETWORK_TYPE
2,13,GPU
2,11,CPU
2,16,CPU_CORES
3,24,CAMERA_BACK
2,9,WEIGHT
12,47,PRODUCT_SIZE
4,21,TITLE
1,7,PRICE
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,29,TITLE
1,7,PRICE
1,4,WIRELESS_CONNECTIVITY
1,7,BATTERY_CAPACITY
2,10,GPU
2,14,CPU
2,16,CPU_CORES
12,50,PRODUCT_SIZE
6,26,TITLE
1,7,PRICE
2,50,WIRELESS_CONNECTIVITY
2,27,BATTERY_CAPACITY
5,30,CAMERA_BACK
2,9,WEIGHT
12,49,PRODUCT_SIZE
2,9,SCREEN_SIZE
4,22,TITLE
1,7,PRICE
4,50,NETWORK_4G
2,16,CPU_CORES
12,49,PRODUCT_SIZE
4,21,TITLE
1,4,BRAND
1,7,PRICE
1,24,WIRELESS_CONNECTIVITY
11,73,NETWORK_4G
2,23,CPU_CORES
1,3,CAMERA_FRONT
2,10,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
4,25,TITLE
1,3,STORAGE_SSD
8,42,CAMERA_BACK
2,9,WEIGHT
1,14,SCREEN_TYPE
4,25,TITLE
1,6,PRICE
2,22,NETWORK_3G
3,16,CAMERA_BACK
2,8,WEIGHT
12,50,PRODUCT_SIZE
4,21,TITLE
1,4,BRAND
1,6,PRICE
2,31,WIRELESS_CONNECTIVITY
2,9,WEIGHT
12,50,PRODUCT_SIZE
4,20,TITLE
1,6,BRAND
1,7,PRICE
15,103,NETWORK_4G
7,48,NETWORK_3G
2,14,CAMERA_BACK
2,9,WEIGHT
12,47,PRODUCT_SIZE
5,26,TITLE
1,6,PRICE
3,11,BATTERY_CAPACITY
2,8,WEIGHT
12,50,PRODUCT_SIZE
1,6,PRICE
4,30,TITLE
1,17,WIRELESS_CONNECTIVITY
2,19,NETWORK_2G
3,24,BATTERY_CAPACITY
2,12,GPU
1,7,CPU
2,9,WEIGHT
12,47,PRODUCT_SIZE
6,33,TITLE
6,22,OS
1,7,PRICE
2,41,WIRELESS_CONNECTIVITY
1,7,NETWORK_4G
1,7,BATTERY_CAPACITY
2,9,CPU_CORES
1,5,STORAGE_SSD
1,4,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
4,16,SCREEN_RESOLUTION
4,25,TITLE
1,7,PRICE
2,31,WIRELESS_CONNECTIVITY
1,8,CPU
2,16,CPU_CORES
2,9,WEIGHT
12,49,PRODUCT_SIZE
1,7,PRICE
1,5,STORAGE_SSD
4,24,TITLE
1,6,PRICE
1,21,WIRELESS_CONNECTIVITY
4,38,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
1,7,PRICE
3,19,TITLE
1,5,PRICE
1,7,PRICE
2,9,WEIGHT
5,26,TITLE
1,7,PRICE
2,36,WIRELESS_CONNECTIVITY
1,7,BATTERY_CAPACITY
3,20,CAMERA_BACK
2,9,WEIGHT
12,49,PRODUCT_SIZE
4,27,TITLE
2,34,NETWORK_4G
1,39,NETWORK_TYPE
12,50,PRODUCT_SIZE
8,46,TITLE
1,7,PRICE
1,5,CPU
2,16,CPU_CORES
4,25,TITLE
1,7,PRICE
3,49,WIRELESS_CONNECTIVITY
2,19,NETWORK_4G
2,16,BATTERY_CAPACITY
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,24,TITLE
1,6,BRAND
1,7,PRICE
2,16,BATTERY_CAPACITY
2,14,BATTERY_TYPE
1,7,CPU
2,9,WEIGHT
12,49,PRODUCT_SIZE
2,8,SCREEN_SIZE
1,7,PRICE
4,21,TITLE
1,7,PRICE
17,119,NETWORK_4G
3,11,CAMERA_FRONT
8,36,CAMERA_BACK
5,26,TITLE
1,6,PRICE
1,7,BATTERY_CAPACITY
2,9,WEIGHT
12,49,PRODUCT_SIZE
5,29,TITLE
2,11,OS
1,7,PRICE
2,40,WIRELESS_CONNECTIVITY
1,7,BATTERY_CAPACITY
1,7,CPU
2,16,CPU_CORES
2,15,CAMERA_BACK
12,49,PRODUCT_SIZE
2,8,WEIGHT
5,27,TITLE
1,7,PRICE
3,53,WIRELESS_CONNECTIVITY
4,24,BATTERY_CAPACITY
2,17,CPU_CORES
2,12,CAMERA_FRONT
8,47,CAMERA_BACK
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
2,7,SCREEN_PPI
3,26,SCREEN_TYPE
3,23,CAMERA_BACK
4,22,TITLE
5,28,TITLE
1,7,PRICE
4,29,BATTERY_CAPACITY
3,23,CPU
12,50,PRODUCT_SIZE
1,3,SCREEN_PPI
4,22,TITLE
1,6,BRAND
3,44,WIRELESS_CONNECTIVITY
3,11,BATTERY_CAPACITY
2,17,CPU_CORES
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,29,TITLE
1,7,PRICE
2,42,WIRELESS_CONNECTIVITY
7,38,BATTERY_CAPACITY
2,9,WEIGHT
12,49,PRODUCT_SIZE
1,6,PRICE
1,7,PRICE
12,50,PRODUCT_SIZE
5,26,TITLE
1,7,PRICE
12,49,PRODUCT_SIZE
5,27,TITLE
1,6,PRICE
