@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
12,50,12,19,12,PRODUCT_SIZE
5,27,22,1,4,TITLE
1,7,0,5,0,PRICE
3,45,34,2,2,WIRELESS_CONNECTIVITY
2,13,6,4,1,BATTERY_CAPACITY
8,43,25,5,9,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
6,36,29,2,5,TITLE
1,8,8,0,0,OS
1,7,7,0,0,BRAND
1,7,0,5,0,PRICE
2,26,12,7,1,NETWORK_4G
1,24,19,0,0,NETWORK_TYPE
1,7,3,4,0,BATTERY_CAPACITY
3,23,18,3,2,CPU
2,24,14,5,1,CPU_CORES
3,11,4,4,2,CAMERA_FRONT
8,36,23,5,7,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,3,0,3,0,SCREEN_PPI
3,21,19,0,2,SCREEN_TYPE
4,22,18,1,3,TITLE
2,8,7,0,1,SIM_CARD_SLOT
5,32,27,0,4,SIM_CARD_TYPE
2,31,21,3,1,WIRELESS_CONNECTIVITY
2,17,8,7,1,NETWORK_3G
1,7,3,4,0,CPU
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,7,4,2,0,SCREEN_SIZE
1,14,13,0,0,SCREEN_TYPE
4,23,18,2,3,TITLE
2,11,10,0,1,DEVICE_TYPE
1,6,0,4,0,PRICE
2,36,24,4,1,WIRELESS_CONNECTIVITY
2,16,10,4,1,BATTERY_CAPACITY
3,19,6,5,4,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
3,19,13,2,2,SCREEN_TYPE
4,25,20,2,3,TITLE
1,8,8,0,0,BRAND
1,6,0,4,0,PRICE
2,29,20,3,1,WIRELESS_CONNECTIVITY
3,11,4,5,2,BATTERY_CAPACITY
2,7,5,1,1,RAM_CAPACITY
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
5,23,17,2,4,TITLE
1,3,3,0,0,BRAND
1,7,0,5,0,PRICE
9,60,28,21,8,NETWORK_4G
1,7,3,4,0,BATTERY_CAPACITY
1,7,3,4,0,CPU
2,16,11,2,1,CPU_CORES
1,5,2,2,0,CAMERA_FRONT
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,27,22,1,3,SCREEN_TYPE
5,25,19,2,4,TITLE
1,7,7,0,0,BRAND
1,7,0,5,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
1,3,2,1,0,RAM_CAPACITY
2,14,4,5,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
1,7,0,5,0,PRICE
5,30,24,2,4,TITLE
1,7,0,5,0,PRICE
17,121,56,42,16,NETWORK_4G
7,49,27,14,6,NETWORK_3G
1,7,3,4,0,BATTERY_CAPACITY
1,9,5,3,0,GPU
1,8,4,4,0,CPU
2,16,11,2,1,CPU_CORES
2,14,4,5,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,26,21,1,4,TITLE
1,8,8,0,0,BRAND
1,7,0,5,0,PRICE
3,18,10,3,2,NETWORK_4G
2,9,6,2,1,CPU
2,16,11,2,1,CPU_CORES
5,30,21,3,4,CAMERA_BACK
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,22,16,3,3,TITLE
1,6,6,0,0,BRAND
1,7,3,4,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,28,22,2,4,TITLE
2,10,8,1,1,DEVICE_TYPE
1,6,0,4,0,PRICE
1,9,8,0,0,NETWORK_TYPE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,15,4,6,3,SCREEN_RESOLUTION
1,7,0,5,0,PRICE
4,23,18,2,3,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
1,7,0,5,0,PRICE
5,29,23,2,4,TITLE
1,5,5,0,0,BRAND
1,6,0,4,0,PRICE
2,22,8,11,1,NETWORK_3G
2,16,10,4,1,BATTERY_CAPACITY
3,17,6,4,3,CAMERA_FRONT
4,27,8,7,6,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,3,3,0,0,SCREEN_TYPE
