@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,10,5,3,1,GPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
8,39,30,2,7,TITLE
1,6,0,4,0,PRICE
1,12,4,6,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
7,30,19,4,6,TITLE
1,7,0,5,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
23,126,85,16,22,TITLE
1,7,0,5,0,PRICE
1,6,0,4,0,PRICE
1,6,0,4,0,PRICE
4,19,13,3,3,TITLE
1,7,0,5,0,PRICE
6,56,21,23,5,NETWORK_4G
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
5,25,17,4,4,TITLE
1,7,0,5,0,PRICE
1,8,4,4,0,CPU
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
9,35,23,4,8,TITLE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
7,36,27,3,6,TITLE
4,42,19,14,3,NETWORK_4G
2,15,6,7,1,NETWORK_2G
2,16,7,5,1,WIFI
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
6,29,23,1,5,TITLE
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,50,33,6,9,TITLE
1,7,0,5,0,PRICE
6,48,30,6,6,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
10,53,42,2,9,TITLE
1,8,0,6,0,PRICE
5,32,17,6,6,TITLE
6,24,17,1,5,SIM_CARD_SLOT
1,7,0,5,0,PRICE
5,42,19,11,4,NETWORK_4G
1,9,5,3,0,GPU
7,37,21,7,7,TITLE
9,54,41,1,8,SIM_CARD_SLOT
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
6,30,22,3,5,TITLE
1,6,0,4,0,PRICE
4,32,20,5,3,WIFI
2,17,11,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
10,62,47,3,10,TITLE
1,5,0,3,0,PRICE
24,137,91,15,25,TITLE
1,7,0,5,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
2,13,10,2,1,CPU
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
10,62,47,3,10,TITLE
1,5,0,3,0,PRICE
6,32,25,2,5,TITLE
4,36,30,0,3,DEVICE_TYPE
3,22,14,4,2,OS
1,7,0,5,0,PRICE
6,50,34,6,6,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
6,32,24,3,5,TITLE
5,38,23,6,5,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
16,90,57,15,16,TITLE
1,6,0,4,0,PRICE
3,22,15,4,2,BATTERY_CAPACITY
1,6,2,4,0,CPU
2,16,13,1,1,CPU_CORES
2,7,2,3,1,WEIGHT
6,20,4,8,5,PRODUCT_SIZE
5,54,20,24,4,NETWORK_4G
4,48,18,22,3,NETWORK_3G
2,20,6,11,1,NETWORK_2G
6,50,34,6,6,BATTERY_CAPACITY
1,4,3,1,0,RAM_TYPE
3,27,18,4,2,CPU_CORES
12,51,12,20,12,PRODUCT_SIZE
4,20,14,3,3,TITLE
16,78,57,2,15,SIM_CARD_SLOT
2,13,4,7,1,BATTERY_CAPACITY
2,10,6,3,1,GPU
1,7,3,4,0,CPU
2,8,2,4,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
4,21,15,3,3,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
4,31,22,4,3,BATTERY_CAPACITY
1,4,3,1,0,RAM_TYPE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
4,18,13,2,3,TITLE
1,4,4,0,0,BRAND
1,6,0,4,0,PRICE
1,5,4,1,0,RAM_TYPE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
5,21,15,2,4,TITLE
1,7,0,5,0,PRICE
5,38,23,6,5,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,25,19,2,4,TITLE
1,7,0,5,0,PRICE
2,14,4,6,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
1,6,5,1,0,RAM_TYPE
6,30,19,5,5,TITLE
2,15,4,7,2,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
2,7,4,2,1,SCREEN_SIZE
3,11,1,8,2,SCREEN_RESOLUTION
1,6,0,4,0,PRICE
4,20,13,4,3,TITLE
4,49,18,20,3,NETWORK_4G
1,24,19,0,0,NETWORK_TYPE
4,30,22,4,3,BATTERY_CAPACITY
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
5,28,22,2,4,TITLE
1,9,9,0,0,BLUETOOTH_VERSION
2,7,6,0,1,DEVICE_TYPE
1,5,3,2,0,OS_BITS
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
4,22,15,4,3,GPU
1,13,6,5,0,CPU
1,6,3,2,0,CPU_CORES
4,17,9,3,4,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
1,6,6,0,0,COLOR
1,1,0,1,0,ETHERNET_SPEED
5,24,17,2,4,TITLE
1,7,7,0,0,BLUETOOTH_VERSION
2,6,5,0,1,DEVICE_TYPE
1,5,3,2,0,OS_BITS
1,6,0,4,0,PRICE
2,17,6,5,1,WIFI
2,16,10,4,1,GPU
2,12,8,3,1,CPU
1,3,2,1,0,EXTERNAL_MEMORY
1,3,1,2,0,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,5,5,0,0,COLOR
4,21,17,0,3,TITLE
2,13,9,2,1,BLUETOOTH_VERSION
1,8,8,0,0,BRAND
1,6,0,4,0,PRICE
2,6,4,1,1,RAM_CAPACITY
1,11,6,4,0,GPU
2,10,7,2,1,CPU
3,15,8,4,2,STORAGE_SSD
12,50,12,19,12,PRODUCT_SIZE
1,5,1,4,0,ETHERNET_SPEED
9,48,33,6,8,TITLE
2,13,7,3,1,OS
1,5,0,3,0,PRICE
1,11,3,5,0,WIFI
2,6,4,1,1,RAM_CAPACITY
1,8,4,3,0,GPU
2,14,10,2,1,CPU
2,6,4,1,1,STORAGE_SSD
12,51,12,20,12,PRODUCT_SIZE
9,45,29,4,10,TITLE
1,5,5,0,0,BRAND
1,7,0,5,0,PRICE
1,2,1,1,0,RAM_CAPACITY
2,9,2,5,1,WEIGHT
12,45,12,16,12,PRODUCT_SIZE
9,47,35,4,8,TITLE
1,12,9,2,0,BLUETOOTH_VERSION
1,6,0,4,0,PRICE
1,2,1,1,0,RAM_CAPACITY
2,13,9,3,1,CPU
2,16,11,2,1,CPU_CORES
12,49,12,18,12,PRODUCT_SIZE
5,21,15,2,4,TITLE
1,6,0,4,0,PRICE
2,6,4,1,1,RAM_CAPACITY
2,7,4,2,1,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,9,1,5,2,ETHERNET_SPEED
6,20,14,1,5,TITLE
1,3,3,0,0,BRAND
1,6,0,4,0,PRICE
1,5,2,2,0,RAM_CAPACITY
1,6,2,3,0,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,4,1,3,0,ETHERNET_SPEED
9,45,33,4,8,TITLE
1,6,0,4,0,PRICE
1,2,1,1,0,RAM_CAPACITY
1,2,1,1,0,STORAGE_SSD
2,9,2,5,1,WEIGHT
13,61,33,13,13,TITLE
1,7,0,5,0,PRICE
3,14,11,1,2,GPU
4,24,17,4,3,CPU
2,17,11,3,1,CPU_CORES
12,50,12,19,12,PRODUCT_SIZE
1,6,6,0,0,COLOR
1,3,1,2,0,STORAGE_SSD
11,49,35,2,11,TITLE
1,7,0,5,0,PRICE
1,3,1,2,0,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,45,12,16,12,PRODUCT_SIZE
11,62,44,7,10,TITLE
1,8,8,0,0,BRAND
1,6,0,4,0,PRICE
1,5,2,3,0,EXTERNAL_MEMORY
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,48,35,5,8,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
9,44,33,3,8,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
2,12,8,3,1,CPU
2,9,2,5,1,WEIGHT
12,48,12,17,12,PRODUCT_SIZE
11,56,36,6,12,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
5,20,16,0,4,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
6,23,15,1,6,TITLE
1,6,0,4,0,PRICE
2,9,8,0,1,CPU_CORES
4,18,13,2,3,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
1,10,6,4,0,GPU
2,13,10,1,1,CPU
12,49,12,18,12,PRODUCT_SIZE
8,48,32,7,7,TITLE
1,6,0,4,0,PRICE
2,13,8,4,1,GPU
1,6,2,4,0,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
10,46,33,3,9,TITLE
3,22,14,4,2,OS
1,7,0,5,0,PRICE
3,17,7,5,2,WIFI
4,23,16,4,3,CPU
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
10,52,40,3,9,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
2,14,4,5,1,WIFI
12,49,12,18,12,PRODUCT_SIZE
3,10,6,2,2,TITLE
1,7,7,0,0,OS
1,6,0,4,0,PRICE
1,11,6,4,0,GPU
12,51,12,20,12,PRODUCT_SIZE
6,27,20,2,5,TITLE
1,8,8,0,0,BRAND
1,6,0,4,0,PRICE
1,6,2,4,0,CPU
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,24,15,4,4,TITLE
1,7,0,5,0,PRICE
3,29,20,4,2,CPU
6,28,18,5,5,TITLE
1,5,5,0,0,BRAND
1,5,0,3,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
7,30,23,1,6,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
4,19,14,2,3,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
7,35,24,5,6,TITLE
2,12,7,3,1,OS
1,4,1,3,0,STORAGE_SSD
12,51,12,20,12,PRODUCT_SIZE
2,21,18,0,1,COLOR
5,20,15,1,4,TITLE
2,6,4,1,1,RAM_CAPACITY
3,17,11,4,2,CPU
2,7,4,2,1,STORAGE_SSD
12,50,12,19,12,PRODUCT_SIZE
10,52,39,4,9,TITLE
3,19,12,2,3,BLUETOOTH_VERSION
1,6,0,4,0,PRICE
1,2,2,0,0,EXTERNAL_MEMORY
12,51,12,20,12,PRODUCT_SIZE
6,31,26,0,5,TITLE
4,15,11,1,3,TITLE
1,7,0,5,0,PRICE
3,19,13,4,2,CPU
2,11,10,0,1,CPU_CORES
2,8,4,3,1,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
1,13,6,5,0,CPU
2,8,2,4,1,WEIGHT
7,38,31,1,6,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
8,59,52,0,7,TITLE
1,6,0,4,0,PRICE
5,23,16,3,4,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
7,33,26,1,6,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WIFI
2,8,2,4,1,WEIGHT
4,17,12,2,3,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
7,33,21,4,6,TITLE
1,7,0,5,0,PRICE
6,31,24,2,5,TITLE
1,6,0,4,0,PRICE
5,26,21,1,4,TITLE
1,8,8,0,0,BRAND
1,7,0,5,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
8,40,29,4,7,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,9,8,0,1,COLOR
5,31,26,1,4,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
6,29,23,1,5,TITLE
1,7,0,5,0,PRICE
3,22,17,1,2,GPU
5,32,22,5,4,CPU
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
10,53,39,5,9,TITLE
1,6,0,4,0,PRICE
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
9,48,38,2,8,TITLE
3,23,14,4,2,OS
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
11,57,38,6,11,TITLE
12,51,12,20,12,PRODUCT_SIZE
2,12,2,7,2,ETHERNET_SPEED
8,44,32,5,7,TITLE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
5,21,16,1,4,TITLE
1,6,0,4,0,PRICE
3,13,8,2,2,RAM_CAPACITY
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
4,14,8,3,3,TITLE
1,4,2,2,0,BRAND
1,6,0,4,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
5,24,19,1,4,TITLE
1,7,7,0,0,BRAND
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
7,36,26,3,6,TITLE
1,6,0,4,0,PRICE
4,21,14,4,3,GPU
2,11,6,4,1,CPU
2,9,2,5,1,WEIGHT
12,52,12,21,12,PRODUCT_SIZE
8,36,28,1,7,TITLE
1,6,0,4,0,PRICE
7,35,25,3,6,TITLE
1,6,0,4,0,PRICE
2,8,2,4,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
5,26,18,2,5,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
8,42,33,2,7,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,14,3,9,0,ETHERNET_SPEED
8,37,29,1,7,TITLE
1,7,0,5,0,PRICE
7,32,25,1,6,TITLE
6,28,15,6,6,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
6,27,16,6,5,TITLE
1,6,0,4,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
8,43,30,6,7,TITLE
4,14,10,1,3,TITLE
1,6,0,4,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
5,22,10,6,5,TITLE
1,12,9,2,0,BLUETOOTH_VERSION
1,6,0,4,0,PRICE
2,20,12,5,1,CPU
1,6,3,2,0,CPU_CORES
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
8,45,36,2,7,TITLE
4,14,8,3,3,TITLE
2,11,6,3,1,GPU
9,40,27,3,9,TITLE
1,6,0,4,0,PRICE
3,19,15,1,2,CPU_CORES
12,51,12,20,12,PRODUCT_SIZE
1,12,11,0,0,COLOR
11,56,36,6,12,TITLE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
6,28,16,5,5,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
2,14,12,0,1,DEVICE_TYPE
1,7,0,5,0,PRICE
10,44,29,2,11,TITLE
2,13,7,3,1,OS
9,45,32,5,8,TITLE
9,51,35,7,8,TITLE
1,7,0,5,0,PRICE
2,6,4,1,1,RAM_CAPACITY
2,16,11,4,1,CPU
2,7,4,2,1,STORAGE_SSD
1,1,0,1,0,ETHERNET_SPEED
6,27,21,1,5,TITLE
9,47,32,5,9,TITLE
1,6,0,4,0,PRICE
1,12,7,4,0,GPU
12,51,12,20,12,PRODUCT_SIZE
1,13,2,9,0,ETHERNET_SPEED
1,6,0,4,0,PRICE
5,20,16,0,4,TITLE
1,3,3,0,0,BRAND
1,6,0,4,0,PRICE
7,33,23,3,6,TITLE
1,4,4,0,0,BRAND
1,5,0,3,0,PRICE
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
9,55,42,5,8,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
9,46,33,5,8,TITLE
1,6,0,4,0,PRICE
6,26,17,3,5,TITLE
1,6,0,4,0,PRICE
1,5,2,3,0,EXTERNAL_MEMORY
1,7,0,5,0,PRICE
11,58,40,6,10,TITLE
1,7,0,5,0,PRICE
4,19,9,5,4,STORAGE_SSD
13,69,52,5,12,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
13,59,41,2,14,TITLE
1,7,0,5,0,PRICE
9,50,36,6,8,TITLE
6,28,22,1,5,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
2,9,4,3,1,ETHERNET_SPEED
6,24,19,0,5,TITLE
12,50,12,19,12,PRODUCT_SIZE
10,49,30,7,10,TITLE
1,6,0,4,0,PRICE
2,19,7,9,1,ETHERNET_SPEED
5,26,21,1,4,TITLE
2,8,2,4,1,WEIGHT
5,25,20,1,4,TITLE
1,6,6,0,0,BRAND
3,14,10,1,2,GPU
3,16,8,5,2,STORAGE_SSD
2,9,2,5,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
13,65,37,9,15,TITLE
2,37,30,2,1,OS
1,6,6,0,0,BRAND
2,9,2,5,1,WEIGHT
12,48,12,17,12,PRODUCT_SIZE
1,11,11,0,0,COLOR
1,7,4,3,0,ETHERNET_SPEED
1,7,0,5,0,PRICE
4,16,12,1,3,TITLE
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
2,16,10,4,1,GPU
12,51,12,20,12,PRODUCT_SIZE
7,42,34,2,6,TITLE
2,15,10,4,1,GPU
6,27,21,1,5,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
1,5,5,0,0,COLOR
9,48,36,4,8,TITLE
2,8,2,4,1,WEIGHT
12,48,12,17,12,PRODUCT_SIZE
9,47,34,5,8,TITLE
1,3,2,1,0,EXTERNAL_MEMORY
5,23,17,2,4,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
1,6,0,4,0,PRICE
7,37,24,4,7,TITLE
1,7,3,3,0,CPU_CORES
1,3,3,0,0,COLOR
9,46,33,5,8,TITLE
1,6,0,4,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
5,19,14,1,4,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
7,38,31,1,6,TITLE
1,5,5,0,0,BRAND
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
7,35,24,5,6,TITLE
1,7,0,5,0,PRICE
3,19,13,4,2,CPU
3,27,23,0,2,COLOR
8,49,35,6,7,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
4,17,14,0,3,TITLE
1,7,0,5,0,PRICE
3,17,11,4,2,CPU
4,14,7,4,3,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
10,49,30,7,10,TITLE
6,30,24,1,5,TITLE
7,40,30,3,6,TITLE
1,5,0,3,0,PRICE
2,8,2,4,1,WEIGHT
12,51,12,20,12,PRODUCT_SIZE
10,50,32,7,10,TITLE
2,15,13,0,1,DEVICE_TYPE
1,7,0,5,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
9,38,26,3,8,TITLE
1,7,0,5,0,PRICE
7,40,30,3,6,TITLE
1,6,0,4,0,PRICE
9,49,34,7,8,TITLE
1,6,0,4,0,PRICE
1,6,3,2,0,RAM_CAPACITY
1,7,2,4,0,STORAGE_SSD
12,49,12,18,12,PRODUCT_SIZE
10,45,32,4,9,TITLE
1,6,6,0,0,BRAND
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
6,35,29,1,5,TITLE
10,54,37,7,9,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
4,19,14,2,3,TITLE
1,8,8,0,0,BRAND
12,50,12,19,12,PRODUCT_SIZE
2,10,2,5,2,ETHERNET_SPEED
5,19,14,1,4,TITLE
8,45,34,3,7,TITLE
2,11,10,0,1,DEVICE_TYPE
1,6,0,4,0,PRICE
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,19,14,1,4,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
8,35,27,1,7,TITLE
7,33,25,2,6,TITLE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
9,47,34,5,8,TITLE
12,54,38,3,12,TITLE
3,10,6,2,2,TITLE
1,5,0,3,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
9,46,30,6,9,TITLE
1,6,0,4,0,PRICE
7,39,32,1,6,TITLE
1,6,0,4,0,PRICE
2,12,8,3,1,CPU
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,19,12,1,5,TITLE
12,52,12,21,12,PRODUCT_SIZE
7,41,30,5,6,TITLE
1,6,0,4,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
1,4,3,1,0,RAM_TYPE
8,41,30,4,7,TITLE
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
4,16,12,1,3,TITLE
1,6,0,4,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
9,49,37,4,8,TITLE
8,40,31,2,7,TITLE
1,6,0,4,0,PRICE
3,23,15,5,2,CPU
12,50,12,19,12,PRODUCT_SIZE
1,8,4,4,0,ETHERNET_SPEED
6,29,22,2,5,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
1,4,2,2,0,EXTERNAL_MEMORY
10,56,40,5,10,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
3,10,6,2,2,TITLE
1,6,0,4,0,PRICE
12,52,12,21,12,PRODUCT_SIZE
5,24,18,2,4,TITLE
2,9,2,5,1,WEIGHT
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
7,37,29,2,6,TITLE
1,6,0,4,0,PRICE
2,9,2,5,1,WEIGHT
7,35,24,4,6,TITLE
2,14,13,0,1,COLOR
1,7,0,5,0,PRICE
10,55,41,4,9,TITLE
1,6,0,4,0,PRICE
6,30,22,3,5,TITLE
1,5,5,0,0,OS
1,7,7,0,0,BRAND
1,5,0,3,0,PRICE
1,5,2,3,0,RAM_CAPACITY
1,6,2,4,0,CPU
2,8,2,4,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
4,20,17,0,3,TITLE
1,6,0,4,0,PRICE
3,14,8,3,2,STORAGE_SSD
12,50,12,19,12,PRODUCT_SIZE
9,51,39,4,8,TITLE
1,6,0,4,0,PRICE
1,4,4,0,0,COLOR
4,14,9,2,3,TITLE
3,13,8,2,2,RAM_CAPACITY
3,25,17,4,2,CPU
10,52,36,5,10,TITLE
8,51,42,2,7,TITLE
1,6,0,4,0,PRICE
10,53,36,7,9,TITLE
1,6,0,4,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
1,5,2,2,0,RAM_CAPACITY
7,35,28,1,6,TITLE
1,6,0,4,0,PRICE
5,22,11,6,4,TITLE
1,5,0,3,0,PRICE
2,9,5,2,1,RAM_CAPACITY
3,24,16,5,2,CPU
2,10,5,3,1,STORAGE_SSD
2,9,2,5,1,WEIGHT
6,27,18,4,5,TITLE
1,5,0,3,0,PRICE
12,51,12,20,12,PRODUCT_SIZE
5,21,12,5,4,TITLE
1,6,0,4,0,PRICE
3,28,19,5,2,CPU
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,11,10,0,0,COLOR
11,61,48,3,10,TITLE
1,6,0,4,0,PRICE
4,24,17,4,3,CPU
7,36,20,8,6,TITLE
2,9,3,3,1,BLUETOOTH_VERSION
5,34,25,0,4,SIM_CARD_TYPE
1,4,0,2,0,PRICE
7,28,9,9,8,NETWORK_2G
5,33,24,4,4,BATTERY_CAPACITY
2,5,2,2,1,RAM_CAPACITY
7,37,26,2,6,EXTERNAL_MEMORY
4,15,10,1,3,CAMERA_BACK
2,5,1,3,1,WEIGHT
12,44,8,18,11,PRODUCT_SIZE
5,40,23,5,4,SCREEN_SIZE
1,3,3,0,0,SCREEN_TYPE
8,41,22,9,7,SCREEN_RESOLUTION
5,22,18,0,4,TITLE
5,23,13,3,4,BLUETOOTH_VERSION
5,31,19,3,4,OS
5,35,26,0,4,SIM_CARD_TYPE
1,5,0,3,0,PRICE
5,22,8,8,5,NETWORK_3G
9,41,9,16,12,NETWORK_2G
5,33,18,5,4,WIFI
5,31,17,6,4,BATTERY_CAPACITY
3,10,5,3,2,RAM_CAPACITY
2,10,6,3,1,GPU
5,35,26,5,4,CPU
4,25,18,2,3,CPU_CORES
5,20,13,2,4,EXTERNAL_MEMORY
2,4,2,1,1,STORAGE_SSD
3,9,5,1,2,CAMERA_FRONT
9,46,26,9,8,CAMERA_BACK
2,5,1,3,1,WEIGHT
6,22,4,10,5,PRODUCT_SIZE
10,53,28,11,9,SCREEN_SIZE
6,42,34,2,5,SCREEN_TYPE
5,23,19,0,4,TITLE
5,24,20,0,4,TITLE
6,31,16,8,5,TITLE
6,27,19,3,5,TITLE
3,13,5,3,2,BLUETOOTH_VERSION
3,20,13,2,2,OS
5,34,25,0,4,SIM_CARD_TYPE
1,5,0,3,0,PRICE
11,88,7,45,10,NETWORK_4G
5,29,5,14,7,NETWORK_3G
7,51,32,5,6,WIFI
5,37,27,4,4,BATTERY_CAPACITY
3,8,5,1,2,RAM_CAPACITY
1,12,7,4,0,GPU
2,15,10,4,1,CPU
