TITLE|DEVICE_TYPE|OS|BRAND|PRICE|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|CAMERA_FRONT|CAMERA_BACK|SCREEN_SIZE|SCREEN_TYPE|SCREEN_RESOLUTION|GPU|CPU|CPU_CORES|WEIGHT|PRODUCT_SIZE|RAM|EXTERNAL_MEMORY|BATTERY_CAPACITY|ROM|SIM_CARD_SLOT
bdf e86 kids tablet pc|kids tablet |android 4.4 |bdf |$51.97|||||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch |capacitive (5-point) |1024 x 600 (wsvga) ||a33 |1.2ghz,quad core |0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |512mb |tf card up to 32gb (not included) |3.7v / 2500mah |4gb |
lenovo tb3 730m 4g phablet|phablet |android 6.0 |lenovo |$147.01|fdd-lte 1800/2100mhz,td-lte band 38/39/40/41 |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp |7 inch |capacitive |1024 x 600 (wsvga) |mali-t720 |mtk8735p |1ghz,quad core |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |1gb |tf card up to 32gb (not included) |3.7v / 3450mah, li-ion polymer battery |16gb |yes (1 x micro sim card slot) 
gpd xd game tablet pc 64gb rom|game tablet |android 4.4 |gpd |$169.99|||||802.11b/g/n wireless internet |||5 inch |capacitive |1280 x 720 (hd 720) |mali-764 |rk3288 |600mhz,quad core |0.300 kg |15.50 x 8.90 x 2.40 cm / 6.1 x 3.5 x 0.94 inches |2gb |tf card up to 128gb (not included) |6000mah |64gb |
teclast a80se android 4.2 tablet pc with 8 inch xga a31s quad core 1.0ghz 8gb||||$85.74||||||||||||||||||||
bdf kt107 3g phablet|phablet |android 6.0 |bdf |$101.58||wcdma b1 2100mhz |gsm 1800mhz,gsm 850mhz,gsm 900mhz |gsm,wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp (with flash light and auto focus) |10.1 inch |capacitive (10-point) |1280 x 800 (wxga) |mali-400 mp |mtk6580 |1.3ghz,quad core |0.5210 kg |24.00 x 17.00 x 1.04 cm / 9.45 x 6.69 x 0.41 inches |2gb |tf card up to 32gb (not included) |3.7v / 5000mah, li-ion polymer battery |32gb |dual sim,dual standby,standard sim card slot 
teclast x5 pro 2 in 1 tablet pc|tablet pc |windows 10 |teclast |$610.87|||||802.11 a/b/g/n/ac wireless internet |2.0mp |5.0mp |12.2 inch |capacitive (10-point) |1920 x 1200 (wuxga) |intel hd graphice 615 |intel kaby lake core m3-7y30 |1ghz,dual core |1.0070 kg |30.20 x 20.10 x 1.00 cm / 11.89 x 7.91 x 0.39 inches |8gb |tf card up to 128gb (not included) |built-in 7.6v / 5000mah lithium ion polymer battery |256gb |
great wall l803 4g phablet|phablet |android 5.1 |great wall |$192.46|fdd-lte 800/850/900/1800/1900//2100/2600mhz |wcdma 850/900/1800/1900mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |2.0mp |5.0mp |8 inch |capacitive,ips |1280 x 800 |mali-t720 |mtk8735 |1ghz,quad core |0.355 kg |20.80 x 12.10 x 0.79 cm / 8.19 x 4.76 x 0.31 inches |1gb |tf card up to 64gb (not included) |4.35v/5000mah |8gb |single sim,single standby 
kt107h 3g phablet|phablet |android 5.1 ||$107.29||wcdma 2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |0.3mp |2.0mp (with flash light) |10.1 inch |capacitive (5-point),ips |1280 x 800 (wxga) ||mtk6582 |1.3ghz,quad core |0.5120 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |1gb |tf card up to 32gb (not included) |3.7v / 5000mah |16gb |dual sim,dual standby,standard sim card slot 
android 4.0 10.1 inch wxga ips screen exynos4412 quad core 2gb 16gb excelvan et1002 tablet pc camera wifi bluetooth|tablet pc |android 4.0 |excelvan |$150.57||not built-in 3g (support external 3g) |||802.11b/g/n wireless internet |0.3mp |2.0mp |10.1 inch |capacitive,ips |1280 x 800 (wxga) ||exynos 4412 |quad core,cortex-a9 |0.635 kg |26.1 x 17.3 x 1.05 cm |2gb |tf card up to 32gb (not included) ||16gb |
hipo s106 3g phablet|phablet |android 6.0 |hipo |$105.98||wcdma b1 2100mhz |gsm 850/900/1800/1900mhz |gsm,wcdma |802.11b/g/n wireless internet |0.3mp |2.0mp (with flash light) |10.6 inch |ips |1366 x 768 |mali-400 |sc7731c |1.34ghz,quad core |0.4990 kg |26.10 x 16.80 x 1.03 cm / 10.28 x 6.61 x 0.41 inches |1gb |tf card up to 128gb (not included) |3.7v / 4500mah |16gb |dual sim,dual standby,standard sim card slot 
q88h kid tablet pc|kids tablet |android 4.4 ||$51.71|||||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch ||1024 x 600 (wsvga) |mali-400 mp |a33 |1.3ghz |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |512mb |tf card up to 32gb (not included) |3.7v / 2000mah |8gb |
hipo s8 tablet pc|tablet pc |android 6.0 |hipo |$86.22|||||802.11b/g/n wireless internet |0.3mp |2.0mp |8 inch |capacitive (5-point) |1920 x 1200 (wuxga) |mali-400 |mtk8163 |1.5ghz,quad core |0.3600 kg |20.60 x 12.50 x 0.80 cm / 8.11 x 4.92 x 0.31 inches |1gb |tf card up to 128gb (not included) |3.7v / 2800mah, li-ion polymer battery |16gb |
lenovo yoga tb3 plus ( yt - x730f ) tablet pc|tablet pc |android 6.0 |lenovo |$375.2|||||802.11 a/b/g/n/ac wireless internet |5.0mp |13.0mp |10.1 inch |capacitive (10-point) |2560 x 1600 (wqxga) |adreno 510 |qualcomm snapdragon 652 64bit |1.8ghz,octa core |0.6370 kg |24.70 x 17.90 x 0.47 cm / 9.72 x 7.05 x 0.19 inches |3gb |tf card up to 128gb (not included) |9300mah, li-ion polymer battery |32gb |
teclast x10 3g phablet|phablet |android 4.4 |teclast |$100.37||wcdma 2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp with af |10.1 inch |capacitive (5-point),ips |1920 x 1200 (wuxga) |mali-400 mp |mtk6582 |1.3ghz |0.4610 kg |23.80 x 17.00 x 0.98 cm / 9.37 x 6.69 x 0.39 inches |1gb |tf card up to 64gb (not included) |built-in, 3.7v / 4900mah, li-ion polymer battery |16gb |dual sim,dual standby,standard sim card slot 
