@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,20,12,CPU
1,6,3,CPU_CORES
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
8,45,36,TITLE
4,14,8,TITLE
2,11,6,GPU
9,40,27,TITLE
1,6,0,PRICE
3,19,15,CPU_CORES
12,51,12,PRODUCT_SIZE
1,12,11,COLOR
11,56,36,TITLE
1,7,0,PRICE
2,9,2,WEIGHT
6,28,16,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
2,14,12,DEVICE_TYPE
1,7,0,PRICE
10,44,29,TITLE
2,13,7,OS
9,45,32,TITLE
9,51,35,TITLE
1,7,0,PRICE
2,6,4,RAM_CAPACITY
2,16,11,CPU
2,7,4,STORAGE_SSD
1,1,0,ETHERNET_SPEED
6,27,21,TITLE
9,47,32,TITLE
1,6,0,PRICE
1,12,7,GPU
12,51,12,PRODUCT_SIZE
1,13,2,ETHERNET_SPEED
1,6,0,PRICE
5,20,16,TITLE
1,3,3,BRAND
1,6,0,PRICE
7,33,23,TITLE
1,4,4,BRAND
1,5,0,PRICE
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
9,55,42,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
9,46,33,TITLE
1,6,0,PRICE
6,26,17,TITLE
1,6,0,PRICE
1,5,2,EXTERNAL_MEMORY
1,7,0,PRICE
11,58,40,TITLE
1,7,0,PRICE
4,19,9,STORAGE_SSD
13,69,52,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
13,59,41,TITLE
1,7,0,PRICE
9,50,36,TITLE
6,28,22,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
2,9,4,ETHERNET_SPEED
6,24,19,TITLE
12,50,12,PRODUCT_SIZE
10,49,30,TITLE
1,6,0,PRICE
2,19,7,ETHERNET_SPEED
5,26,21,TITLE
2,8,2,WEIGHT
5,25,20,TITLE
1,6,6,BRAND
3,14,10,GPU
3,16,8,STORAGE_SSD
2,9,2,WEIGHT
12,51,12,PRODUCT_SIZE
13,65,37,TITLE
2,37,30,OS
1,6,6,BRAND
2,9,2,WEIGHT
12,48,12,PRODUCT_SIZE
1,11,11,COLOR
1,7,4,ETHERNET_SPEED
1,7,0,PRICE
4,16,12,TITLE
1,6,6,BRAND
1,7,0,PRICE
2,16,10,GPU
12,51,12,PRODUCT_SIZE
7,42,34,TITLE
2,15,10,GPU
6,27,21,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
1,5,5,COLOR
9,48,36,TITLE
2,8,2,WEIGHT
12,48,12,PRODUCT_SIZE
9,47,34,TITLE
1,3,2,EXTERNAL_MEMORY
5,23,17,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
1,7,0,PRICE
1,6,0,PRICE
7,37,24,TITLE
1,7,3,CPU_CORES
1,3,3,COLOR
9,46,33,TITLE
1,6,0,PRICE
12,49,12,PRODUCT_SIZE
5,19,14,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
7,38,31,TITLE
1,5,5,BRAND
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
7,35,24,TITLE
1,7,0,PRICE
3,19,13,CPU
3,27,23,COLOR
8,49,35,TITLE
1,6,6,BRAND
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
4,17,14,TITLE
1,7,0,PRICE
3,17,11,CPU
4,14,7,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
10,49,30,TITLE
6,30,24,TITLE
7,40,30,TITLE
1,5,0,PRICE
2,8,2,WEIGHT
12,51,12,PRODUCT_SIZE
10,50,32,TITLE
2,15,13,DEVICE_TYPE
1,7,0,PRICE
12,49,12,PRODUCT_SIZE
9,38,26,TITLE
1,7,0,PRICE
7,40,30,TITLE
1,6,0,PRICE
9,49,34,TITLE
1,6,0,PRICE
1,6,3,RAM_CAPACITY
1,7,2,STORAGE_SSD
12,49,12,PRODUCT_SIZE
10,45,32,TITLE
1,6,6,BRAND
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
6,35,29,TITLE
10,54,37,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
4,19,14,TITLE
1,8,8,BRAND
12,50,12,PRODUCT_SIZE
2,10,2,ETHERNET_SPEED
5,19,14,TITLE
8,45,34,TITLE
2,11,10,DEVICE_TYPE
1,6,0,PRICE
2,8,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,19,14,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
8,35,27,TITLE
7,33,25,TITLE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
9,47,34,TITLE
12,54,38,TITLE
3,10,6,TITLE
1,5,0,PRICE
12,51,12,PRODUCT_SIZE
9,46,30,TITLE
1,6,0,PRICE
7,39,32,TITLE
1,6,0,PRICE
2,12,8,CPU
2,8,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,19,12,TITLE
12,52,12,PRODUCT_SIZE
7,41,30,TITLE
1,6,0,PRICE
12,49,12,PRODUCT_SIZE
1,4,3,RAM_TYPE
8,41,30,TITLE
2,9,2,WEIGHT
12,49,12,PRODUCT_SIZE
4,16,12,TITLE
1,6,0,PRICE
12,50,12,PRODUCT_SIZE
9,49,37,TITLE
8,40,31,TITLE
1,6,0,PRICE
3,23,15,CPU
12,50,12,PRODUCT_SIZE
1,8,4,ETHERNET_SPEED
6,29,22,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
1,4,2,EXTERNAL_MEMORY
10,56,40,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
3,10,6,TITLE
1,6,0,PRICE
12,52,12,PRODUCT_SIZE
5,24,18,TITLE
2,9,2,WEIGHT
1,6,0,PRICE
1,7,0,PRICE
7,37,29,TITLE
1,6,0,PRICE
2,9,2,WEIGHT
7,35,24,TITLE
2,14,13,COLOR
1,7,0,PRICE
10,55,41,TITLE
1,6,0,PRICE
6,30,22,TITLE
1,5,5,OS
1,7,7,BRAND
1,5,0,PRICE
1,5,2,RAM_CAPACITY
1,6,2,CPU
2,8,2,WEIGHT
12,49,12,PRODUCT_SIZE
1,7,0,PRICE
4,20,17,TITLE
1,6,0,PRICE
3,14,8,STORAGE_SSD
12,50,12,PRODUCT_SIZE
9,51,39,TITLE
1,6,0,PRICE
1,4,4,COLOR
4,14,9,TITLE
3,13,8,RAM_CAPACITY
3,25,17,CPU
10,52,36,TITLE
8,51,42,TITLE
1,6,0,PRICE
10,53,36,TITLE
1,6,0,PRICE
12,51,12,PRODUCT_SIZE
1,5,2,RAM_CAPACITY
7,35,28,TITLE
1,6,0,PRICE
5,22,11,TITLE
1,5,0,PRICE
2,9,5,RAM_CAPACITY
3,24,16,CPU
2,10,5,STORAGE_SSD
2,9,2,WEIGHT
6,27,18,TITLE
1,5,0,PRICE
12,51,12,PRODUCT_SIZE
5,21,12,TITLE
1,6,0,PRICE
3,28,19,CPU
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
1,11,10,COLOR
11,61,48,TITLE
1,6,0,PRICE
4,24,17,CPU
7,36,20,TITLE
2,9,3,BLUETOOTH_VERSION
5,34,25,SIM_CARD_TYPE
1,4,0,PRICE
7,28,9,NETWORK_2G
5,33,24,BATTERY_CAPACITY
2,5,2,RAM_CAPACITY
7,37,26,EXTERNAL_MEMORY
4,15,10,CAMERA_BACK
2,5,1,WEIGHT
12,44,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
1,3,3,SCREEN_TYPE
8,41,22,SCREEN_RESOLUTION
5,22,18,TITLE
5,23,13,BLUETOOTH_VERSION
5,31,19,OS
5,35,26,SIM_CARD_TYPE
1,5,0,PRICE
5,22,8,NETWORK_3G
9,41,9,NETWORK_2G
5,33,18,WIFI
5,31,17,BATTERY_CAPACITY
3,10,5,RAM_CAPACITY
2,10,6,GPU
5,35,26,CPU
4,25,18,CPU_CORES
5,20,13,EXTERNAL_MEMORY
2,4,2,STORAGE_SSD
3,9,5,CAMERA_FRONT
9,46,26,CAMERA_BACK
2,5,1,WEIGHT
6,22,4,PRODUCT_SIZE
10,53,28,SCREEN_SIZE
6,42,34,SCREEN_TYPE
5,23,19,TITLE
5,24,20,TITLE
6,31,16,TITLE
6,27,19,TITLE
3,13,5,BLUETOOTH_VERSION
3,20,13,OS
5,34,25,SIM_CARD_TYPE
1,5,0,PRICE
11,88,7,NETWORK_4G
5,29,5,NETWORK_3G
7,51,32,WIFI
5,37,27,BATTERY_CAPACITY
3,8,5,RAM_CAPACITY
1,12,7,GPU
2,15,10,CPU
4,28,18,CPU_CORES
7,38,26,EXTERNAL_MEMORY
2,5,2,STORAGE_SSD
5,28,13,CAMERA_FRONT
6,33,20,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,42,22,SCREEN_RESOLUTION
5,24,20,TITLE
5,25,18,TITLE
4,19,11,BLUETOOTH_VERSION
6,37,26,OS
1,8,7,SIM_CARD_TYPE
4,28,12,NETWORK_3G
4,21,3,NETWORK_2G
6,39,22,WIFI
4,23,15,BATTERY_CAPACITY
3,10,5,RAM_CAPACITY
2,10,6,GPU
3,28,22,CPU
3,15,10,CPU_CORES
3,12,9,STORAGE_SSD
2,5,1,WEIGHT
6,21,4,PRODUCT_SIZE
10,53,28,SCREEN_SIZE
4,34,28,SCREEN_TYPE
5,23,16,TITLE
1,5,0,PRICE
8,39,26,TITLE
2,10,4,BLUETOOTH_VERSION
4,30,21,OS
1,5,0,PRICE
7,51,7,NETWORK_4G
4,27,14,WIFI
5,33,24,BATTERY_CAPACITY
2,10,6,GPU
3,23,18,CPU
4,27,18,CPU_CORES
3,11,3,CAMERA_FRONT
6,34,20,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,44,36,SCREEN_TYPE
5,25,17,TITLE
3,14,6,BLUETOOTH_VERSION
2,10,3,OS
1,8,7,SIM_CARD_TYPE
1,5,0,PRICE
25,223,7,NETWORK_4G
6,41,8,NETWORK_3G
5,27,3,NETWORK_2G
5,43,25,WIFI
7,47,29,BATTERY_CAPACITY
2,19,15,GPU
3,16,12,CPU
1,9,8,CPU_CORES
2,6,2,STORAGE_SSD
10,74,37,CAMERA_FRONT
12,78,51,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,55,44,SCREEN_TYPE
8,42,22,SCREEN_RESOLUTION
6,31,23,TITLE
2,7,3,OS
1,5,0,PRICE
17,146,7,NETWORK_4G
7,47,8,NETWORK_3G
4,32,17,WIFI
5,36,26,BATTERY_CAPACITY
4,34,24,GPU
2,8,6,CPU
4,26,18,CPU_CORES
13,85,51,CAMERA_FRONT
11,73,48,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,42,22,SCREEN_RESOLUTION
6,30,21,TITLE
1,5,0,PRICE
2,6,2,STORAGE_SSD
6,30,23,TITLE
1,5,0,PRICE
2,5,2,STORAGE_SSD
5,26,19,TITLE
5,27,20,TITLE
6,30,18,OS
1,5,0,PRICE
24,214,7,NETWORK_4G
7,45,28,BATTERY_CAPACITY
3,17,11,CPU_CORES
8,61,34,CAMERA_FRONT
13,80,52,CAMERA_BACK
4,15,3,WEIGHT
6,30,21,TITLE
5,26,18,TITLE
5,25,18,TITLE
1,5,0,PRICE
5,24,16,TITLE
1,5,0,PRICE
5,26,19,TITLE
5,25,19,TITLE
5,25,18,TITLE
5,26,19,TITLE
6,30,18,OS
1,5,0,PRICE
9,68,7,NETWORK_4G
6,46,27,WIFI
7,46,28,BATTERY_CAPACITY
4,13,8,RAM_CAPACITY
4,34,24,GPU
2,8,6,CPU
6,40,27,CPU_CORES
3,13,9,STORAGE_SSD
11,72,48,CAMERA_FRONT
11,63,38,CAMERA_BACK
4,15,3,WEIGHT
10,54,28,SCREEN_SIZE
5,25,18,TITLE
1,5,0,PRICE
7,38,12,NETWORK_2G
5,26,18,TITLE
5,27,19,TITLE
1,5,0,PRICE
5,27,21,TITLE
7,44,36,TITLE
1,4,0,PRICE
3,28,24,BATTERY_CAPACITY
3,12,9,STORAGE_SSD
2,4,1,WEIGHT
6,18,4,PRODUCT_SIZE
7,41,32,TITLE
5,24,14,BLUETOOTH_VERSION
6,28,18,OS
1,5,0,PRICE
4,34,18,WIFI
5,37,25,BATTERY_CAPACITY
3,8,5,RAM_CAPACITY
2,8,6,CPU
3,17,11,CPU_CORES
3,13,9,STORAGE_SSD
9,60,38,CAMERA_FRONT
24,149,96,CAMERA_BACK
2,4,1,WEIGHT
6,19,4,PRODUCT_SIZE
10,54,28,SCREEN_SIZE
5,28,21,TITLE
7,43,34,TITLE
8,38,27,TITLE
1,4,0,PRICE
5,32,24,BATTERY_CAPACITY
7,36,26,EXTERNAL_MEMORY
2,4,1,WEIGHT
6,22,4,PRODUCT_SIZE
5,41,23,SCREEN_SIZE
3,15,10,SCREEN_TYPE
8,41,22,SCREEN_RESOLUTION
11,49,33,TITLE
2,9,3,BLUETOOTH_VERSION
6,32,22,SIM_CARD_TYPE
1,5,0,PRICE
6,36,8,NETWORK_3G
5,36,26,BATTERY_CAPACITY
2,15,10,CPU
4,27,18,CPU_CORES
5,20,13,EXTERNAL_MEMORY
2,4,2,STORAGE_SSD
4,15,10,CAMERA_FRONT
5,26,19,CAMERA_BACK
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,31,22,TITLE
1,5,0,PRICE
11,90,7,NETWORK_4G
8,63,39,WIFI
4,30,22,BATTERY_CAPACITY
3,8,5,RAM_CAPACITY
4,31,21,CPU
7,44,24,CPU_CORES
2,5,2,STORAGE_SSD
4,16,3,CAMERA_FRONT
10,67,46,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,41,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
6,26,20,TITLE
2,10,4,BLUETOOTH_VERSION
4,27,16,OS
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
2,10,6,GPU
4,33,23,CPU
5,27,16,CPU_CORES
3,17,6,CAMERA_FRONT
9,47,26,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
7,34,25,TITLE
3,14,6,BLUETOOTH_VERSION
4,32,21,OS
1,5,0,PRICE
9,74,7,NETWORK_4G
6,43,25,WIFI
5,37,27,BATTERY_CAPACITY
4,31,21,CPU
4,28,18,CPU_CORES
9,39,24,EXTERNAL_MEMORY
4,18,4,CAMERA_FRONT
8,50,34,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,42,22,SCREEN_RESOLUTION
7,34,25,TITLE
6,45,33,SIM_CARD_TYPE
1,5,0,PRICE
10,85,7,NETWORK_4G
6,41,24,WIFI
5,37,27,BATTERY_CAPACITY
4,31,21,CPU
3,11,3,CAMERA_FRONT
6,34,20,CAMERA_BACK
4,17,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,34,24,TITLE
1,5,0,PRICE
3,8,5,RAM_CAPACITY
8,37,26,TITLE
1,5,0,PRICE
7,34,25,TITLE
8,47,33,SIM_CARD_TYPE
1,5,0,PRICE
8,35,9,NETWORK_2G
8,50,34,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,34,25,TITLE
1,5,0,PRICE
5,36,26,BATTERY_CAPACITY
4,31,21,CPU
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,35,26,TITLE
7,36,27,TITLE
7,34,25,TITLE
7,32,22,TITLE
3,13,5,BLUETOOTH_VERSION
3,22,13,OS
1,5,0,PRICE
5,36,26,BATTERY_CAPACITY
3,8,5,RAM_CAPACITY
2,10,6,GPU
4,31,21,CPU
7,44,24,CPU_CORES
3,11,3,CAMERA_FRONT
16,105,62,CAMERA_BACK
2,5,1,WEIGHT
12,45,8,PRODUCT_SIZE
7,34,25,TITLE
1,5,0,PRICE
7,31,22,TITLE
3,13,5,BLUETOOTH_VERSION
7,53,36,OS
1,5,0,PRICE
10,84,22,NETWORK_4G
7,57,35,WIFI
5,37,27,BATTERY_CAPACITY
1,12,7,GPU
3,15,12,CPU
7,55,30,CPU_CORES
5,24,6,CAMERA_FRONT
9,56,36,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,41,23,SCREEN_SIZE
7,34,25,TITLE
1,5,0,PRICE
7,34,25,TITLE
1,5,0,PRICE
7,32,22,TITLE
7,33,24,TITLE
1,5,0,PRICE
7,35,26,TITLE
1,5,0,PRICE
8,36,26,TITLE
1,5,0,PRICE
7,32,23,TITLE
7,31,22,TITLE
1,5,0,PRICE
7,34,25,TITLE
1,5,0,PRICE
7,31,22,TITLE
7,32,23,TITLE
1,5,0,PRICE
6,32,24,TITLE
1,5,0,PRICE
21,180,8,NETWORK_4G
6,36,5,NETWORK_3G
7,47,28,BATTERY_CAPACITY
3,18,11,CPU_CORES
16,109,77,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
6,30,21,TITLE
6,36,18,OS
1,5,0,PRICE
7,47,29,BATTERY_CAPACITY
3,18,11,CPU_CORES
18,116,70,CAMERA_BACK
4,15,3,WEIGHT
6,31,23,TITLE
1,5,0,PRICE
6,31,22,TITLE
6,30,22,TITLE
6,30,22,TITLE
1,5,0,PRICE
7,43,26,TITLE
1,5,0,PRICE
13,92,17,NETWORK_4G
5,37,27,BATTERY_CAPACITY
1,9,5,GPU
3,16,10,CPU
4,28,18,CPU_CORES
3,11,3,CAMERA_FRONT
6,34,20,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,47,39,SCREEN_TYPE
8,42,22,SCREEN_RESOLUTION
6,38,28,TITLE
4,21,10,BLUETOOTH_VERSION
4,29,18,OS
28,153,20,NETWORK_4G
5,37,27,BATTERY_CAPACITY
1,12,7,GPU
2,11,6,CPU
8,59,36,CPU_CORES
8,44,26,CAMERA_FRONT
12,76,51,CAMERA_BACK
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
9,58,38,TITLE
1,4,0,PRICE
3,16,5,NETWORK_3G
5,33,24,BATTERY_CAPACITY
1,11,6,GPU
2,17,12,CPU
4,27,18,CPU_CORES
1,3,3,CAMERA_FRONT
5,22,11,CAMERA_BACK
4,15,3,WEIGHT
12,46,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,39,31,SCREEN_TYPE
8,41,22,SCREEN_RESOLUTION
8,52,33,TITLE
1,5,0,PRICE
8,60,7,NETWORK_4G
5,33,24,BATTERY_CAPACITY
3,10,5,RAM_CAPACITY
2,17,12,CPU
4,27,18,CPU_CORES
7,38,26,EXTERNAL_MEMORY
6,33,20,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,44,27,TITLE
7,42,29,TITLE
4,21,10,BLUETOOTH_VERSION
1,5,0,PRICE
44,272,55,NETWORK_4G
7,35,8,NETWORK_3G
5,37,27,BATTERY_CAPACITY
2,14,7,GPU
3,16,10,CPU
8,57,37,CPU_CORES
9,39,24,EXTERNAL_MEMORY
9,44,25,CAMERA_FRONT
10,61,39,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,51,32,TITLE
4,29,18,OS
1,5,0,PRICE
8,59,7,NETWORK_4G
5,33,24,BATTERY_CAPACITY
3,16,10,CPU
3,11,3,CAMERA_FRONT
6,33,20,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
7,41,28,TITLE
42,266,52,NETWORK_4G
7,38,26,EXTERNAL_MEMORY
9,53,34,TITLE
1,5,0,PRICE
10,78,7,NETWORK_4G
5,32,23,TITLE
1,5,0,PRICE
11,91,7,NETWORK_4G
6,37,27,TITLE
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
4,15,3,WEIGHT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,44,31,TITLE
1,5,0,PRICE
4,23,15,BATTERY_CAPACITY
2,11,6,CPU
5,21,13,EXTERNAL_MEMORY
2,4,2,CAMERA_FRONT
2,5,1,WEIGHT
6,19,4,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
7,44,27,TITLE
1,9,8,SIM_CARD_TYPE
1,5,0,PRICE
14,71,13,NETWORK_4G
7,43,30,TITLE
8,55,44,TITLE
4,27,18,OS
1,5,0,PRICE
7,50,7,NETWORK_4G
4,22,5,NETWORK_3G
2,16,11,GPU
3,22,16,CPU
4,28,18,CPU_CORES
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
7,46,28,TITLE
1,5,0,PRICE
7,43,26,TITLE
9,57,37,TITLE
8,51,32,TITLE
9,64,10,NETWORK_4G
2,4,2,CAMERA_FRONT
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
10,61,47,TITLE
1,12,7,GPU
2,16,11,CPU
4,15,10,CAMERA_FRONT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
7,43,26,TITLE
8,51,32,TITLE
1,4,0,PRICE
3,17,11,CPU_CORES
9,39,24,EXTERNAL_MEMORY
5,32,23,TITLE
1,5,0,PRICE
8,43,30,TITLE
9,58,38,TITLE
8,51,32,TITLE
1,5,0,PRICE
8,41,27,TITLE
4,20,10,BLUETOOTH_VERSION
4,25,16,OS
1,5,0,PRICE
5,37,27,BATTERY_CAPACITY
1,12,7,GPU
4,25,16,CPU
7,55,30,CPU_CORES
9,56,25,CAMERA_FRONT
11,66,44,CAMERA_BACK
12,39,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,35,25,TITLE
1,5,0,PRICE
12,99,7,NETWORK_4G
7,49,29,WIFI
1,12,7,GPU
4,25,16,CPU
4,28,18,CPU_CORES
8,48,25,CAMERA_FRONT
7,43,33,CAMERA_BACK
4,17,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
9,51,37,TITLE
1,5,0,PRICE
21,185,7,NETWORK_4G
13,63,25,NETWORK_2G
5,37,27,BATTERY_CAPACITY
4,31,21,CPU
8,48,30,CPU_CORES
5,23,5,CAMERA_FRONT
9,56,36,CAMERA_BACK
4,17,3,WEIGHT
12,45,8,PRODUCT_SIZE
8,41,27,TITLE
1,5,0,PRICE
8,39,26,TITLE
1,5,0,PRICE
19,167,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
4,31,21,CPU
8,59,36,CPU_CORES
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
9,50,36,TITLE
1,5,0,PRICE
6,29,18,TITLE
10,66,39,OS
1,5,0,PRICE
8,58,35,WIFI
4,31,21,CPU
5,27,16,CPU_CORES
4,22,9,CAMERA_FRONT
9,49,26,CAMERA_BACK
2,5,1,WEIGHT
6,17,4,PRODUCT_SIZE
10,55,28,SCREEN_SIZE
5,38,31,SCREEN_TYPE
8,38,25,TITLE
8,39,28,TITLE
3,9,2,CAMERA_FRONT
9,51,37,TITLE
8,41,27,TITLE
8,46,33,TITLE
7,35,25,TITLE
9,50,36,TITLE
8,41,27,TITLE
9,48,34,TITLE
4,19,9,BLUETOOTH_VERSION
1,5,0,PRICE
7,41,7,NETWORK_4G
2,13,7,GPU
3,19,14,CPU
7,55,30,CPU_CORES
4,18,4,CAMERA_FRONT
6,34,20,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
6,34,22,TITLE
1,5,0,PRICE
22,194,7,NETWORK_4G
8,62,39,WIFI
5,37,27,BATTERY_CAPACITY
2,12,7,GPU
3,19,14,CPU
7,55,30,CPU_CORES
18,109,74,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
6,46,37,SCREEN_TYPE
8,43,22,SCREEN_RESOLUTION
8,46,34,TITLE
2,9,3,BLUETOOTH_VERSION
3,25,18,OS
1,5,0,PRICE
8,65,7,NETWORK_4G
5,36,26,BATTERY_CAPACITY
3,11,3,CAMERA_FRONT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,41,34,SCREEN_TYPE
5,30,19,TITLE
3,14,6,BLUETOOTH_VERSION
4,27,16,OS
1,4,0,PRICE
7,51,7,NETWORK_4G
5,33,18,WIFI
4,31,21,CPU
2,5,1,WEIGHT
6,20,4,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,43,22,SCREEN_RESOLUTION
9,47,33,TITLE
1,5,0,PRICE
7,37,24,TITLE
1,5,0,PRICE
11,56,39,TITLE
1,5,0,PRICE
8,44,28,TITLE
9,69,7,NETWORK_4G
9,43,32,TITLE
1,5,0,PRICE
7,39,26,TITLE
1,5,0,PRICE
7,35,28,TITLE
1,5,0,PRICE
10,88,7,NETWORK_4G
5,37,27,BATTERY_CAPACITY
3,19,14,CPU
3,17,11,CPU_CORES
9,52,30,CAMERA_BACK
12,43,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,37,24,TITLE
11,57,40,TITLE
8,44,32,TITLE
8,44,28,TITLE
9,48,34,TITLE
7,36,26,TITLE
5,36,26,BATTERY_CAPACITY
2,16,11,CPU
4,28,18,CPU_CORES
7,40,22,CAMERA_BACK
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
5,31,22,TITLE
8,51,32,TITLE
1,5,0,PRICE
7,43,26,TITLE
6,37,25,TITLE
7,41,30,TITLE
4,27,16,OS
1,5,0,PRICE
4,23,15,BATTERY_CAPACITY
1,10,10,CPU
4,27,18,CPU_CORES
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
8,41,22,SCREEN_RESOLUTION
8,44,31,TITLE
8,47,33,TITLE
1,5,0,PRICE
7,54,33,WIFI
4,23,15,BATTERY_CAPACITY
3,17,11,CPU_CORES
4,15,3,WEIGHT
12,45,8,PRODUCT_SIZE
5,40,23,SCREEN_SIZE
7,44,32,TITLE
2,5,1,WEIGHT
6,19,4,PRODUCT_SIZE
10,53,28,SCREEN_SIZE
10,63,49,TITLE
