TITLE|BLUETOOTH_VERSION|WIFI|EXTERNAL_MEMORY|ROM|RAM|PRICE|NETWORK_2G|NETWORK_3G|NETWORK_4G|WIRELESS_CONNECTIVITY|BATTERY_CAPACITY|CAMERA_BACK|CAMERA_FRONT|SIM_CARD_TYPE|PRODUCT_SIZE|WEIGHT|SCREEN_TYPE|SCREEN_SIZE|SCREEN_RESOLUTION|GPU|CPU|OS|CPU_CORES
samsung galaxy a3 (2017) lte sm-a320fl blue|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|249 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), td-lte 2300 (bands 40)|gsm / hspa / lte|non-removable li-ion 2350 mah battery|13 mp, f/1.9, autofocus, led flash|8 mp, f/1.9|nano-sim|135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)|135 g (4.76 oz)|super amoled capacitive touchscreen, 16m colors|4.7 inches (~67.9% screen-to-body ratio)|720 x 1280 pixels (~312 ppi pixel density)|mali-t830|exynos 7870 octa|android os, v6.0.1 (marshmallow)|octa-core 1.6 ghz cortex-a53
samsung galaxy s6 duos sm-g920fd black|v4.1, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|no|32 gb| 3 gb ram||gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 700 (b12), 800 (b26), 800 (b19)|gsm / hspa / lte|non-removable li-ion 2550 mah battery|16 mp, 2988 x 5312 pixels, optical image stabilization, autofocus, led flash|5 mp, 1440p@30fps, dual video call, auto hdr|dual sim (nano-sim, dual stand-by)|143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~70.7% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t760mp8|exynos 7420|android os, v5.0.2 (lollipop)|quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57
samsung galaxy j1 mini prime (2016) duos sm-j106h-ds white|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|8 gb| 1 gb ram|90 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100||gsm / hspa|removable li-ion 1500 mah battery|5 mp, f/2.2, led flash|vga|dual sim (micro-sim, dual stand-by)|126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in)|123 g (4.34 oz)|tft capacitive touchscreen, 256k colors|4.0 inches (~57.0% screen-to-body ratio)|480 x 800 pixels (~233 ppi pixel density)|mali-400mp2|spreadtrum sc9830|android os, v6.0 (marshmallow)|quad-core 1.2 ghz cortex-a7
samsung galaxy j2 (2016) dual sim sm-j210f/ds silver|v4.1, a2dp, le|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1.5 gb ram|183 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300)|gsm / hspa / lte|removable li-ion 2600 mah battery|8 mp, f/2.2, autofocus, led flash|5 mp, f/2.2|dual sim (micro-sim, dual stand-by)|142.4 x 71.1 x 8 mm (5.61 x 2.80 x 0.31 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.0 inches (~68.1% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-400mp2|spreadtrum sc8830|android os, v6.0.1 (marshmallow)|quad-core 1.5 ghz cortex-a7
samsung galaxy a3 (2017) lte sm-a320fl black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|249 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), td-lte 2300 (bands 40)|gsm / hspa / lte|non-removable li-ion 2350 mah battery|13 mp, f/1.9, autofocus, led flash|8 mp, f/1.9|nano-sim|135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)|135 g (4.76 oz)|super amoled capacitive touchscreen, 16m colors|4.7 inches (~67.9% screen-to-body ratio)|720 x 1280 pixels (~312 ppi pixel density)|mali-t830|exynos 7870 octa|android os, v6.0.1 (marshmallow)|octa-core 1.6 ghz cortex-a53
samsung galaxy s7 32gb duos sm-g930fd gold|v4.2, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 200 gb (uses sim 2 slot)|32 gb| 4 gb ram|518 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100 sim 1|lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39), 700 (b28), td-lte3500 (b42) sim 1|gsm / hspa / lte|non-removable li-ion 3000 mah battery|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|5 mp, f/1.7, 22mm, dual video call, auto hdr|dual sim (nano-sim, dual stand-by)|142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in)|152 g (5.36 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~72.1% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t880 mp12|exynos 8890 octa|android os, v6.0 (marshmallow)|quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53
samsung galaxy j1 (2016) duos lte sm-j120f/ds white|v4.1, a2dp, le|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1 gb ram|146 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)|gsm / hspa / lte|removable li-ion 2050 mah battery|5 mp, f/2.2, autofocus, led flash|2 mp, f/2.2|dual sim (micro-sim, dual stand-by)|132.6 x 69.3 x 8.9 mm (5.22 x 2.73 x 0.35 in)|131 g (4.62 oz)|super amoled capacitive touchscreen, 16m colors|4.5 inches (~44.8% screen-to-body ratio)|480 x 800 pixels (~245 ppi pixel density)|mali-t720|exynos 3475 quad|android os, v5.1.1 (lollipop)|quad-core 1.3 ghz cortex-a7
samsung galaxy s7 32gb sm-g930f pink gold|v4.2, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 200 gb (dedicated slot)|32 gb| 4 gb ram|497 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39), 700 (b28), td-lte3500 (b42)|gsm / hspa / lte|non-removable li-ion 3000 mah battery|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|5 mp, f/1.7, 22mm, dual video call, auto hdr|nano-sim|142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in)|152 g (5.36 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~72.1% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t880 mp12|exynos 8890 octa|android os, v6.0 (marshmallow)|quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53
samsung galaxy a3 (2017) dual sim lte sm-a320fd black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|16 gb| 2 gb ram|260 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)|gsm / hspa / lte|non-removable li-ion 2350 mah battery|13 mp, f/1.9, autofocus, led flash|8 mp, f/1.9|dual sim (nano-sim, dual stand-by)|135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)|135 g (4.76 oz)|super amoled capacitive touchscreen, 16m colors|4.7 inches (~67.9% screen-to-body ratio)|720 x 1280 pixels (~312 ppi pixel density)|mali-t830|exynos 7870 octa|android os, v6.0.1 (marshmallow)|octa-core 1.6 ghz cortex-a53
samsung galaxy s6 sm-g920f black|v4.1, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|no|32 gb| 3 gb ram|421 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)|gsm / hspa / lte|non-removable li-ion 2550 mah battery|16 mp, 2988 x 5312 pixels, optical image stabilization, autofocus, led flash|5 mp, 1440p@30fps, dual video call, auto hdr|nano-sim|143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~70.7% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t760mp8|exynos 7420|android os, v5.0.2 (lollipop)|quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57
samsung galaxy s6 edge sm-g925f black|v4.1, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|no|32 gb| 3 gb ram|425 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)|gsm / hspa / lte|non-removable li-ion 2600 mah battery|16 mp, 2988 x 5312 pixels, optical image stabilization, autofocus, led flash|5 mp, 1440p@30fps, dual video call, auto hdr|nano-sim|142.1 x 70.1 x 7 mm (5.59 x 2.76 x 0.28 in)|132 g (4.66 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~71.7% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t760mp8|exynos 7420|android os, v5.0.2 (lollipop)|quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57
samsung galaxy j2 dual sim 3g j200h-ds white|v4.1, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb|8 gb| 1 gb ram|124 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100||gsm / hspa / lte|li-ion 2000 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|2 mp|dual sim (micro-sim, dual stand-by)|136.5 x 69 x 8.4 mm|130 g|super amoled capacitive touchscreen, 16m colors|4.7 inches (~64.7% screen-to-body ratio)|540 x 960 pixels (~234 ppi pixel density)|mali-t720|exynos 3475|android os, v5.1.1 (lollipop)|quad-core 1.3 ghz cortex-a7
samsung galaxy j1 (2016) lte sm-j120fn black|v4.1, a2dp, le|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1 gb ram|151 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 2100 (b1), 850 (b5), 1800 (b3), 2600 (b7), 900 (b8), 800 (b20)|gsm / hspa / lte|removable li-ion 2050 mah battery|5 mp, f/2.2, autofocus, led flash|2 mp, f/2.2|micro-sim|132.6 x 69.3 x 8.9 mm (5.22 x 2.73 x 0.35 in)|131 g (4.62 oz)|super amoled capacitive touchscreen, 16m colors|4.5 inches (~44.8% screen-to-body ratio)|480 x 800 pixels (~245 ppi pixel density)|mali-t720|exynos 3475 quad|android os, v5.1.1 (lollipop)|quad-core 1.3 ghz cortex-a7
samsung galaxy s7 32gb duos sm-g930fd black|v4.2, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 200 gb (uses sim 2 slot)|32 gb| 4 gb ram||gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100 sim 1|lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39), 700 (b28), td-lte3500 (b42) sim 1|gsm / hspa / lte|non-removable li-ion 3000 mah battery|12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash|5 mp, f/1.7, 22mm, dual video call, auto hdr|dual sim (nano-sim, dual stand-by)|142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in)|152 g (5.36 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~72.1% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t880 mp12|exynos 8890 octa|android os, v6.0 (marshmallow)|quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53
samsung galaxy core prime value edition sm-g361f silver|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 64 gb|8 gb| 1 gb ram|120 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900)|gsm / hspa / lte|li-ion 2000 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|2 mp|micro-sim|130.8 x 67.9 x 8.8 mm (5.15 x 2.67 x 0.35 in)|130 g (4.59 oz)|capacitive touchscreen, 16m colors|4.5 inches (~64.9% screen-to-body ratio)|480 x 800 pixels (~207 ppi pixel density)|vivante gc7000ul|marvell armada pxa1908|android os, v5.1 (lollipop)|quad-core 1.2 ghz cortex-a53
samsung galaxy j1 (2016) duos sm-j120h/ds gold|v4.1, a2dp, le|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1 gb ram|142 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100||gsm / hspa|removable li-ion 2050 mah battery|5 mp, f/2.2, autofocus, led flash|2 mp, f/2.2|dual sim (micro-sim, dual stand-by)|132.6 x 69.3 x 8.9 mm (5.22 x 2.73 x 0.35 in)|131 g (4.62 oz)|super amoled capacitive touchscreen, 16m colors|4.5 inches (~44.8% screen-to-body ratio)|480 x 800 pixels (~245 ppi pixel density)|mali-t720|exynos 3475 quad|android os, v5.1.1 (lollipop)|quad-core 1.3 ghz cortex-a7
samsung galaxy a3 (2017) lte sm-a320f black|v4.2, a2dp, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram||gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)|gsm / hspa / lte|non-removable li-ion 2350 mah battery|13 mp, f/1.9, autofocus, led flash|8 mp, f/1.9|nano-sim|135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)|135 g (4.76 oz)|super amoled capacitive touchscreen, 16m colors|4.7 inches (~67.9% screen-to-body ratio)|720 x 1280 pixels (~312 ppi pixel density)|mali-t830|exynos 7870 octa|android os, v6.0.1 (marshmallow)|octa-core 1.6 ghz cortex-a53
samsung galaxy j1 mini prime (2016) duos sm-j106h-ds gold|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|8 gb| 1 gb ram|90 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100||gsm / hspa|removable li-ion 1500 mah battery|5 mp, f/2.2, led flash|vga|dual sim (micro-sim, dual stand-by)|126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in)|123 g (4.34 oz)|tft capacitive touchscreen, 256k colors|4.0 inches (~57.0% screen-to-body ratio)|480 x 800 pixels (~233 ppi pixel density)|mali-400mp2|spreadtrum sc9830|android os, v6.0 (marshmallow)|quad-core 1.2 ghz cortex-a7
samsung galaxy j3 (2016) dual sim sm-j320f/ds white|v4.1, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1.5 gb ram|142 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100 sim 1|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) sim1|gsm / hspa / lte|removable li-ion 2600 mah battery|8 mp, autofocus, led flash|5 mp|dual sim (micro-sim, dual stand-by)|142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.0 inches (~68.2% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|||android os, v5.1.1 (lollipop)|quad-core 1.2 ghz cortex-a7
samsung galaxy grand prime plus dual sim lte sm-g532f/ds gold|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|8 gb| 1 gb ram|146 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300)|gsm / hspa / lte|removable li-ion 2600 mah battery|8 mp, autofocus, led flash|5 mp, led flash|dual sim (micro-sim, dual stand-by)|144.8 x 72.1 x 8.9 mm (5.70 x 2.84 x 0.35 in)|156 g (5.50 oz)|capacitive touchscreen, 16m colors|5.0 inches (~66.0% screen-to-body ratio)|540 x 960 pixels (~220 ppi pixel density)|mali-t720mp2|mediatek mt6737t|android os, v6.0.1 (marshmallow)|quad-core 1.4 ghz cortex-a53
samsung galaxy j3 (2016) lte sm-j320f black|v4.1, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1.5 gb ram|142 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)|gsm / hspa / lte|removable li-ion 2600 mah battery|8 mp, autofocus, led flash|5 mp|micro-sim|142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.0 inches (~68.2% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|||android os, v5.1.1 (lollipop)|quad-core 1.2 ghz cortex-a7
samsung galaxy j1 mini (2016) duos sm-j105h-ds gold|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (uses sim 2 slot)|8 gb| 768 mb ram|86 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100||gsm / hspa|removable li-ion 1500 mah battery|5 mp|vga|dual sim (micro-sim, dual stand-by)|126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in)|123 g (4.34 oz)|tft capacitive touchscreen, 256k colors|4.0 inches (~57.0% screen-to-body ratio)|480 x 800 pixels (~233 ppi pixel density)|mali-400mp2|spreadtrum sc8830|android os, v5.1 (lollipop)|quad-core 1.2 ghz
samsung galaxy s6 sm-g920f white|v4.1, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot|no|32 gb| 3 gb ram|435 €|gsm 850 / 900 / 1800 / 1900|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)|gsm / hspa / lte|non-removable li-ion 2550 mah battery|16 mp, 2988 x 5312 pixels, optical image stabilization, autofocus, led flash|5 mp, 1440p@30fps, dual video call, auto hdr|nano-sim|143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.1 inches (~70.7% screen-to-body ratio)|1440 x 2560 pixels (~577 ppi pixel density)|mali-t760mp8|exynos 7420|android os, v5.0.2 (lollipop)|quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57
samsung galaxy j2 dual sim 3g j200h-ds gold|v4.1, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb|8 gb| 1 gb ram|131 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100||gsm / hspa / lte|li-ion 2000 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|2 mp|dual sim (micro-sim, dual stand-by)|136.5 x 69 x 8.4 mm|130 g|super amoled capacitive touchscreen, 16m colors|4.7 inches (~64.7% screen-to-body ratio)|540 x 960 pixels (~234 ppi pixel density)|mali-t720|exynos 3475|android os, v5.1.1 (lollipop)|quad-core 1.3 ghz cortex-a7
samsung galaxy j1 mini prime (2016) duos sm-j106h-ds black|v4.0, a2dp|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (uses sim 2 slot)|8 gb| 1 gb ram|90 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100||gsm / hspa|removable li-ion 1500 mah battery|5 mp, f/2.2, led flash|vga|dual sim (micro-sim, dual stand-by)|126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in)|123 g (4.34 oz)|tft capacitive touchscreen, 256k colors|4.0 inches (~57.0% screen-to-body ratio)|480 x 800 pixels (~233 ppi pixel density)|mali-400mp2|spreadtrum sc9830|android os, v6.0 (marshmallow)|quad-core 1.2 ghz cortex-a7
samsung galaxy j2 (2016) dual sim sm-j210f/ds black|v4.1, a2dp, le|wi-fi 802.11 b/g/n, wi-fi direct, hotspot|microsd, up to 128 gb (dedicated slot)|8 gb| 1.5 gb ram|205 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300)|gsm / hspa / lte|removable li-ion 2600 mah battery|8 mp, f/2.2, autofocus, led flash|5 mp, f/2.2|dual sim (micro-sim, dual stand-by)|142.4 x 71.1 x 8 mm (5.61 x 2.80 x 0.31 in)|138 g (4.87 oz)|super amoled capacitive touchscreen, 16m colors|5.0 inches (~68.1% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-400mp2|spreadtrum sc8830|android os, v6.0.1 (marshmallow)|quad-core 1.5 ghz cortex-a7
sony xperia xa1 dual sim 16gb g3112 black|v4.2, a2dp, aptx, le|wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 3 gb ram|286 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)|gsm / hspa / lte|non-removable li-ion 2300 mah battery|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|"8 mp, f/2.0, 23mm, autofocus, 1/4"" sensor size, 1080p"|dual sim (nano-sim, dual stand-by)|145 x 67 x 8 mm (5.71 x 2.64 x 0.31 in)|143 g (5.04 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~70.9% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-t880mp2|mediatek mt6757 helio p20|android os, v7.0 (nougat)|octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)
sony xperia xa dual sim f3116 black|v4.1, a2dp, le, apt-x|wi-fi 802.11 a/b/g/n, wi-fi direct, dlna, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|197 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-ion 2300 mah battery|13 mp, phase detection autofocus, led flash|"8 mp, 1/4"" sensor size, autofocus, 1080p, hdr"|dual sim (nano-sim, dual stand-by)|143.6 x 66.8 x 7.9 mm (5.65 x 2.63 x 0.31 in)|137.4 g (4.83 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~71.8% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-t860mp2|mediatek mt6755 helio p10|android os, v6.0.1 (marshmallow)|octa-core 2.0 ghz cortex-a53
sony xperia x performance dual sim 64gb f8132 black|v4.2, a2dp, aptx, le|wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot|microsd, up to 256 gb (uses sim 2 slot)|64 gb| 3 gb ram|476 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2 (dual sim model only)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)|gsm / hspa / lte|non-removable li-ion 2700 mah battery|23 mp, f/2.0, 24mm, phase detection autofocus, led flash|13 mp, f/2.0, 22mm, 1/3|dual sim (nano-sim, dual stand-by)|143.7 x 70.4 x 8.7 mm (5.66 x 2.77 x 0.34 in)|164.4 g (5.78 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~68.1% screen-to-body ratio)|1080 x 1920 pixels (~441 ppi pixel density)|adreno 530|qualcomm msm8996 snapdragon 820|android os, v6.0.1 (marshmallow)|dual-core 2.15 ghz kryo & dual-core 1.6 ghz kryo
sony xperia xa1 dual sim 16gb g3112 white|v4.2, a2dp, aptx, le|wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 3 gb ram|273 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)|gsm / hspa / lte|non-removable li-ion 2300 mah battery|23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash|"8 mp, f/2.0, 23mm, autofocus, 1/4"" sensor size, 1080p"|dual sim (nano-sim, dual stand-by)|145 x 67 x 8 mm (5.71 x 2.64 x 0.31 in)|143 g (5.04 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~70.9% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-t880mp2|mediatek mt6757 helio p20|android os, v7.0 (nougat)|octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)
