GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_617662.html	z28 tv box	$37.99	tv box 	2g ram 	mali-450mp2 		z28 	rk3328 	cortex a53 	quad core 	black 	ddr3 	16g rom 	0.2500 kg 	11.00 x 11.00 x 2.50 cm / 4.33 x 4.33 x 0.98 inches 		2	unsupport 	10 / 100m 	8188etv 	64bit 	64gb 	android 	
http://www.gearbest.com/tv-box-mini-pc/pp_614303.html	minix neo u1 live tv box + minix neo a3 air mouse	$144.56	tv box 	2g 	mali-450 	minix 	neo u1 		cortex a53 	quad core 	black 	ddr3 	16g 	0.7600 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	kensington lock,otg,tf card,usb2.0 					64bit 	64gb 	android 5.1.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_616046.html	scishion v88 mini ii tv box	$29.99	tv box 	2g ram 	mali-400 	scishion 	v88 mini ii 	rk3229 	rk3229 	quad core 		ddr3 	8g rom 	0.0980 kg 	11.50 x 10.50 x 2.00 cm / 4.53 x 4.13 x 0.79 inches 	av,dc power port,hdmi,spdif,tf card,usb2.0 	1.4	bluetooth4.0 	100m 	8723cs 	32bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_661157.html	csa96 android 6.0 tv box	$140.02		4g 			csa96 		arm cortex-a53,arm cortex-a72 	2.0ghz 			32g 	0.1500 kg 	10.70 x 10.70 x 2.00 cm / 4.21 x 4.21 x 0.79 inches 	dc 5v,hdmi,lan,optical,tf card,type-c,usb2.0,usb3.0 	2		1000m 		64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_649683.html	zidoo x7 rk3328 smart tv box	$69.0	tv box 	2g ram 	mali-450mp2 	zidoo 		rk3328 	arm cortex-a53 	2.0ghz,quad core 		ddr3 	8g rom 	0.2000 kg 	10.90 x 10.90 x 2.00 cm / 4.29 x 4.29 x 0.79 inches 		2	bluetooth 4.1 	100m 	ap6255 	64bit 	64gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_612098.html	mecool km8 p hd android tv box	$66.21	tv box 	2g ram 	arm mali-t820mp3 	mecool 	km8 p 	amlogic s912 	cortex a53 	octa core 		ddr3 	16g rom 	0.0900 kg 	9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	2		100m 		64bit 	128gb 	android 7.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_630433.html	sunvell t95d tv box	$23.99	tv box 	1g ram 	mali-400 	sunvell 	t95d 		rk3229 	quad core 	black 	ddr3 	8g rom 	0.1500 kg 	10.20 x 10.20 x 2.30 cm / 4.02 x 4.02 x 0.91 inches 	tf card,usb2.0 			100m 		64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_615651.html	voyo v1 mini pc intel celeron n3450	$189.99	mini pc 	4g 	intel hd graphic 	voyo 	v1 		intel celeron n3450 	quad core 	blue,golden,rose gold 	ddr3l 	128g 	0.4000 kg 	12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 	2tb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_606552.html	voyo v1 vmac mini pc	$149.99	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 vmac 	apollo lake n3450 	apollo lake n3450 	quad core 		ddr3l 	64g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 		windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_584238.html	original xiaomi mi 3s tv box amlogic s905x quad core	$54.99	tv box 	2g ram 	mali-450 	xiaomi 	3s 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g rom 	0.1760 kg 	10.10 x 10.10 x 1.95 cm / 3.98 x 3.98 x 0.77 inches 	av,dc power port,hdmi,usb2.0 	2	bluetooth 4.1 + edr 	no 	no 	64bit 	no 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_608447.html	mecool kiii pro internet tv box	$115.99	tv box 	3gb 	arm mali-t820mp3 	mecool 	kiii pro 	amlogic s912 	amlogic s912 	octa core 	black 	ddr3 	16g 	0.2600 kg 	13.00 x 12.00 x 3.20 cm / 5.12 x 4.72 x 1.26 inches 	av,dvb-s2,dvb-t2,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	1000m 	bcm4335 	64bit 	128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_328433.html	onda m3 mini pc	$284.82	mini pc 	4g ram 		onda 	m3 		intel celeron g1840 	single core 	golden 	ddr3 	128g rom 	1.3070 kg 	19.70 x 19.70 x 3.30 cm / 7.76 x 7.76 x 1.3 inches 	3.5mm audio,dc power port,lan,microphone jack,mini hdmi female,usb2.0,usb3.0,vga,wifi antenna 	2				64bit 	128gb 		
http://www.gearbest.com/tv-box-mini-pc/pp_343428.html	hystou fmp03 fanless mini pc	$203.37	mini pc 		intel hd graphics 4400 	hystou 	fmp03 		core-i3-5005u 	2.0ghz 	silver 	ddr3 		1.250 kg 	19.80 x 19.80 x 3.70 cm / 7.8 x 7.8 x 1.46 inches 	dc power port,hdmi,lan,usb3.0,vga 	2				32bit 			
http://www.gearbest.com/tv-box-mini-pc/pp_607556.html	beelink gt1 ultimate tv android hd box	$71.99	tv box 	3g ram 	arm mali-t820mp3 	beelink 	gt1 ultimate 		amlogic s912 	2.0ghz,octa core 		ddr4 	32g 	0.1930 kg 	9.60 x 9.60 x 1.60 cm / 3.78 x 3.78 x 0.63 inches 	dc 5v,hdmi,lan,micro sd card slot,spdif,usb2.0 	2	bluetooth4.0 			32bit 	64gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_621478.html	miracast dlna airmirror airplay screen mirroring hdmi cable	$11.89																						
http://www.gearbest.com/tv-box-mini-pc/pp_616701.html	alfawise a95x r1 tv box	$22.99	tv box 	1g 	mali-400 mp 	alfawise 	a95x r1 		rk3229 	1.5ghz,quad core 		ddr3 	8g 	0.1200 kg 	9.30 x 9.30 x 1.50 cm / 3.66 x 3.66 x 0.59 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2	unsupport 		rtl8189 	32bit 	32gb 	android 6.0 	
