Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	36.64%	52.97%	63.36%	56.10%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	36.67%	54.27%	63.33%	56.90%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	36.77%	46.11%	63.23%	52.90%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	36.78%	45.65%	63.22%	52.59%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	36.78%	45.11%	63.22%	52.21%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	36.82%	45.58%	63.18%	52.53%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	36.84%	56.51%	63.16%	56.17%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	36.86%	55.47%	63.14%	56.43%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	36.88%	45.23%	63.12%	52.27%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	36.90%	53.04%	63.10%	55.92%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	36.91%	54.99%	63.09%	56.82%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	36.99%	54.08%	63.01%	56.32%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	37.10%	44.44%	62.90%	51.58%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	37.10%	44.37%	62.90%	51.54%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	37.12%	55.57%	62.88%	56.71%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	37.12%	44.28%	62.88%	51.46%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	37.14%	49.00%	62.86%	54.24%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	37.16%	44.40%	62.84%	51.54%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	37.25%	45.91%	62.75%	52.19%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	37.36%	44.05%	62.64%	51.15%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	37.40%	52.03%	62.60%	55.39%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	37.45%	55.42%	62.55%	56.27%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	37.45%	49.92%	62.55%	54.80%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	37.49%	53.10%	62.51%	55.57%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	37.51%	52.28%	62.49%	55.69%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	37.51%	50.11%	62.49%	54.93%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	37.70%	43.80%	62.30%	50.60%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	37.75%	43.53%	62.25%	50.47%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	37.88%	52.73%	62.12%	54.88%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	37.92%	43.93%	62.08%	50.53%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	38.03%	50.39%	61.97%	54.49%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.05%	52.79%	61.95%	55.20%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.07%	52.82%	61.93%	55.09%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	38.10%	46.56%	61.90%	51.56%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	38.10%	43.76%	61.90%	50.23%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	38.16%	51.55%	61.84%	54.73%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	38.20%	45.24%	61.80%	50.34%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	38.20%	43.39%	61.80%	50.01%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	38.27%	52.87%	61.73%	54.83%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.27%	52.46%	61.73%	55.08%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.35%	53.20%	61.65%	55.30%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.35%	48.33%	61.65%	53.45%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	38.40%	50.02%	61.60%	54.08%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	38.42%	46.11%	61.58%	50.36%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	38.42%	45.79%	61.58%	50.31%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	38.42%	44.47%	61.58%	49.51%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	38.46%	46.14%	61.54%	50.42%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.48%	51.16%	61.52%	54.41%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	38.49%	44.57%	61.51%	49.68%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	38.53%	46.02%	61.47%	50.14%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	38.57%	45.65%	61.43%	49.94%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	38.61%	49.82%	61.39%	53.89%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	38.64%	48.25%	61.36%	52.80%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	38.66%	44.75%	61.34%	49.41%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	38.74%	50.21%	61.26%	53.70%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	38.81%	51.77%	61.19%	54.50%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	38.83%	43.99%	61.17%	48.95%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	38.87%	44.99%	61.13%	49.56%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	38.90%	44.96%	61.10%	49.56%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	38.96%	48.81%	61.04%	50.75%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	38.98%	49.40%	61.02%	53.50%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	38.98%	43.10%	61.02%	48.50%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	39.00%	44.93%	61.00%	49.38%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	39.00%	44.29%	61.00%	48.95%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	39.05%	52.87%	60.95%	54.19%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	39.09%	42.69%	60.91%	48.22%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	39.22%	43.41%	60.78%	48.49%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	39.26%	46.96%	60.74%	51.92%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	39.42%	43.59%	60.58%	49.56%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	39.48%	47.01%	60.52%	51.75%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	39.50%	50.00%	60.50%	53.54%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	39.61%	46.23%	60.39%	51.76%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	39.78%	50.41%	60.22%	52.79%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	39.80%	49.45%	60.20%	51.54%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	39.81%	50.60%	60.19%	51.89%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	39.89%	46.36%	60.11%	51.27%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	39.94%	49.04%	60.06%	52.61%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	39.96%	42.33%	60.04%	47.72%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	39.98%	48.12%	60.02%	51.80%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	40.07%	48.19%	59.93%	51.71%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	40.13%	48.03%	59.87%	51.63%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	40.20%	46.19%	59.80%	50.94%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	40.39%	49.07%	59.61%	50.57%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	40.56%	50.74%	59.44%	53.11%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	40.71%	47.83%	59.29%	51.58%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	40.78%	44.36%	59.22%	50.12%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	41.19%	46.84%	58.81%	50.67%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	41.26%	46.47%	58.74%	49.73%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	41.43%	42.07%	58.57%	46.14%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	41.60%	49.19%	58.40%	51.63%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	41.62%	45.59%	58.38%	49.13%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	41.69%	42.34%	58.31%	48.57%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	41.71%	49.53%	58.29%	51.47%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	41.88%	42.18%	58.12%	48.27%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	41.91%	50.31%	58.09%	51.32%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	41.93%	43.12%	58.07%	48.84%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	42.01%	45.73%	57.99%	49.10%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	42.17%	43.32%	57.83%	48.73%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	42.19%	43.03%	57.81%	48.45%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	42.51%	50.40%	57.49%	51.19%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	42.57%	43.39%	57.43%	48.70%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	42.60%	40.33%	57.40%	46.73%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	42.62%	46.98%	57.38%	49.43%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	42.64%	40.36%	57.36%	44.56%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	42.64%	40.29%	57.36%	45.50%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=true}	42.70%	40.99%	57.30%	44.16%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	42.71%	46.80%	57.29%	49.43%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	42.81%	46.76%	57.19%	49.23%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.01%	45.97%	56.99%	48.72%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	43.09%	42.35%	56.91%	47.65%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.10%	45.15%	56.90%	47.11%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.14%	47.39%	56.86%	50.16%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.16%	43.65%	56.84%	47.83%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.44%	44.03%	56.56%	47.84%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.51%	41.67%	56.49%	47.24%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=true}	43.51%	34.30%	56.49%	42.24%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	43.55%	43.79%	56.45%	47.47%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	43.57%	42.79%	56.43%	47.28%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.59%	42.72%	56.41%	47.19%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.59%	42.67%	56.41%	47.35%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.61%	42.68%	56.39%	47.15%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.64%	41.82%	56.36%	47.09%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.66%	43.28%	56.34%	47.18%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.66%	40.72%	56.34%	46.05%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=true}	43.68%	33.44%	56.32%	41.68%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	43.72%	42.48%	56.28%	46.98%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	43.72%	41.75%	56.28%	47.41%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	43.77%	41.88%	56.23%	47.26%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	43.88%	43.77%	56.12%	47.14%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	43.92%	41.30%	56.08%	46.54%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	44.03%	39.24%	55.97%	44.18%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	44.05%	38.96%	55.95%	44.03%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	44.18%	45.72%	55.82%	49.19%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	44.28%	40.92%	55.72%	45.24%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	44.28%	38.07%	55.72%	44.76%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	44.35%	40.43%	55.65%	45.70%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	44.57%	38.75%	55.43%	45.01%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	44.59%	40.17%	55.41%	42.96%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	44.59%	36.79%	55.41%	43.05%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=true}	44.61%	32.45%	55.39%	40.77%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=false}	44.65%	40.01%	55.35%	44.78%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	44.98%	38.35%	55.02%	42.17%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	45.02%	36.70%	54.98%	43.75%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	45.19%	37.07%	54.81%	41.87%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	45.26%	38.49%	54.74%	44.55%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	45.32%	31.64%	54.68%	40.01%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	45.37%	38.43%	54.63%	44.37%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	45.54%	33.92%	54.46%	41.36%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	45.72%	39.11%	54.28%	44.91%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	45.78%	34.21%	54.22%	41.50%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	45.84%	39.79%	54.16%	44.68%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=true, NormalizeAttributes=false}	45.91%	34.35%	54.09%	41.57%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	45.95%	38.65%	54.05%	44.09%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	46.08%	38.55%	53.92%	44.00%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=false}	46.17%	36.37%	53.83%	43.08%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=false}	46.34%	31.69%	53.66%	39.69%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	46.38%	32.63%	53.62%	40.14%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=true, NormalizeAttributes=false}	46.38%	31.57%	53.62%	39.59%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=false}	46.45%	31.75%	53.55%	39.69%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	46.58%	36.20%	53.42%	42.50%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	47.66%	31.76%	52.34%	39.33%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=true, NormalizeAttributes=false}	48.10%	35.35%	51.90%	41.09%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=true}	48.12%	34.48%	51.88%	41.31%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=false}	48.40%	33.09%	51.60%	40.19%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=true, NormalizeAttributes=true}	48.46%	33.72%	51.54%	40.68%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=true, NormalizeAttributes=true}	48.55%	33.26%	51.45%	40.34%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=true, NormalizeAttributes=false}	48.55%	32.49%	51.45%	38.97%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=true, NormalizeAttributes=true}	48.59%	28.77%	51.41%	36.89%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=true, NormalizeAttributes=true}	48.72%	35.22%	51.28%	38.90%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=true, NormalizeAttributes=true}	48.74%	34.32%	51.26%	38.67%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=true, NormalizeAttributes=true}	48.83%	34.81%	51.17%	39.16%
