Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.51%	79.99%	81.49%	80.18%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	18.53%	79.26%	81.47%	80.06%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.57%	80.19%	81.43%	80.16%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.59%	81.38%	81.41%	80.81%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.59%	80.79%	81.41%	80.62%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	18.64%	80.40%	81.36%	80.19%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.66%	81.07%	81.34%	80.60%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.66%	80.75%	81.34%	80.67%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.72%	80.94%	81.28%	80.58%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.72%	79.78%	81.28%	80.01%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.75%	79.66%	81.25%	79.76%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.81%	80.50%	81.19%	80.32%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.81%	80.25%	81.19%	80.26%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.83%	80.19%	81.17%	80.06%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.83%	79.87%	81.17%	79.92%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.83%	79.76%	81.17%	80.01%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.87%	80.99%	81.13%	80.45%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	18.90%	80.17%	81.10%	80.09%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.92%	80.67%	81.08%	80.50%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	18.92%	79.92%	81.08%	79.88%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	18.96%	79.54%	81.04%	79.73%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	18.98%	80.45%	81.02%	80.27%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	19.01%	80.91%	80.99%	80.28%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.01%	80.50%	80.99%	80.09%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.03%	80.26%	80.97%	80.08%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.05%	80.04%	80.95%	80.00%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.07%	79.42%	80.93%	79.81%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.09%	79.09%	80.91%	79.53%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.13%	80.96%	80.87%	80.30%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.14%	80.36%	80.86%	80.05%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.16%	79.36%	80.84%	79.53%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.16%	79.16%	80.84%	79.48%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.20%	79.52%	80.80%	79.51%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.29%	80.21%	80.71%	79.88%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.29%	79.86%	80.71%	79.67%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	19.31%	78.94%	80.69%	79.47%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.33%	80.03%	80.67%	79.82%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.33%	79.53%	80.67%	79.60%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.33%	79.07%	80.67%	79.11%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.33%	78.35%	80.67%	78.87%
