Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	15.29%	83.12%	84.71%	83.62%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.27%	83.06%	84.73%	83.61%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.27%	83.06%	84.73%	83.61%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	15.30%	83.08%	84.70%	83.59%
{ConfidenceFactor=0.4, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	15.30%	83.08%	84.70%	83.59%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	15.31%	83.03%	84.69%	83.56%
{ConfidenceFactor=0.3, MinNumObj=10, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	15.31%	83.03%	84.69%	83.56%
