CONF	PREC	REC	FM	TIME
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	29.36%	27.59%	25.50%	71.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.80%	25.78%	28.88%	120.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.45%	25.70%	28.65%	79.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	139.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.91%	24.79%	25.18%	16.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	52.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	44.05%	37.60%	38.29%	25.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	34.72%	26.19%	26.38%	41.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	32.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	42.94%	28.16%	28.43%	50.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	61.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	27.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	56.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	80.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	51.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	23.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	30.25%	26.52%	26.91%	31.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	34.72%	26.19%	26.38%	36.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.32%	25.78%	28.09%	26.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.68%	25.86%	28.32%	37.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	37.45%	25.70%	28.65%	43.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	30.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	79.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.68%	25.86%	28.32%	32.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	29.91%	26.35%	26.65%	15.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	32.96%	26.68%	26.88%	74.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	28.91%	28.41%	27.52%	79.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	34.72%	26.19%	26.38%	24.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	56.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	43.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	28.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	62.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	52.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	29.91%	26.35%	26.65%	25.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	30.25%	26.52%	26.91%	27.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.70%	25.37%	27.23%	54.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	60.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	63.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	37.40%	26.68%	28.08%	12.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	31.39%	23.97%	23.73%	35.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	29.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	22.46%	23.89%	21.48%	43.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	36.91%	24.79%	25.18%	20.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	32.69%	25.78%	26.64%	25.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	42.94%	28.16%	28.43%	49.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	43.64%	37.36%	38.01%	12.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	34.72%	26.19%	26.38%	55.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=3, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	32.42%	26.19%	26.17%	24.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.13%	27.18%	23.60%	47.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	42.94%	28.16%	28.43%	43.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	42.94%	28.16%	28.43%	34.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	23.24%	27.67%	23.89%	56.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	38.32%	25.78%	28.09%	43.00ms
