@relation products

@attribute numberOfWords numeric
@attribute numberOfTotalCharacters numeric
@attribute numberOfAlphabetCharacters numeric
@attribute numberOfNumericCharacters numeric
@attribute numberOfWhiteSpaceCharacters numeric
@attribute numberOfSpecialCharacters numeric
@attribute isNumericValue {true,false}
@attribute isIntegralNumericValue {true,false}
@attribute isDecimalNumericValue {true,false}
@attribute isPrefixedNumber {true,false}
@attribute isPostfixedNumber {true,false}
@attribute class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI,USB_VERSION}

@data
12,78,51,6,11,10,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
7,55,44,2,6,3,false,false,false,false,false,EXTERNAL_MEMORY
8,42,22,10,7,3,false,false,false,false,false,TITLE
6,31,23,3,5,0,false,false,false,false,false,TITLE
2,7,3,2,1,1,false,false,false,true,false,OS
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
17,146,7,78,16,45,false,false,false,false,false,PRODUCT_SIZE
7,47,8,21,11,7,false,false,false,false,false,PRODUCT_SIZE
4,32,17,5,3,7,false,false,false,false,false,WIRELESS_CONNECTIVITY
5,36,26,4,4,2,false,false,false,false,false,EXTERNAL_MEMORY
4,34,24,4,3,3,false,false,false,false,false,CPU
2,8,6,1,1,0,false,false,false,true,false,CPU
4,26,18,3,3,2,false,false,false,false,false,CPU_CORES
13,85,51,11,12,11,false,false,false,false,false,TITLE
11,73,48,6,10,9,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
12,45,8,18,11,8,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
8,42,22,10,7,3,false,false,false,false,false,TITLE
6,30,21,4,5,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
2,6,2,3,1,0,false,false,false,false,true,STORAGE_SSD
6,30,23,2,5,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
2,5,2,2,1,0,false,false,false,false,true,STORAGE_SSD
5,26,19,3,4,0,false,false,false,false,false,TITLE
5,27,20,3,4,0,false,false,false,false,false,TITLE
6,30,18,4,5,3,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
24,214,7,118,23,66,false,false,false,false,false,PRODUCT_SIZE
7,45,28,6,6,5,false,false,false,false,false,BATTERY_CAPACITY
3,17,11,2,2,2,false,false,false,false,false,OS
8,61,34,13,7,7,false,false,false,false,false,NETWORK_3G
13,80,52,10,12,6,false,false,false,false,false,TITLE
4,15,3,6,3,3,false,false,false,false,false,SCREEN_RESOLUTION
6,30,21,4,5,0,false,false,false,false,false,TITLE
5,26,18,4,4,0,false,false,false,false,false,TITLE
5,25,18,3,4,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
5,24,16,4,4,0,false,false,false,false,false,TITLE
1,5,0,3,0,2,false,false,false,false,true,CAMERA_FRONT
