@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {Hardware.CPU,Hardware.GPU,BasicInformation.ServiceProvider,Camera.Frontcamera,Battery.BatteryCapacity(mAh),root.price,Network.Networktype,BasicInformation.Type,Network.WirelessConnectivity,Network.WIFI,Network.3G,Hardware.ExternalMemory,Camera.Back-camera,Display.Screenresolution,root.title,Display.Screentype,Display.PixelsPerInch(PPI),Hardware.Cores,DimensionsandWeight.Productsize,BasicInformation.SIMCardType,OtherFeatures.BluetoothVersion,Hardware.ROM,DimensionsandWeight.Productweight,BasicInformation.SIMCardSlot,Display.Screensize,BasicInformation.OS,BasicInformation.Brand,Battery.BatteryType,Network.2G,Network.4G,Hardware.RAM}

@data
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
2,8,4,2,1,1,false,false,false,false,true,Display.Screensize
5,37,29,2,4,2,false,false,false,false,true,Display.Screentype
4,22,17,2,3,0,false,false,false,false,false,root.title
2,11,7,2,1,1,false,false,false,true,false,BasicInformation.OS
1,8,8,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
2,32,21,4,1,6,false,false,false,false,false,Network.WirelessConnectivity
2,33,9,18,1,5,false,false,false,false,false,Network.4G
2,21,8,10,1,2,false,false,false,false,false,Network.3G
4,19,11,5,3,0,false,false,false,false,false,Battery.BatteryCapacity(mAh)
3,27,24,0,2,1,false,false,false,false,false,Battery.BatteryType
1,9,5,3,0,1,false,false,false,true,false,Hardware.GPU
2,13,6,6,1,0,false,false,false,false,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,false,Hardware.Cores
7,34,23,3,6,2,false,false,false,false,false,Hardware.ExternalMemory
1,4,2,2,0,0,false,false,false,false,true,Hardware.ROM
1,6,2,3,0,1,false,false,false,false,true,Camera.Back-camera
2,8,2,4,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
2,21,16,1,1,3,false,false,false,false,false,Display.Screentype
4,22,16,3,3,0,false,false,false,false,false,root.title
1,4,4,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,6,0,4,0,2,false,false,false,true,false,root.price
2,38,25,4,1,8,false,false,false,false,false,Network.WirelessConnectivity
2,16,10,4,1,1,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
8,43,25,5,9,4,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,38,32,1,3,2,false,false,false,false,false,Display.Screentype
5,26,21,1,4,0,false,false,false,false,false,root.title
1,7,7,0,0,0,false,false,false,false,false,BasicInformation.Type
5,28,23,0,4,1,false,false,false,false,false,BasicInformation.SIMCardType
1,6,6,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
1,34,25,2,0,7,false,false,false,false,false,Network.WirelessConnectivity
9,59,28,20,8,3,false,false,false,false,false,Network.4G
4,33,18,10,3,2,false,false,false,false,false,Network.2G
2,9,6,2,1,0,false,false,false,true,false,Hardware.CPU
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
