root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
samsung galaxy tab a qualcomm snapdragon 410 1.5gb 8gb 7 inch android 5.1 tablet - white|1.3ghz|qualcomm|snapdragon|410|8gb|1.5gb|£19.97|android 5.1||7inch|1280 x 800|7inch||white|wi-fi
asus zenpad 3s 10 z500m mediatek mt8176 4gb 32gb 9.7 inch android 6.0 tablet|2.1 ghz|intel|media tek||||£41.97|android 6.0|||2048 x 1536|9.7 in|10 hours||
samsung galaxy tab s2 exynos 5 octa 3gb 32gb 9.7 inch android 5.0 wifi tablet|1.8ghz|samsung|samsung exynos|||3gb|£400|android 5.0||9.7inch|2048 x 1536|9.7inch||white|wi-fi
samsung galaxy tab a exynos 7870 2gb 16gb 3g/4g 10.1 inch android 6.0 tablet|1.6ghz|samsung|samsung exynos|7870|16gb|2gb|£19.97|android 6.0||10.1inch|1920 x 1200|10.1inch||black|wi-fi, 3g/4g
new apple ipad 128gb wifi / cellular 3g/4g 9.7 inch ios tablet - silver||apple|a9||128gb||£545|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|silver|wi-fi
new apple ipad 32gb wifi + cellular 3g/4g 9.7 inch ios tablet - silver||apple|a9||32gb||£455|apple ios 10|1 year warranty|9.7|2048 x 1536|9.7|10hours|silver|wi-fi, 3g/4g
fujitsu stylistic r727 core i5-7300u 8gb 256gb ssd 12.5 inch windows 10 professional touchscreen tablet|2.6ghz|intel|intel core i5|i5-7300u||8gb|£190.97|windows 10 pro|3 years warranty||1920 x 1080||10hours||
hp elite x3 4gb 64gb 4g dual sim windows 10 smartphone|2.15ghz|qualcomm|snapdragon 820|820|64gb|4gb|£735|windows 10|1 year warranty|6inch||6inch||graphite with chrome|wi-fi, 3g/4g
microsoft surface pro 4 intel core i7 16gb ram 256gb hdd windows 10 tablet|2.2ghz||intel core i7|i7-6650u||16gb|£154.97|windows 10 pro|1 year warranty|12.3in|2736 x 1824|12.3in||silver|
acer iconia one 8 b1-850 mediatek mt8163 1.3ghz 1gb 16gb 8 inch android 5.1 tablet - white|1.3ghz|mediatek|mt8163|mt8163|16gb|1gb|£10.97|android 5.1||8inch|1280 x 800|8inch|9hours|white|wi-fi
new apple ipad pro wi-fi + cellular 3g/4g 256gb 10.5 inch tablet - rose gold|||a10x fusion||256gb||£823|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|rose gold|wi-fi, 3g/4g
apple ipad pro 256gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - rose gold||apple|a9x||256gb||£800|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|rose gold|wi-fi, 3g/4g
apple ipad pro 128gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - gold||apple|a9x||128gb||£730|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|gold|wi-fi, 3g/4g
apple ipad pro 256gb 12.9 inch ios 9 tablet - gold||apple|a9x||256gb||£875|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hours|gold|wi-fi
hp elite x2 1012 g1 core m5-6y54 1.1ghz 8gb 256gb ssd 12 inch windows 10 professional convertible tablet|1.1ghz|intel|core m5|m5-6y54|256gb|8gb|£111.97|windows 10 pro|3 years warranty|12in|1920 x 1280|12in|10.25hours|silver|
samsung galaxy tab e t-shark 1.3ghz 1gb 8gb 9.6 inch android 4.4 tablet - white|1.3ghz||||8gb|1gb|£23.97|android 4.4|2 years warranty|9.6inch|1280 x 800|9.6inch||white|wi-fi
samsung galaxy tab e quad core 1.3ghz 1gb 8gb 9.6 inch android 4.4 tablet|1.3ghz||||8gb|1.5gb|£28.97|android 4.4|2 years warranty|9.6inch|1280 x 800|9.6inch||black|wi-fi
