Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1193330/acer-travelmate-p449-core-i5-6200u-8gb-1tb-14-inch-windows-10-professional-laptop	acer travelmate p449 core i5-6200u 8gb 1tb 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	1tb	ddr4 sdram	8gb	£164.97	no optical drive	windows 10 pro	1 year warranty	15.6in	1tb	1920 x 1080	8hours
http://www.debenhamsplus.com/laptops/p/1175190/asus-pro-p2530ua-core-i5-6200u-4gb-128gb-ssd-dvd-rw-15.6-inch-windows-10-professional-laptop	asus pro p2530ua core i5-6200u 4gb 128gb ssd dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr4 sdram	4gb	£83.97	dvd-rw	windows 10 pro	3 year warranty	15.6in	128gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1205752/lenovo-thinkpad-e570-core-i5-7200-8gb-256gb-ssd-dvd-rw-15.6-inch-windows-10-laptop	lenovo thinkpad e570 core i5-7200 8gb 256gb ssd dvd-rw 15.6 inch windows 10 laptop	integrated				intel	2.5ghz	intel core i5	7200		ddr4 sdram	8gb	£74.99	dvd-rw	windows 10	1 year warranty	15.6in	256gb	1920 x 1080	7hours
http://www.debenhamsplus.com/laptops/p/1134698/microsoft-surface-book-core-i5-6300u-8gb-128gb-ssd-13.5-inch-windows-10-professional-convertible-laptop	microsoft surface book core i5-6300u 8gb 128gb ssd 13.5 inch windows 10 professional convertible laptop	integrated				intel	2.4ghz	intel core i5	6300u		lpddr3 sdram	8gb	£187.97	no optical drive	windows 10 pro	1 year warranty	13.5in	128gb	3000 x 2000	12hours
http://www.debenhamsplus.com/laptops/p/1175050/asus-zenbook-pro-bx510uw-core-i7-7500u-8gb-256gb-ssd-geforce-gtx-960m-15.6-inch-windows-10-professio	asus zenbook pro bx510uw core i7-7500u 8gb 256gb ssd geforce gtx 960m 15.6 inch windows 10 professio	dedicated		geforce gtx 960m		intel	2.7ghz	intel core i7	7500u		ddr4 sdram	8gb	£252.97	no optical drive	windows 10 pro	3 year warranty	15.6in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1211889/acer-travelmate-259-core-i5-7200u-4gb-500gb-15.6-inch-windows-10-pro-laptop	acer travelmate 259 core i5-7200u 4gb 500gb 15.6 inch windows 10 pro laptop	integrated				intel	2.5ghz	intel core i5	7200u	500gb		4gb	£522	no optical drive	windows 10	1 year warranty	15.6in	500gb		
http://www.debenhamsplus.com/laptops/p/1162483/hp-250-g5-core-i3-5005u-2ghz-4gb-500gb-dvd-rw-15.6-inch-windows-10-professional-laptop	hp 250 g5 core i3-5005u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2ghz	intel core i3	5005u	500gb		4gb	£27.97	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb		
http://www.debenhamsplus.com/laptops/p/1204742/asus-fx753-core-i5-7300hq-8gb-1tb-128gb-ssd-geforce-gtx-1050-4gb-17.3-inch-dvd-rw-windows-10-gaming-laptop	asus fx753 core i5-7300hq 8gb 1tb + 128gb ssd geforce gtx 1050 4gb 17.3 inch full hd dvd-rw windows 10 gaming laptop	dedicated	nvidia	geforce gtx 1050		intel	2.5ghz	intel core i5	7300hq	1tb		8gb	£165.97	dvd-rw	windows 10		17.3in	1tb		
http://www.debenhamsplus.com/laptops/p/1202506/acer-travelmate-p238-m-51lr-core-i5-6200u-4gb-128gb-ssd-13.3-inch-windows-10-professional-laptop	acer travelmate p238-m-51lr core i5-6200u 4gb 128gb ssd 13.3 inch windows 10 professional laptop	integrated				intel		intel core i5	6200u		ddr3l sdram	4gb	£135.97	no optical drive	windows 10 pro	1 year warranty	13.3in	128gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1185176/fujitsu-lifebook-p727-core-i5-7200u-8gb-256gb-ssd-12.5-inch-windows-10-professional-convertible-laptop	fujitsu lifebook p727 core i5-7200u 8gb 256gb ssd 12.5 inch windows 10 professional convertible laptop	integrated				intel	2.5ghz	intel core i5	7200u		ddr4 sdram	8gb	£226.97	no optical drive	windows 10 pro	2 year warranty	12.5in	256gb	1920 x 1080	10hours
