Resource URI|root.title|root.price|PackageContents.PackageContents|BatteryInformation.RemoteControllerBattery|MediaSupported.DecoderFormat|MediaSupported.Videoformat|MediaSupported.Audioformat|MediaSupported.Support5.1SurroundSoundOutput|General.Type|General.RAM|General.GPU|General.Brand|General.Model|General.Processor|General.CPU|General.Core|General.Color|General.RAMType|General.ROM|Custom.SSD|PowerRequirement.PowerInputVol|PowerRequirement.PowerAdapterOutput|PowerRequirement.PowerAdapterInput|PowerRequirement.PowerType|DimensionandWeight.Productweight|DimensionandWeight.Productsize(LxWxH)|ProductDetails.Antenna|ProductDetails.5GWiFi|ProductDetails.PowerComsumption|ProductDetails.PowerSupply|ProductDetails.Interface|ProductDetails.HDMIVersion|ProductDetails.Bluetooth|ProductDetails.RJ45PortSpeed|FirmwareInformation.WiFiChip|FirmwareInformation.SystemBit|General.MaximumExternalHardDrivesCapacity|General.System|ProductDetails.WIFI|ProductDetails.HDMIFunction
http://www.gearbest.com/tv-box-mini-pc/pp_614302.html|minix neo u1 live tv box + minix neo a3 air mouse|$144.56|1 x minix neo u1 tv box, 1 x otg cable, 1 x power adapter, 1 x micro usb cable, 1 x hdmi cable, 1 x antenna, 1 x usb receiver, 1 x minix neo a3 air mouse, 1 x remote controller, 2 x english user manual, 1 x bilingual manual in english and chinese |2 x aaa ( not included ) |h.263,h.264,h.265,hd mpeg4 |avi,dat,divx,flv,h.264,h.265,hdmov,mkv,mov,mpeg,mpeg1,mpeg2,mpg,pmp,rm,rmvb,tp,vob,wmv |ac3,flac ||tv box |2g |mali-450 |minix |neo u1 ||cortex a53 |quad core |black |ddr3 |16g ||5v |5v 3a ||external power adapter mode |0.7600 kg |12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches ||||charge adapter |kensington lock,otg,tf card,usb2.0 |||||64bit |64gb |android 5.1.1 ||
http://www.gearbest.com/tv-box-mini-pc/pp_462430.html|alfawise s92 digital tv box octa core amlogic s912 android 6.0|$55.99|1 x alfawise s92 tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.264,h.265,realvideo8/9/10 |1080p,4k,4k x 2k |aac,acc,wav,wma |no |tv box |2g |arm mali-t820mp3 |alfawise |s92 ||amlogic s912 |2.0ghz,octa core |black |ddr3 |16g |||5v 2a |100-240v / 50-60hz |external power adapter mode |0.179 kg |11.00 x 11.00 x 1.70 cm / 4.33 x 4.33 x 0.67 inches ||no ||charge adapter |dc power port,ethernet,hdmi,micro sd card slot,spdif,usb2.0 |2|bluetooth4.0 |||64bit |500gb |android 6.0 |802.11 a/b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_401529.html|acemax g10x smart box tv amlogic s905x quad core|$45.41|1 x acemax g10x tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.265 |1080p,avs,h.264,h.265,mpeg-1,mpeg-4,mpeg2,vc-1,vp9 profile-2,wmv |aac,ac3,ape,dts,flac,m4a,mp3,ogg,wav,wma ||tv box |1g ram |mali-450 |acemax |g10x |s905x |arm cortex-a53 |quad core |black |ddr3 |8g rom |||||external power adapter mode |0.1600 kg |11.00 x 11.00 x 2.00 cm / 4.33 x 4.33 x 0.79 inches ||||charge adapter |av,dc power port,hdmi,rj45,spdif,tf card,usb2.0 ||||||32gb |android 6.0 |802.11b/g/n |
http://www.gearbest.com/tv-box-mini-pc/pp_463455.html|mecool kii pro tv box quad core amlogic s905|$68.99|1 x mecool kii pro tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||"""hd mpeg1/2/4,h.265/avc,hd avc/vc-1,realvideo8/9/10,rm/rmvb,xvid/divx3/4/5/6 "|avi,mkv,mov,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,mp3,wma |no |tv box |2g |mali-450 |mecool |kii pro |amlogic s905 |amlogic s905 |2.0ghz,quad core |black |ddr3 |16g ||12v |||external power adapter mode |0.1920 kg |13.20 x 12.20 x 3.30 cm / 5.2 x 4.8 x 1.3 inches ||yes ||charge adapter |av,cvbs/l/r,dc power port,dvb-s2,dvb-t2,micro sd card slot,rj45,spdif,usb2.0 |2|bluetooth4.0 |||64bit ||android 5.1.1 |802.11 b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_614299.html|minix z83 - 4 windows 10 tv box + minix k2 mini keyboard|$220.15|1 x minix z83 - 4 tv box, 1 x minix k2 keyboard, 1 x usb cable, 1 x antenna, 1 x power adapter, 1 x hdmi cable, 2 x english manual |2 x aaa batteries |h.264,h.265,hd mpeg1/2/4,realvideo8/9/10 |1080p,4k,4k x 2k,rm,rmvb,vc-1 |aac,ac3,acc,ddp,dts,hd,mp3,ogg,truehd,wav,wma |no |tv box |4g |intel hd graphic |minix |z83 - 4 ||intel atom x5-z8350 |quad core ||ddr3l |32g |||||external power adapter mode |0.9520 kg |26.00 x 13.00 x 5.00 cm / 10.24 x 5.12 x 1.97 inches ||yes ||charge adapter |3.5mm audio,dc power port,ethernet,hdmi,tf card,usb2.0,usb3.0 |1.4||||64bit |16gb|windows 10 ||cec 
http://www.gearbest.com/tv-box-mini-pc/pp_629410.html|mecool ki pro tv box|$83.99|1 x mecool ki pro tv box, 1 x power adapter, 1 x hdmi cable, 1 x english user manual ||h.265 |asf,avi,dat,flv,iso,mkv,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,ape,ddp,flac,hd,mp3,ogg,truehd,wav,wma |yes |tv box |2g ram |mali-450 |mecool |ki pro |amlogic s905d |cortex a53 |quad core ||ddr4 |16g rom |||||external power adapter mode |0.1630 kg |13.00 x 12.00 x 3.20 cm / 5.12 x 4.72 x 1.26 inches ||yes |8w |charge adapter |dc 5v,dc power port,hdtv in,lan,optical,tf card,usb2.0 ||bluetooth 4.1 |1000m ||64bit |32gb |android 6.0 ||
http://www.gearbest.com/tv-box-mini-pc/pp_612275.html|minix neo u9 - h tv box|$163.8|1 x minix neo u9 - h tv box, 1 x power adapter, 1 x otg cable, 1 x micro usb cable, 1 x hdmi cable, 1 x remote controller, 1 x antenna, 1 x english user manual |2 x aaa ( not included ) |||||tv box |2g ram |arm mali-t820mp3 |minix |neo u9 - h |amlogic s912-h |arm cortex-a53 |octa core |black ||16g rom |||5v 3a ||external power adapter mode |0.2780 kg |12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches ||yes ||charge adapter |3.5mm audio,dc power port,hdmi,kensington lock,lan,microphone jack,otg,spdif,tf card,usb2.0 ||bluetooth 4.1 ||ap6335 ||64gb ||802.11 a/b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_624806.html|sunvell r69 tv box|$21.99|1 x tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter ||h.264 |avi,dat,iso,mkv,mov,mp4,mpeg,mpg,vc-1,wmv |aac,flac,mp3,ogg,rm,wma |no |tv box |1g |mali400mp2 |sunvell |r69 |allwinner h2 |arm cortex-a7 |quad core ||ddr3 |8g |||||external power adapter mode |0.2000 kg |9.00 x 9.50 x 1.80 cm / 3.54 x 3.74 x 0.71 inches |no |no |5w |charge adapter ||1.4|unsupport |100m |xr819 |32bit |32gb |android 6.0 ||hdcp 
http://www.gearbest.com/tv-box-mini-pc/pp_248235.html|r8 tv streaming box android 5.1 rk3368 octa-core|$71.84|1 x r8 tv box, 1 x hdmi cable, 1 x power adapter, 1 x remote control, 1 x english manual ||h.263,h.264,h.265 |avs,h.263,h.264,h.265,mpeg-1,mpeg-4,mpeg2,mvc,rv10,vc-1 |aac,ape,flac,m4a,mp3,oga,ogg,wav,wma ||tv box |2g ram |powervr g6110 ||r8 ||rk3368 |octa core |black |ddr3 |8g rom |||||external power adapter mode |0.1350 kg |11.70 x 11.70 x 18.50 cm / 4.61 x 4.61 x 7.28 inches ||||charge adapter |hdmi,rj45,tf card,usb2.0 ||bluetooth4.0 ||ap6330 |64bit |32gb |android 5.1 ||
http://www.gearbest.com/tv-box-mini-pc/pp_238050.html|pipo x9 box android tv 8.9 inch tablet mini pc|$141.67|1 x pipo x9 tv box, 1 x power adapter ||h.264,rm/rmvb |1080p,avs,h.263,h.264,mjpeg,mpeg1,mpeg2,mpeg4,mvc,vc-1,wmv |aac,ac-3,ape,flac,mp3,ogg,wav,wma ||tv box |2g ||pipo |x9 ||intel baytrail t z3736f |quad core |black ||64g |||||external power adapter mode |0.6390 kg |21.70 x 15.20 x 6.10 cm / 8.54 x 5.98 x 2.4 inches ||||charge adapter |3.5mm audio,dc power port,hdmi,micro usb,rj45,tf card,usb2.0 ||bluetooth4.0 ||||64gb |android 4.4,windows 10 |ieee 802.11 b/g/n |
