root.title|root.price|TechnicalSpecifications.RearCameraQuality|TechnicalSpecifications.FrontFacingCameraQuality|TechnicalSpecifications.SIMcardtype|TechnicalSpecifications.ProcessorType|TechnicalSpecifications.ProcessorSpeed|TechnicalSpecifications.RAM|TechnicalSpecifications.OnboardStorage|TechnicalSpecifications.ScreenResolution|TechnicalSpecifications.Screensize|TechnicalSpecifications.OperatingSystem|TechnicalSpecifications.NetworkSpeeds
"honor 6x grey 5.5"" 32gb 4g dual sim unlocked & sim free"|£64.97|12 megapixel|8 megapixel|dual sim|octa core|2.1 & 1.7ghz|3gb|32gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
lg g flex 2 titanium 16gb unlocked & sim free|£30.97|13 megapixel|2.1 megapixel|nano sim|octa core|performance|2gb|16gb|1080p and over|5.5 inches|android 5.0 lollipop|4g
"honor 8 white 5.2"" 32gb 4g dual sim unlocked & sim free"|£84.99|12 megapixel|8 megapixel|nano sim|octa core|performance|4gb|32gb|1920x1080 pixels|5.2 inches|android 6.0 marshmallow|4g
"htc u ultra black 5.7"" 64gb 4g unlocked & sim free"|£54.97|12 megapixel||nano sim|snapdragon 821|2.15ghz|4gb|64gb|1080p and over|5.7 inches|android 7.0 nougat|4g
"samsung galaxy a5 2016 gold 5.2"" 16gb 4g unlocked & sim free"|£145.99|13 megapixel||nano sim|octa core|1.5 & 1.2ghz|2gb|16gb|1080p and over|5.2 inches|android 5.1 lollipop|4g
"sony xperia xz platinum 5.2"" 32gb 4g unlocked & sim free"|£180.97|23 megapixel||nano sim|quad core|2.1 & 1.6ghz|3gb|32gb|1080p and over||android 6.0 marshmallow|4g
"xiaomi redmi note 4 gold 5.5"" 32gb 4g unlocked & sim free"|£28.97|13 megapixel|5 megapixel|micro sim + nano sim|octa core|performance|3gb|32gb|1920x1080 pixels|5.5 inches|android 6.0 marshmallow|4g
"xperia xa1 white 5"" 32gb 4g unlocked & sim free"|£41.97|23 megapixel|8 megapixel|nano sim|octa core||3gb|32gb|1280 x 720 pixels|5 inches|android 7.0 nougat|4g
"samsung galaxy s7 flat white 5.1"" 32gb 4g unlocked & sim free"|£260.97|12 megapixel||nano sim|||4gb|||5.1 inches|android 6.0 marshmallow|4g
"apple iphone se silver 4"" 16gb 4g unlocked & sim free"|£44.99|12 megapixel||nano sim|dual core|performance|2gb|16gb|under 720p|4 inches|ios 9|4g
"samsung galaxy a3 2017 gold 4.7"" 16gb 4g unlocked & sim free"|£38.97|13 megapixel|8 megapixel|nano sim|octa core|1.6ghz|2gb|16gb|720p|4.7 inches|android 6.0 marshmallow|4g
"lg g6 astro black 5.7"" 32gb 4g unlocked & sim free"|£59.97|13 megapixel|5 megapixel|nano sim|quad core|2.3 & 1.6ghz|4gb|32gb|1440x2880 pixels|5.7 inches|android 7.0 nougat|4g
"samsung galaxy s7 flat silver 5.1"" 32gb 4g unlocked & sim free"|£260.99|12 megapixel||nano sim|||4gb|||5.1 inches|android 6.0 marshmallow|4g
samsung galaxy s7 edge silver 32gb unlocked & sim free|£250.99|12 megapixel||nano sim|octa core|2.3ghz|4gb|||5.5 inches|android 6.0 marshmallow|4g
archos 50b titanium black|£73||||sc9832|1.3ghz|1gb|||||
"htc u 11 amazing silver 5.5"" 64gb 4g unlocked & sim free"|£108.97|12 megapixel|16 megapixel|nano sim|octa core|2.45ghz|4gb|64gb|1080p and over|5.5 inches|android 7.0 nougat|4g
"huawei p10 mystic silver 5.1"" 64gb 4g unlocked & sim free"|£109.97|20 megapixel|8 megapixel|nano sim|octa core||4gb|64gb|1920x1080 pixels|5.1 inches|android 7.0 nougat|4g
"apple iphone 7 rose gold 4.7"" 256gb 4g unlocked & sim free"|£55|12 megapixel|7 megapixel|nano sim|quad core|performance|2gb|256gb|720p|4.7 inches|ios 10|4g
"motorola moto z white/gold 5.5"" 32gb 4g unlocked & sim free"|£35|13 megapixel||nano sim|quad core|2.1 & 1.6ghz|4gb|32gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
"htc 10 grey 5.2"" 32gb 4g unlocked & sim free"|£121.97|12 megapixel||nano sim|snapdragon 820|2.2ghz|4gb|32gb|1080p and over|5.2 inches|android 6.0 marshmallow|4g
"cat s60 thermal imaging rugged smartphone black 4.7"" 32gb 4g unlocked & sim free"|£90.99|13 megapixel|5 megapixel|standard sim|octa core|1.5 & 1.2ghz|3gb|32gb|720p|4.7 inches|android 6.0 marshmallow|4g
"doro 8030 black 4.5"" 8gb 4g unlocked and sim free"|£34.97|5 megapixel||micro sim|quad core|1.1ghz||8gb|854x480 pixels|4.5 inches|android 5.1 lollipop|4g
"samsung galaxy s7 edge coral blue 5.5"" 32gb 4g unlocked & sim free"|£150.97|12 megapixel|5 megapixel|nano sim|octa core|2.3 & 1.6ghz|4gb|32gb|1080p and over|5.5 inches|android 6.0 marshmallow|4g
"samsung galaxy a3 2016 gold 4.7"" 16gb 4g unlocked & sim free"|£50.99|13 megapixel||nano sim|quad core|everyday|1.5gb|16gb|720p|4.7 inches|android 5.1 lollipop|4g
"apple iphone se gold 4"" 128gb 4g unlocked & sim free"|£395|12 megapixel||nano sim|a9|performance|2gb|128gb|under 720p||ios 9|4g
