TITLE	BLUETOOTH_VERSION	USB_VERSION	DEVICE_TYPE	SIM_CARD_SLOT	OS	OS_BITS	SIM_CARD_TYPE	BRAND	MODEL	PRICE	WIRELESS_CONNECTIVITY	NETWORK_4G	NETWORK_3G	NETWORK_2G	NETWORK_TYPE	WIFI	BATTERY_CAPACITY	BATTERY_TYPE	RAM_CAPACITY	RAM_TYPE	GPU	CPU	CPU_FREQ	CPU_CORES	EXTERNAL_MEMORY	STORAGE_SSD	STORAGE_HDD	CAMERA_FRONT	CAMERA_BACK	WEIGHT	PRODUCT_SIZE	SCREEN_SIZE	SCREEN_PPI	SCREEN_TYPE	SCREEN_RESOLUTION	COLOR	ETHERNET_SPEED
sony xperia xa1 dual sim 16gb g3116 white	v4.2, a2dp, aptx, le				android os, v7.0 (nougat)		dual sim (nano-sim, dual stand-by)			263 €		lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot	non-removable li-ion 2300 mah battery		 3 gb ram		mali-t880mp2	mediatek mt6757 helio p20		octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)	microsd, up to 256 gb (dedicated slot)	16 gb		"8 mp, f/2.0, 23mm, autofocus, 1/4"" sensor size, 1080p"	23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash	143 g (5.04 oz)	145 x 67 x 8 mm (5.71 x 2.64 x 0.31 in)	5.0 inches (~70.9% screen-to-body ratio)		ips lcd capacitive touchscreen, 16m colors	720 x 1280 pixels (~294 ppi pixel density)		
sony xperia z5 dual sim e6633 white	v4.1, a2dp, apt-x				android os, v5.1.1 (lollipop), planned upgrade to v6.0 (marshmallow)		dual sim (nano-sim, dual stand-by)			326 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 2900 mah battery		 3 gb ram		adreno 430	qualcomm msm8994 snapdragon 810		quad-core 1.5 ghz cortex-a53 & quad-core 2 ghz cortex-a57	microsd, up to 200 gb	32 gb		5.1 mp, 1080p, hdr	23 mp, 5520 х 4140 pixels, phase detection autofocus, led flash	154 g (5.43 oz)	146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in)	5.2 inches (~69.6% screen-to-body ratio)		ips lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~428 ppi pixel density)		
huawei p10 plus lte 128gb vky-l09 silver	4.2, a2dp, le				android 7.0 (nougat)		nano-sim			630 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3750 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	128 gb		8 mp, f/1.9	dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash	165 g (5.82 oz)	153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)	5.5 inches (~71.6% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1440 x 2560 pixels (~540 ppi pixel density)		
huawei honor 8 dual sim 32gb frd-al00 white	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			379 €		lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)	hsdpa 850 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	32 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei nova plus dual sim 32gb mla-l11 gray	v4.1, a2dp, le				android os, v6.0.1 (marshmallow)		dual sim (nano-sim, dual stand-by)			386 €		lte band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 38(2600)	hsdpa 900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 b/g/n, wi-fi direct, hotspot	non-removable li-po 3340 mah battery		 3 gb ram		adreno 506	qualcomm msm8953 snapdragon 625		octa-core 2.0 ghz cortex-a53	microsd, up to 256 gb (uses sim 2 slot)	32 gb		8 mp, f/2.0	16 mp, f/2.0, phase detection autofocus, ois, dual-led (dual tone) flash	160 g (5.64 oz)	151.8 x 75.7 x 7.3 mm (5.98 x 2.98 x 0.29 in)	5.5 inches (~72.6% screen-to-body ratio)		ips lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~401 ppi pixel density)		
huawei honor 8 dual sim 64gb frd-al10 black	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			422 €		lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)	hsdpa 850 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	64 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei honor 8 dual sim 32gb frd-al00 gold	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			379 €		lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)	hsdpa 850 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	32 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei p10 plus dual sim 128gb vky-l29 black	4.2, a2dp, le				android 7.0 (nougat)		dual sim (nano-sim, dual stand-by)			660 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3750 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	128 gb		8 mp, f/1.9	dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash	165 g (5.82 oz)	153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)	5.5 inches (~71.6% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1440 x 2560 pixels (~540 ppi pixel density)		
huawei p10 plus dual sim 128gb vky-l29 silver	4.2, a2dp, le				android 7.0 (nougat)		dual sim (nano-sim, dual stand-by)			640 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3750 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	128 gb		8 mp, f/1.9	dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash	165 g (5.82 oz)	153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)	5.5 inches (~71.6% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1440 x 2560 pixels (~540 ppi pixel density)		
huawei p9 dual sim lte 32gb eva-l19 rose gold	v4.2, a2dp, le				android os, v6.0 (marshmallow)		dual sim (nano-sim, dual stand-by)			382 €		lte band 1(2100), 3(1800), 4(1700/2100), 7(2600), 20(800), 38(2600), 39(1900), 40(2300), b41	hsdpa 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3000 mah battery		 3 gb ram		mali-t880 mp4	hisilicon kirin 955		quad-core 2.5 ghz cortex-a72 & quad-core 1.8 ghz cortex-a53	microsd, up to 128 gb (uses sim 2 slot)	32 gb		8 mp, f/2.4, 1080p	dual 12 mp, f/2.2, 27 mm, leica optics, phase detection autofocus, dual-led (dual tone) flash	144 g (5.08 oz)	145 x 70.9 x 7 mm (5.71 x 2.79 x 0.28 in)	5.2 inches (~72.9% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei mate 9 porsche design dual sim lon-l29 black	4.2, a2dp, edr, le				android 7.0 (nougat)		dual sim (nano-sim, dual stand-by)			1218 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-po 4000 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	no	256 gb		8 mp, f/1.9, 1080p	dual 20 mp +12 mp, f/2.2, 27mm, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash	169 g (5.96 oz)	152 x 75 x 7.5 mm (5.98 x 2.95 x 0.30 in)	5.5 inches (~73.2% screen-to-body ratio)		amoled capacitive touchscreen, 16m colors	1440 x 2560 pixels (~534 ppi pixel density)		
huawei mate 9 dual sim 64gb mha-l29 gray	v4.2, a2dp, edr, le				android os, v7.0 (nougat)		dual sim (nano-sim, dual stand-by)			551 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-po 4000 mah battery		 4 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	64 gb		8 mp, f/1.9, 1080p	dual 20 mp +12 mp, f/2.2, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash	190 g (6.70 oz)	156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)	5.9 inches (~77.5% screen-to-body ratio)		ips lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~373 ppi pixel density)		
huawei p10 plus dual sim 128gb vky-l29 blue	4.2, a2dp, le				android 7.0 (nougat)		dual sim (nano-sim, dual stand-by)			660 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3750 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	128 gb		8 mp, f/1.9	dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash	165 g (5.82 oz)	153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)	5.5 inches (~71.6% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1440 x 2560 pixels (~540 ppi pixel density)		
huawei honor 8 dual sim 64gb frd-al10 gold	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			422 €		lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)	hsdpa 850 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	64 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei honor 8 dual sim 32gb frd-l09 white	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			409 €		lte band 1(2100), 3(1800), 7(2600), 8(900), 20(800)	hsdpa 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	32 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
huawei mate 9 dual sim 64gb mha-l29 silver	v4.2, a2dp, edr, le				android os, v7.0 (nougat)		dual sim (nano-sim, dual stand-by)			551 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-po 4000 mah battery		 4 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	64 gb		8 mp, f/1.9, 1080p	dual 20 mp +12 mp, f/2.2, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash	190 g (6.70 oz)	156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)	5.9 inches (~77.5% screen-to-body ratio)		ips lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~373 ppi pixel density)		
huawei p10 plus lte 128gb vky-l09 black	4.2, a2dp, le				android 7.0 (nougat)		nano-sim			630 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot	non-removable li-ion 3750 mah battery		 6 gb ram		mali-g71 mp8	hisilicon kirin 960		octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	128 gb		8 mp, f/1.9	dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash	165 g (5.82 oz)	153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)	5.5 inches (~71.6% screen-to-body ratio)		ips-neo lcd capacitive touchscreen, 16m colors	1440 x 2560 pixels (~540 ppi pixel density)		
huawei honor 8 dual sim 64gb frd-al10 blue	v4.2, a2dp, edr, le				android os, v6.0 (marshmallow)		dual sim (nano-sim/ micro-sim, dual stand-by)			422 €		lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)	hsdpa 850 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot	non-removable li-po 3000 mah battery		 4 gb ram		mali-t880 mp4	hisilicon kirin 950		octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)	microsd, up to 256 gb (uses sim 2 slot)	64 gb		8 mp, f/2.4, 1.4 pixel size	dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash	153 g (5.40 oz)	145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)	5.2 inches (~72.5% screen-to-body ratio)		ltps capacitive touchscreen, 16m colors	1080 x 1920 pixels (~423 ppi pixel density)		
oneplus 3t dual sim 64gb a3003 gold	v4.2, a2dp, le				android os, v6.0.1 (marshmallow), upgradable to v7.0 (nougat)		dual sim (nano-sim, dual stand-by)			474 €		lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, wi-fi direct, dlna, hotspot	non-removable li-ion 3400 mah battery		 6 gb ram		adreno 530	qualcomm msm8996 snapdragon 821		quad-core (2x2.35 ghz kryo & 2x1.6 ghz kryo)	no	64 gb		16 mp, f/2.0, 1.0	16 mp, f/2.0, phase detection autofocus, ois, led flash	158 g (5.57 oz)	152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in)	5.5 inches (~73.1% screen-to-body ratio)		optic amoled capacitive touchscreen, 16m colors	1080 x 1920 pixels (~401 ppi pixel density)		
oneplus 5 dual sim 128gb a5000 black	5.0, a2dp, le, aptx hd				android 7.1.1 (nougat)		dual sim (nano-sim, dual stand-by)			669 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100)	hsdpa 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, wi-fi direct, dlna, hotspot	non-removable li-po 3300 mah battery		 8 gb ram		adreno 540	qualcomm msm8998 snapdragon 835		octa-core (4x2.45 ghz kryo & 4x1.9 ghz kryo)	no	128 gb		16 mp, f/2.0, 20mm, eis (gyro), 1.0	dual 16 mp, f/1.7, 24mm, eis (gyro) + 20 mp, f/2.6, 36mm, phase detection autofocus, 1.6x optical zoom, dual-led flash	153 g (5.40 oz)	154.2 x 74.1 x 7.3 mm (6.07 x 2.92 x 0.29 in)	5.5 inches (~73.0% screen-to-body ratio)		optic amoled capacitive touchscreen, 16m colors	1080 x 1920 pixels (~401 ppi pixel density)		
htc 10 lte 32gb gold	v4.2, a2dp, apt-x				android os, v6.0.1 (marshmallow)		nano-sim			416 €		lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 3000 mah battery		 4 gb ram		adreno 530	qualcomm msm8996 snapdragon 820		dual-core 2.15 ghz kryo & dual-core 1.6 ghz kryo	microsd, up to 200 gb (dedicated slot)	32 gb		5 mp, f/1.8, 23mm, ois, autofocus, 1.34	12 mp, f/1.8, 26mm, ois, laser autofocus, dual-led (dual tone) flash	161 g (5.68 oz)	145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in)	5.2 inches (~71.1% screen-to-body ratio)		super lcd5 capacitive touchscreen, 16m colors	1440 x 2560 pixels (~565 ppi pixel density)		
htc google pixel xl 32gb blue	v4.2, a2dp, le				android os, v7.1 (nougat)		nano-sim			862 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 3450 mah battery		 4 gb ram		adreno 530	qualcomm msm8996 snapdragon 821		quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)	no	32 gb		8 mp, f/2.4, 1/3.2	12.3 mp, f/2.0, eis (gyro), phase detection & laser autofocus, dual-led (dual tone) flash	168 g (5.93 oz)	154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in)	5.5 inches (~71.2% screen-to-body ratio)		amoled capacitive touchscreen, 16m colors	1440 x 2560 pixels (~534 ppi pixel density)		
htc google pixel xl 32gb silver	v4.2, a2dp, le				android os, v7.1 (nougat)		nano-sim			862 €		lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 41(2500)	hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 3450 mah battery		 4 gb ram		adreno 530	qualcomm msm8996 snapdragon 821		quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)	no	32 gb		8 mp, f/2.4, 1/3.2	12.3 mp, f/2.0, eis (gyro), phase detection & laser autofocus, dual-led (dual tone) flash	168 g (5.93 oz)	154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in)	5.5 inches (~71.2% screen-to-body ratio)		amoled capacitive touchscreen, 16m colors	1440 x 2560 pixels (~534 ppi pixel density)		
htc 10 lte 32gb m10h silver	v4.2, a2dp, apt-x				android os, v6.0.1 (marshmallow)		nano-sim			411 €		lte band 2100 (b1), 850 (b5), 1800 (b3), 2600 (b7), 900 (b8), 800 (b20), 700 (b12), td-lte2600 (b38), td-lte2500 (b41), td-lte2300 (b40), 700 (b28), 1500 (b32)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 3000 mah battery		 4 gb ram		adreno 530	qualcomm msm8996 snapdragon 820		dual-core 2.15 ghz kryo & dual-core 1.6 ghz kryo	microsd, up to 200 gb (dedicated slot)	32 gb		5 mp, f/1.8, 23mm, ois, autofocus, 1.34	12 mp, f/1.8, 26mm, ois, laser autofocus, dual-led (dual tone) flash	161 g (5.68 oz)	145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in)	5.2 inches (~71.1% screen-to-body ratio)		super lcd5 capacitive touchscreen, 16m colors	1440 x 2560 pixels (~565 ppi pixel density)		
htc u play dual sim 32gb white	v4.2, a2dp, le				android os, v6.0 (marshmallow)		dual sim (nano-sim, dual stand-by)			405 €		lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)	hsdpa 850 / 900 / 1900 / 2100	gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2		wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot	non-removable li-ion 2500 mah battery		 3 ram		mali-t860mp2	mediatek mt6755 helio p10		octa-core (4x2.0 ghz cortex-a53 & 4x1.1 ghz cortex-a53)	microsd, up to 256 gb (uses sim 2 slot)	32 gb		16 mp, f/2.0, 27mm, 1	16 mp, f/2.0, 28mm, ois, phase detection autofocus, dual-led (dual tone) flash	145 g (5.11 oz)	146 x 72.9 x 8 mm (5.75 x 2.87 x 0.31 in)	5.2 inches (~68.7% screen-to-body ratio)		super lcd capacitive touchscreen, 16m colors	1080 x 1920 pixels (~428 ppi pixel density)		
