Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	Processor.ClockSpeed	KeySpecification.Processormanufacturer	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Storage.SSDCapacity	Memory.Memorytype	Memory.RAMMemory	root.price	KeySpecification.Formfactor	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	Display.ScreenResolution
http://www.debenhamsplus.com/desktops/p/1207968/stormforce-glacier-core-i7-6700-8gb-2tb-120gb-ssd-geforce-gtx-1060-dvd-rw-windows-10-gaming-desktop	stormforce glacier core i7-6700 8gb 2tb + 120gb ssd geforce gtx 1060 dvd-rw windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1060	6gb	3.4ghz	intel	intel core i7	6700	2tb	120gb		8gb	£192.97	atx	windows 10	3 year warranty		
http://www.debenhamsplus.com/desktops/p/1199119/lenovo-ideacentre-300-23isu-core-i3-6006u-8gb-1tb-dvd-rw-23-inch-windows-10-all-in-one-white	lenovo ideacentre 300-23isu core i3-6006u 8gb 1tb dvd-rw 23 inch windows 10 all in one - white	integrated	intel			2ghz	intel	intel core i3	6006u	1tb			8gb	£615	all in one	windows 10	1 year warranty	23in	
http://www.debenhamsplus.com/desktops/p/1166133/lenovo-thinkcentre-m900z-10f3-core-i5-6400-2.7ghz-4gb-500gb-dvd-rw-windows-7-professional-all-in-one	lenovo thinkcentre m900z 10f3 core i5-6400 4gb 500gb dvd-rw 23.8 inch windows 7 professional all in	integrated	intel			2.7ghz	intel	intel core i5	6400	500gb		ddr4 sdram	4gb	£175.97	all in one	windows 7 pro	3 year warranty	23.8in	1920 x 1080
http://www.debenhamsplus.com/desktops/p/1207969/zoostorm-evolve-core-i5-6400-8gb-1tb-dvd-rw-windows-10-desktop	zoostorm evolve core i5-6400 8gb 1tb dvd-rw windows 10 desktop	integrated	intel			2.7ghz	intel	intel core i5	6400	1tb			8gb	£34.97	atx	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1169347/pc-specialist-core-i5-7400-8gb-1tb-geforce-gtx-1060-dvd-rw-windows-10-gaming-desktop	pc specialist core i5-7400 8gb 1tb geforce gtx 1060 dvd-rw windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1060	3gb	3ghz	intel	intel core i5	7400	1tb			8gb	£59.97	tower	windows 10	3 year warranty		
http://www.debenhamsplus.com/desktops/p/1195570/acer-aspire-tc-780-core-i3-7100-8gb-2tb-dvd-rw-windows-10-desktop	acer aspire tc-780 core i3-7100 8gb 2tb dvd-rw windows 10 desktop	integrated	intel			3.9ghz	intel	intel core i3	i3-7100	2tb		ddr4 sdram	8gb	£85.97	tower	windows 10			
http://www.debenhamsplus.com/desktops/p/888217/hewlett-packard-hp-t60-amd-gx-17ga-16gb-4gb-windows-embedded-standard-7e-thin-client	hp t620 amd gx-217ga 16gb 4gb windows embedded 7 standard thin client desktop	integrated	amd radeon hd 8280e			1.65ghz	amd	gx	217ga	16gb			4gb	£139.98	ultra small form factor (usff)	windows 7			
http://www.debenhamsplus.com/desktops/p/1200798/dell-optiplex-3050-core-i5-7500t-4gb-128gb-ssd-windows-10-pro-desktop	dell optiplex 3050 core i5-7500t 4gb 128gb ssd windows 10 pro desktop	integrated	intel	hd graphics 630		2.7ghz	intel	intel core i5	i5-7500t		128gb	ddr4 sdram	4gb	£125.97	sff	windows 10 pro	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1212215/hp-elitedesk-800-core-i5-6500-8gb-500gb-windows-10-professional-desktop	hp elitedesk 800 core i5-6500 8gb 500gb windows 10 professional desktop													£72.97					
http://www.debenhamsplus.com/desktops/p/1116795/acer-aspire-xc-710-core-i3-6100-4gb-500gb-nvidia-gt730-gb-windows-10-gaming-desktop	acer aspire xc-710 core i3-6100 4gb 500gb geforce gt730 windows 10 gaming desktop	dedicated	nvidia	geforce gt 730	2gb	3.7ghz	intel	intel core i3	i3-6100	500gb		ddr3l sdram	4gb	£84.97	small form factor (sff)	windows 10 home	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1160129/hewlett-packard-hp-omen-870-170na-core-i5-6400-8gb-2tb-128gb-ssd-geforce-gtx-1070-8gb-windows-10-gaming-desktop	hp omen 870-170na core i5-6400 8gb 2tb + 128gb ssd geforce gtx 1070 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1070	8gb	2.7ghz	intel	intel core i5	6400	2tb	128gb	ddr4 sdram	8gb	£324.97	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1199096/lenovo-ideacentre-510s-08ish-core-i7-6700-8gb-1tb-dvd-rw-windows-10-desktop	lenovo ideacentre 510s-08ish core i7-6700 8gb 1tb dvd-rw windows 10 desktop	integrated	intel			3.4ghz	intel	intel core i7	i7-6700	1tb		ddr4 sdram	8gb	£127.97	tower	windows 10 home	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1164988/fujitsu-celsius-m740-xeon-e5-1620v4-16gb-2tb-256gb-ssd-dvd-rw-windows-10-professionall-workstation-desktop	fujitsu celsius m740 intel xeon e5-1620-v4 16gb 2tb 256gb ssd dvd-rw windows 10 professional worksta							intel						£205.97					
http://www.debenhamsplus.com/desktops/p/1205857/new-apple-imac-core-i5-8gb-1tb-3.4ghz-21.5-inch-all-in-one-with-retina-4k-display	new apple imac core i5 8gb 1tb 3.4ghz 21.5 inch all in one with retina 4k display	integrated	amd	radeon pro 560	4gb	3.4ghz	intel	intel core i5		1tb		ddr4 sdram	8gb	£1329	all in one	apple os x 10.12 sierra		21.5in	4096 x 2304
http://www.debenhamsplus.com/desktops/p/1130111/hp-workstation-z240-sff-1-x-xeon-e3-1245v5-3.5-ghz-ram-16-gb-ssd-256-gb-hp-z-turbo-drive-dvd-supermulti-hd-graphics-p530-gige-win-10-pro-win-7-pro-64-bit-down	hp workstation z240 intel xeon e3-1245-v5 16 gb 256 gb ssd dvd-rw windows 10 professional workstatio	integrated	intel			3.5ghz	intel	xeon e3	1245v5		256gb	ddr4 sdram	16gb	£329.97		windows 7 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1129878/hewlett-packard-hp-z240t-8gb-1tb-dvd-rw-windows-7-professional-workstation-desktop	hp z240t 8gb 1tb dvd-rw windows 7 professional workstation desktop	integrated	intel			3.4ghz	intel	intel core i7	6700	1tb		ddr4 sdram	8gb	£249.97	mini tower	windows 7 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1207950/acer-z20-730-intel-pentium-quad-core-j4205-8gb-1tb-19.5-inch-dvd-rw-windows-10-all-in-one	acer z20-730 intel pentium quad-core j4205 8gb 1tb 19.5 inch dvd-rw windows 10 all in one	integrated	intel			1.5ghz	intel	intel pentium	j4205	1tb			8gb	£505	all in one	windows 10		19.5in	
http://www.debenhamsplus.com/desktops/p/1196876/pc-specialist-osiris-infiltrator-core-i7-7700k-16gb-3tb-256gb-ssd-geforce-gtx-1080ti-windows-10-gaming-desktop	pc specialist osiris infiltrator core i7-7700k 16gb 3tb + 256gb ssd geforce gtx 1080ti windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1080ti	11gb	4.2ghz	intel	intel core i7	7700k	3tb	256gb		16gb	£320.97	tower	windows 10			
http://www.debenhamsplus.com/desktops/p/1161939/dell-optiplex-7440-core-i5-6500-8gb-500gb-dvd-rw-23.8-windows-10-professional-all-in-one	dell optiplex 7440 core i5-6500 8gb 500gb dvd-rw 23.8 inch windows 10 professional all in one	integrated	intel			3.2ghz	intel	intel core i5	6500	500gb	no-	ddr4 sdram	8gb	£70.97	all in one	windows 10 pro	3 year warranty	23.8in	1920 x 1080
http://www.debenhamsplus.com/desktops/p/1195304/acer-aspire-xc-780-core-i3-7100-4gb-1tb-dvd-rw-windows-10-desktop	acer aspire xc-780 core i3-7100 4gb 1tb dvd-rw windows 10 desktop	integrated	intel			3.9ghz	intel	intel core i3	i3-7100	1tb		ddr4 sdram	4gb	£74.97	small form factor (sff)	windows 10			
http://www.debenhamsplus.com/desktops/p/1021223/hp-zero-client-t310-teradaci-tera-31-51mb-56mb-desktop	hp zero client t310 teradaci tera 2321 512mb 256mb thin client desktop	integrated	n/a				tera	tera	2321			ddr3 sdram	512mb	£51.98	all in one	no os	3 year warranty	23.6in	
