TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
voyo vmac mini pc|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$235.99|||||||||8gb |ddr3 |intel hd graphic 5500 |apollo lake n4200 ||quad core ||32g emmc + 128g ssd ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1000m 
voyo v1 mini pc intel pentium n4200|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$215.99|||||||||4g ram |ddr3 |intel hd graphic |intel pentium n4200 ||quad core |512gb |32g rom ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches |||||golden,rose gold,royal blue |1000m 
voyo v1 vmac mini pc|unsupport ||mini pc ||windows 10 |64bit ||voyo |voyo |$156.76|||||||||4g ram |lpddr3 |intel hd graphic |apollo lake n3450 ||quad core ||32g rom ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1000m 
minix neo z83 - 4 fanless mini pc 64bit windows 10|support ||desktop,mini pc ||windows 10 |64bit ||minix |minix |$226.05||||||802.11 ac |||4g ||intel hd graphic |intel atom x5-z8350 ||quad core ||32g ||||0.3480 kg |12.20 x 12.20 x 2.50 cm / 4.8 x 4.8 x 0.98 inches |||||black |
morefine m1s mini pc stick|bluetooth4.0 ||mini pc ||windows 10 |64bit ||morefine |morefine |$181.14|||||||||4g ||intel hd graphic |intel atom x5-z8350 ||quad core |128gb |64g ||||0.0650 kg |12.40 x 3.70 x 1.20 cm / 4.88 x 1.46 x 0.47 inches |||||black |no 
z83s receiver hd mini pc intel atom x5-z8350 quad core|bluetooth4.0 ||mini pc ||windows 10 |64bit ||||$78.03|||||||||2g ram |ddr3 |intel hd graphics 400 |intel atom x5-z8350 ||quad core |128gb |32g rom ||||0.0500 kg |10.00 x 3.85 x 1.50 cm / 3.94 x 1.52 x 0.59 inches |||||black |no 
higole gole1 plus mini pc|bluetooth4.0 ||mini pc ||windows 10 |64bit ||higole |higole |$169.99|||||||||4g ram |ddr3 |intel gen 8-lp |intel atom x5-z8350 ||quad core |128gb |128g rom,64g rom ||||0.6600 kg |19.90 x 13.60 x 2.70 cm / 7.83 x 5.35 x 1.06 inches ||||||100m 
minix neo z83 - 4 fanless mini pc 64bit windows 10|support ||desktop,mini pc ||windows 10 |64bit ||minix |minix |$169.99||||||802.11 ac |||4g |ddr3l |intel hd graphic |intel atom x5-z8350 ||quad core ||32g ||||0.3480 kg |12.20 x 12.20 x 2.50 cm / 4.8 x 4.8 x 0.98 inches |||||black |
voyo v1 mini pc intel pentium n4200|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$215.99|||||||||4g ram |ddr3 |intel hd graphic |intel pentium n4200 ||quad core |512gb |32g rom ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches |||||golden,rose gold,royal blue |1000m 
voyo vmac mini pc|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$235.99|||||||||8gb |ddr3 |intel hd graphic 5500 |apollo lake n4200 ||quad core ||32g emmc + 128g ssd ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1000m 
voyo vmac mini pc apollo laken4200 cpu windows 10.1|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$284.84|||||||||8g ram ||arm mali-t820mp3 |apollo laken4200 ||quad core ||32g ||||0.4000 kg |12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches ||||||1
voyo v1 mini pc intel celeron n3450|unsupport ||mini pc ||windows 10.1 |64bit ||voyo |voyo |$189.99|||||||||4g ||intel hd graphic |intel celeron n3450 ||quad core ||128g ||||0.4000 kg |12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches |||||blue,golden,rose gold |1000m 
gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||||$149.99||||||802.11 b/g/n/ac |||4g ||gen 8 graphics |intel cherry trail z8350 ||1.84ghz,quad core ||64g ||||0.2000 kg |13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches |||||golden |
higole gole1 plus mini pc|bluetooth4.0 ||mini pc ||windows 10 |64bit ||higole |higole |$179.99|||||||||4g ram ||intel gen 8-lp |intel atom x5-z8350 ||quad core |128gb |128g rom,64g rom ||||0.6600 kg |19.90 x 13.60 x 2.70 cm / 7.83 x 5.35 x 1.06 inches ||||||100m 
chuwi hibox mini pc android 5.1 + window 10 dual os 64bit|bluetooth4.0 ||mini pc ||android 5.1,windows 10 |64bit ||chuwi |chuwi |$119.99||||||802.11 a/b/g/n/ac |||4g ram ||intel hd graphic |||quad core |128gb |64g rom ||||0.2000 kg |12.00 x 12.00 x 2.50 cm / 4.72 x 4.72 x 0.98 inches |||||black |1000m / 100m 
